Paper_ID,ML_Condition_ID,Observation_ID,Feature_Name,Original_Value,Recovered_Value,Units,Evidence_Type,Evidence_Location,Page,Figure,Table,Section,Extraction_Method,Confidence,Reviewer_Status,Reviewer_Notes
P001,P001_MC01,OBS001,grain size,Grain_size_um=14.9,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,SFE,SFE_mJ_m2=7.0,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,SFE method,SFE_method=weak-beam dark-field STEM partial separation,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,processing history,Processing_route=Vacuum arc melting/casting; hot rolled 1100C 50%; homogenized 1180C/2h; water quenched; cold rolled ~80%; annealed | Cast_method=Vacuum arc melting | Homogenization_T_K=1453.0 | Homogenization_time_h=2.0 | Hot_rolling_T_K=1373.0 | Hot_rolling_reduction_pct=50.0 | Cold_rolling_reduction_pct=80.0 | Annealing_T_K=1223.0 | Annealing_time_min=5.0 | Cooling_route=Water quench,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,mechanical properties,YS_MPa=392.0 | UTS_MPa=903.0 | Elongation_pct=83.1,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,TRIP evidence,Evidence_TRIP=Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,TWIP evidence,Evidence_TWIP=Mechanical twinning largely suppressed/not dominant,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,phase-transformation evidence,HCP_fraction_at_condition=0.083 | HCP_lath_or_lamella_note=HCP fraction remains very low; <8.3% even after equivalent strain 1.85 / cold-rolled state | Characterization_methods=SEM/BSE; EBSD; ECC; XRD; WBDF-STEM; HRTEM; APT; neutron diffraction; DIC,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS001,condition-to-test-series linkage,Parent_Experiment_ID=P001_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,grain size,Grain_size_um=45.6,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,SFE,SFE_mJ_m2=7.0,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,SFE method,SFE_method=weak-beam dark-field STEM partial separation,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,processing history,Processing_route=Vacuum arc melting/casting; hot rolled 1100C 50%; homogenized 1180C/2h; water quenched; cold rolled ~80%; annealed | Cast_method=Vacuum arc melting | Homogenization_T_K=1453.0 | Homogenization_time_h=2.0 | Hot_rolling_T_K=1373.0 | Hot_rolling_reduction_pct=50.0 | Cold_rolling_reduction_pct=80.0 | Annealing_T_K=1273.0 | Annealing_time_min=10.0 | Cooling_route=Water quench,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,mechanical properties,YS_MPa=343.0 | UTS_MPa=843.0 | Elongation_pct=85.3,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,TRIP evidence,Evidence_TRIP=Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,TWIP evidence,Evidence_TWIP=Mechanical twinning largely suppressed/not dominant,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,phase-transformation evidence,HCP_lath_or_lamella_note=HCP fraction remains very low; <8.3% even after equivalent strain 1.85 / cold-rolled state | Characterization_methods=SEM/BSE; EBSD; ECC; XRD; WBDF-STEM; HRTEM; APT; neutron diffraction; DIC,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC02,OBS002,condition-to-test-series linkage,Parent_Experiment_ID=P001_PE02,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,grain size,Grain_size_um=135.3,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,SFE,SFE_mJ_m2=7.0,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,SFE method,SFE_method=weak-beam dark-field STEM partial separation,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,processing history,Processing_route=Vacuum arc melting/casting; hot rolled 1100C 50%; homogenized 1180C/2h; water quenched; cold rolled ~80%; annealed | Cast_method=Vacuum arc melting | Homogenization_T_K=1453.0 | Homogenization_time_h=2.0 | Hot_rolling_T_K=1373.0 | Hot_rolling_reduction_pct=50.0 | Cold_rolling_reduction_pct=80.0 | Annealing_T_K=1373.0 | Annealing_time_min=10.0 | Cooling_route=Water quench,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,mechanical properties,YS_MPa=295.0 | UTS_MPa=774.0 | Elongation_pct=89.0,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,TRIP evidence,Evidence_TRIP=Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,TWIP evidence,Evidence_TWIP=Mechanical twinning largely suppressed/not dominant,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,phase-transformation evidence,HCP_lath_or_lamella_note=HCP fraction remains very low; <8.3% even after equivalent strain 1.85 / cold-rolled state | Characterization_methods=SEM/BSE; EBSD; ECC; XRD; WBDF-STEM; HRTEM; APT; neutron diffraction; DIC,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC03,OBS003,condition-to-test-series linkage,Parent_Experiment_ID=P001_PE03,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,grain size,Grain_size_um=14.9,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,SFE,SFE_mJ_m2=7.0,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,SFE method,SFE_method=weak-beam dark-field STEM partial separation,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,processing history,Processing_route=Same as P001_C01; local strain regions after tensile testing | Cast_method=Vacuum arc melting | Homogenization_T_K=1453.0 | Homogenization_time_h=2.0 | Hot_rolling_T_K=1373.0 | Hot_rolling_reduction_pct=50.0 | Cold_rolling_reduction_pct=80.0 | Annealing_T_K=1223.0 | Annealing_time_min=5.0 | Cooling_route=Water quench,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,TRIP evidence,Evidence_TRIP=HCP/twins almost absent at early local strain,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,TWIP evidence,Evidence_TWIP=No strong deformation twin contribution reported,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,phase-transformation evidence,HCP_lath_or_lamella_note=ECC: SFs at low local strain; HCP/twins almost absent | Characterization_methods=ECC; EBSD; HRTEM; neutron diffraction,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS004,condition-to-test-series linkage,Parent_Experiment_ID=P001_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,grain size,Grain_size_um=14.9,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,SFE,SFE_mJ_m2=7.0,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P001,P001_MC01,OBS005,SFE method,SFE_method=weak-beam dark-field STEM partial separation,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
