Paper_ID,ML_Condition_ID,Target,Exclusion_Reason,Missing_Required_Fields,Target_Status,Group_ID,Source_Target_Value,Analysis_Target_Value,M2_Composition_Source,Included,NA_Converted_To_Zero
P001,P001_MC01,T1_TRIP,INCLUDED,,,PAPER::P001,1.0,1.0,SOURCE_STRUCTURED,True,False
P001,P001_MC02,T1_TRIP,INCLUDED,,,PAPER::P001,1.0,1.0,SOURCE_STRUCTURED,True,False
P001,P001_MC03,T1_TRIP,INCLUDED,,,PAPER::P001,1.0,1.0,SOURCE_STRUCTURED,True,False
P003,P003_MC01,T1_TRIP,INCLUDED,,,PAPER::P003,1.0,1.0,SOURCE_STRUCTURED,True,False
P003,P003_MC02,T1_TRIP,SOURCE_TARGET_NA,,,PAPER::P003,,,SOURCE_STRUCTURED,False,False
P003,P003_MC03,T1_TRIP,SOURCE_TARGET_NA,,,PAPER::P003,,,SOURCE_STRUCTURED,False,False
P003,P003_MC04,T1_TRIP,INCLUDED,,,PAPER::P003,1.0,1.0,SOURCE_STRUCTURED,True,False
P003,P003_MC05,T1_TRIP,SOURCE_TARGET_NA,,,PAPER::P003,,,SOURCE_STRUCTURED,False,False
P003,P003_MC06,T1_TRIP,SOURCE_TARGET_NA,,,PAPER::P003,,,SOURCE_STRUCTURED,False,False
P003,P003_MC07,T1_TRIP,INCLUDED,,,PAPER::P003,1.0,1.0,SOURCE_STRUCTURED,True,False
P007,P007_MC_A600_1h,T1_TRIP,INCLUDED,,,P007_SERIES01,1.0,1.0,SOURCE_STRUCTURED,True,False
P007,P007_MC_A600_2h,T1_TRIP,INCLUDED,,,P007_SERIES01,1.0,1.0,SOURCE_STRUCTURED,True,False
P007,P007_MC_A600_5h,T1_TRIP,SOURCE_TARGET_NA,,,P007_SERIES01,,,SOURCE_STRUCTURED,False,False
P007,P007_MC_A600_10h,T1_TRIP,INCLUDED,,,P007_SERIES01,1.0,1.0,SOURCE_STRUCTURED,True,False
P007,P007_MC_A600_72h,T1_TRIP,INCLUDED,,,P007_SERIES01,1.0,1.0,SOURCE_STRUCTURED,True,False
P008,P008_MC_N2p6_PC,T1_TRIP,INCLUDED,,,P008_SERIES01,0.0,0.0,MEASURED_BULK,True,False
P016,P016_MC_400C_3min,T1_TRIP,SOURCE_TARGET_NA,,,PAPER::P016,,,SOURCE_STRUCTURED,False,False
P016,P016_MC_400C_10min,T1_TRIP,SOURCE_TARGET_NA,,,PAPER::P016,,,SOURCE_STRUCTURED,False,False
P016,P016_MC_650C_3min,T1_TRIP,M2_INCOMPLETE,Fe_at%|Mn_at%|Co_at%|Cr_at%|Test_T_K|Strain_rate_s-1,,PAPER::P016,1.0,1.0,UNAVAILABLE,False,False
P016,P016_MC_650C_10min,T1_TRIP,M2_INCOMPLETE,Fe_at%|Mn_at%|Co_at%|Cr_at%|Test_T_K|Strain_rate_s-1,,PAPER::P016,1.0,1.0,UNAVAILABLE,False,False
P016,P016_MC_750C_3min,T1_TRIP,M2_INCOMPLETE,Fe_at%|Mn_at%|Co_at%|Cr_at%|Test_T_K|Strain_rate_s-1,,PAPER::P016,1.0,1.0,UNAVAILABLE,False,False
P016,P016_MC_750C_10min,T1_TRIP,SOURCE_TARGET_NA|M2_INCOMPLETE,Fe_at%|Mn_at%|Co_at%|Cr_at%|Test_T_K|Strain_rate_s-1,,PAPER::P016,,,UNAVAILABLE,False,False
P008,P008_MC_N0_HOMO,T1_TRIP,SOURCE_TARGET_NA|M2_INCOMPLETE,Test_T_K,,P008_SERIES01,,,MEASURED_BULK,False,False
P008,P008_MC_N0_PC,T1_TRIP,M2_INCOMPLETE,Test_T_K,,P008_SERIES01,1.0,1.0,MEASURED_BULK,False,False
P008,P008_MC_N0_FC,T1_TRIP,M2_INCOMPLETE,Test_T_K,,P008_SERIES01,1.0,1.0,MEASURED_BULK,False,False
P008,P008_MC_N2p6_HOMO,T1_TRIP,SOURCE_TARGET_NA|M2_INCOMPLETE,Test_T_K,,P008_SERIES01,,,MEASURED_BULK,False,False
P008,P008_MC_N2p6_FC,T1_TRIP,M2_INCOMPLETE,Test_T_K,,P008_SERIES01,0.0,0.0,MEASURED_BULK,False,False
P010,P010_MC_AlloyI,T1_TRIP,M2_INCOMPLETE,Test_T_K,,P010_SERIES01,1.0,1.0,MEASURED_BULK,False,False
P010,P010_MC_AlloyII,T1_TRIP,M2_INCOMPLETE,Test_T_K,,P010_SERIES01,0.0,0.0,MEASURED_BULK,False,False
P010,P010_MC_AlloyIII,T1_TRIP,M2_INCOMPLETE,Test_T_K,,P010_SERIES01,1.0,1.0,MEASURED_BULK,False,False
P011,P011_MC_A9_298K,T1_TRIP,SOURCE_TARGET_NA,,,P011_SERIES01,,,NOMINAL,False,False
P011,P011_MC_A10_298K,T1_TRIP,INCLUDED,,,P011_SERIES01,1.0,1.0,NOMINAL,True,False
P011,P011_MC_A11_298K,T1_TRIP,SOURCE_TARGET_NA,,,P011_SERIES01,,,NOMINAL,False,False
P011,P011_MC_A10_77K,T1_TRIP,INCLUDED,,,P011_SERIES01,1.0,1.0,NOMINAL,True,False
P012,P012_MC_BASE_RT,T1_TRIP,SOURCE_TARGET_NA,,,P012_SERIES01,,,MEASURED_BULK,False,False
P012,P012_MC_MO_RT,T1_TRIP,SOURCE_TARGET_NA,,,P012_SERIES01,,,MEASURED_BULK,False,False
P012,P012_MC_C_RT,T1_TRIP,SOURCE_TARGET_NA,,,P012_SERIES01,,,MEASURED_BULK,False,False
P012,P012_MC_BASE_77K,T1_TRIP,INCLUDED,,,P012_SERIES01,1.0,1.0,MEASURED_BULK,True,False
P012,P012_MC_MO_77K,T1_TRIP,INCLUDED,,,P012_SERIES01,1.0,1.0,MEASURED_BULK,True,False
P012,P012_MC_C_77K,T1_TRIP,INCLUDED,,,P012_SERIES01,1.0,1.0,MEASURED_BULK,True,False
P013,P013_MC_ASCAST_RT,T1_TRIP,M2_INCOMPLETE,Test_T_K,,P013_SERIES01,1.0,1.0,NOMINAL,False,False
P014,P014_MC_ASCAST,T1_TRIP,SOURCE_TARGET_NA|M2_INCOMPLETE,Test_T_K,,P014_SERIES01,,,NOMINAL,False,False
P014,P014_MC_CR,T1_TRIP,SOURCE_TARGET_NA|M2_INCOMPLETE,Test_T_K,,P014_SERIES01,,,NOMINAL,False,False
P014,P014_MC_A600,T1_TRIP,M2_INCOMPLETE,Test_T_K,,P014_SERIES01,1.0,1.0,NOMINAL,False,False
P014,P014_MC_A650,T1_TRIP,SOURCE_TARGET_NA|M2_INCOMPLETE,Test_T_K,,P014_SERIES01,,,NOMINAL,False,False
P014,P014_MC_A700,T1_TRIP,SOURCE_TARGET_NA|M2_INCOMPLETE,Test_T_K,,P014_SERIES01,,,NOMINAL,False,False
