Paper_ID,ML_Condition_ID,Group_ID,Study_Series_ID,Material_Parent_ID,Alloy_Family_Audit_Key,Target,Target_Value,Target_Status,Evidence_Quality_Flag,TWIP_Phase_Category,Composition_Source,Fe_at%,Mn_at%,Co_at%,Cr_at%,Test_T_K,Strain_rate_s-1,Complete_Case,Imputation_Applied,Resampling_Applied,Synthetic_Sample
P001,P001_MC01,PAPER::P001,,,FORMULA::FE30NI20CO20CR20SI10,T2_ANY_TWIP,0,,DIRECT_HIGH_CONFIDENCE,NOT_APPLICABLE_NEGATIVE,SOURCE_STRUCTURED,30.0,0.0,20.0,20.0,298.0,0.001,True,False,False,False
P001,P001_MC02,PAPER::P001,,,FORMULA::FE30NI20CO20CR20SI10,T2_ANY_TWIP,0,,DIRECT_HIGH_CONFIDENCE,NOT_APPLICABLE_NEGATIVE,SOURCE_STRUCTURED,30.0,0.0,20.0,20.0,298.0,0.001,True,False,False,False
P001,P001_MC03,PAPER::P001,,,FORMULA::FE30NI20CO20CR20SI10,T2_ANY_TWIP,0,,DIRECT_HIGH_CONFIDENCE,NOT_APPLICABLE_NEGATIVE,SOURCE_STRUCTURED,30.0,0.0,20.0,20.0,298.0,0.001,True,False,False,False
P003,P003_MC01,PAPER::P003,,,FORMULA::FE50MN30CO10CR10,T2_ANY_TWIP,1,,DIRECT_HIGH_CONFIDENCE,OTHER_UNKNOWN,SOURCE_STRUCTURED,50.0,30.0,10.0,10.0,300.0,0.001,True,False,False,False
P003,P003_MC04,PAPER::P003,,,FORMULA::FE50MN30CO10CR10,T2_ANY_TWIP,1,,DIRECT_HIGH_CONFIDENCE,OTHER_UNKNOWN,SOURCE_STRUCTURED,50.0,30.0,10.0,10.0,300.0,1.0,True,False,False,False
P003,P003_MC07,PAPER::P003,,,FORMULA::FE50MN30CO10CR10,T2_ANY_TWIP,1,,DIRECT_HIGH_CONFIDENCE,OTHER_UNKNOWN,SOURCE_STRUCTURED,50.0,30.0,10.0,10.0,300.0,1000.0,True,False,False,False
P007,P007_MC_A600_1h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,T2_ANY_TWIP,1,,DIRECT_HIGH_CONFIDENCE,OTHER_UNKNOWN,SOURCE_STRUCTURED,49.78,29.86,9.88,9.91,298.0,0.001,True,False,False,False
P007,P007_MC_A600_2h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,T2_ANY_TWIP,1,,DIRECT_HIGH_CONFIDENCE,OTHER_UNKNOWN,SOURCE_STRUCTURED,49.78,29.86,9.88,9.91,298.0,0.001,True,False,False,False
P007,P007_MC_A600_10h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,T2_ANY_TWIP,0,,DIRECT_HIGH_CONFIDENCE,NOT_APPLICABLE_NEGATIVE,SOURCE_STRUCTURED,49.78,29.86,9.88,9.91,298.0,0.001,True,False,False,False
P007,P007_MC_A600_72h,P007_SERIES01,P007_SERIES01,P007_MAT01,MATERIAL::P007_MAT01,T2_ANY_TWIP,1,,DIRECT_HIGH_CONFIDENCE,OTHER_UNKNOWN,SOURCE_STRUCTURED,49.78,29.86,9.88,9.91,298.0,0.001,True,False,False,False
