Paper_ID,DOI,Material_Parent_ID,Computational_Condition_ID,Data_Origin,Temperature,Strain_Rate,Paper_Native_TRIP,Paper_Native_TWIP,Experimental_Target_Eligibility,Independent_Computational_Condition
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,COMPUTATIONAL_MD,300.0,10000000000.0,1.0,1.0,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,True
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_700K_SR1E10,COMPUTATIONAL_MD,700.0,10000000000.0,1.0,1.0,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,True
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_1000K_SR1E10,COMPUTATIONAL_MD,1000.0,10000000000.0,1.0,0.0,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,True
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_1300K_SR1E10,COMPUTATIONAL_MD,1300.0,10000000000.0,1.0,0.0,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,True
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E9,COMPUTATIONAL_MD,300.0,1000000000.0,1.0,1.0,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,True
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E8,COMPUTATIONAL_MD,300.0,100000000.0,1.0,1.0,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,True
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,P017_SIM_A15_300K_SR1E10,COMPUTATIONAL_MD,300.0,10000000000.0,1.0,1.0,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,True
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,P017_SIM_A15_700K_SR1E10,COMPUTATIONAL_MD,700.0,10000000000.0,1.0,1.0,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,True
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,P017_SIM_A15_1000K_SR1E10,COMPUTATIONAL_MD,1000.0,10000000000.0,1.0,0.0,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,True
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,P017_SIM_A15_1300K_SR1E10,COMPUTATIONAL_MD,1300.0,10000000000.0,1.0,0.0,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,True
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,P017_SIM_A15_300K_SR1E9,COMPUTATIONAL_MD,300.0,1000000000.0,1.0,1.0,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,True
P017,10.1016/j.ijplas.2019.102649,P017_MAT_AL1p5,P017_SIM_A15_300K_SR1E8,COMPUTATIONAL_MD,300.0,100000000.0,1.0,1.0,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,True
