Paper_ID,DOI,Computational_Condition_ID,ML_Condition_ID,Observation_ID,Study_Series_ID,Material_Parent_ID,Leakage_Group_Strict,Data_Origin,Observation_Role,P017_Record_Role,Independent_Computational_Condition,Independent_Experimental_ML_sample,Experimental_Target_Eligibility,Paper_Native_TRIP,Paper_Native_TWIP,SIS_PSR_GPa,UTS_PSR_GPa
P017,10.1016/j.ijplas.2019.102649,P017_SIM_A05_300K_SR1E10,P017_SIM_A05_300K_SR1E10,P017_OBS_A05_300K_SR1E10,P017_SERIES01,P017_MAT_AL0p5,P017_SERIES01,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,RECOVERED_EXACT_COMPUTATIONAL_CONDITION,True,False,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,1.0,1.0,5.0,
P017,10.1016/j.ijplas.2019.102649,P017_SIM_A05_700K_SR1E10,P017_SIM_A05_700K_SR1E10,P017_OBS_A05_700K_SR1E10,P017_SERIES01,P017_MAT_AL0p5,P017_SERIES01,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,RECOVERED_EXACT_COMPUTATIONAL_CONDITION,True,False,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,1.0,1.0,4.0,
P017,10.1016/j.ijplas.2019.102649,P017_SIM_A05_1000K_SR1E10,P017_SIM_A05_1000K_SR1E10,P017_OBS_A05_1000K_SR1E10,P017_SERIES01,P017_MAT_AL0p5,P017_SERIES01,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,RECOVERED_EXACT_COMPUTATIONAL_CONDITION,True,False,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,1.0,0.0,3.4,
P017,10.1016/j.ijplas.2019.102649,P017_SIM_A05_1300K_SR1E10,P017_SIM_A05_1300K_SR1E10,P017_OBS_A05_1300K_SR1E10,P017_SERIES01,P017_MAT_AL0p5,P017_SERIES01,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,RECOVERED_EXACT_COMPUTATIONAL_CONDITION,True,False,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,1.0,0.0,2.9,
P017,10.1016/j.ijplas.2019.102649,P017_SIM_A05_300K_SR1E9,P017_SIM_A05_300K_SR1E9,P017_OBS_A05_300K_SR1E9,P017_SERIES01,P017_MAT_AL0p5,P017_SERIES01,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,RECOVERED_EXACT_COMPUTATIONAL_CONDITION,True,False,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,1.0,1.0,3.7,4.2
P017,10.1016/j.ijplas.2019.102649,P017_SIM_A05_300K_SR1E8,P017_SIM_A05_300K_SR1E8,P017_OBS_A05_300K_SR1E8,P017_SERIES01,P017_MAT_AL0p5,P017_SERIES01,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,RECOVERED_EXACT_COMPUTATIONAL_CONDITION,True,False,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,1.0,1.0,3.6,4.0
P017,10.1016/j.ijplas.2019.102649,P017_SIM_A15_300K_SR1E10,P017_SIM_A15_300K_SR1E10,P017_OBS_A15_300K_SR1E10,P017_SERIES01,P017_MAT_AL1p5,P017_SERIES01,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,RECOVERED_EXACT_COMPUTATIONAL_CONDITION,True,False,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,1.0,1.0,2.1,3.6
P017,10.1016/j.ijplas.2019.102649,P017_SIM_A15_700K_SR1E10,P017_SIM_A15_700K_SR1E10,P017_OBS_A15_700K_SR1E10,P017_SERIES01,P017_MAT_AL1p5,P017_SERIES01,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,RECOVERED_EXACT_COMPUTATIONAL_CONDITION,True,False,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,1.0,1.0,1.5,2.5
P017,10.1016/j.ijplas.2019.102649,P017_SIM_A15_1000K_SR1E10,P017_SIM_A15_1000K_SR1E10,P017_OBS_A15_1000K_SR1E10,P017_SERIES01,P017_MAT_AL1p5,P017_SERIES01,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,RECOVERED_EXACT_COMPUTATIONAL_CONDITION,True,False,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,1.0,0.0,1.3,2.5
P017,10.1016/j.ijplas.2019.102649,P017_SIM_A15_1300K_SR1E10,P017_SIM_A15_1300K_SR1E10,P017_OBS_A15_1300K_SR1E10,P017_SERIES01,P017_MAT_AL1p5,P017_SERIES01,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,RECOVERED_EXACT_COMPUTATIONAL_CONDITION,True,False,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,1.0,0.0,1.1,1.4
