Paper_ID,DOI,Study_Series_ID,Material_Parent_ID,Physical_Batch_ID,ML_Condition_ID,Composition_Status,Processing_Status,Test_T_Raw,Test_T_K,Strain_Rate,Original_TRIP,Original_TWIP,Effective_TRIP,Effective_TWIP,Target_Status,Evidence_Confidence,Independent_ML_sample,Leakage_Group_Strict,Leakage_Group_Material,QC_Review_Status
P001,10.1016/j.actamat.2023.119389,,,,P001_MC01,at.%,AVAILABLE,,298.0,0.001,1.0,0.0,1.0,0.0,REVIEW_REQUIRED,High,True,,,QC_ELIGIBLE
P001,10.1016/j.actamat.2023.119389,,,,P001_MC02,at.%,AVAILABLE,,298.0,0.001,1.0,0.0,1.0,0.0,REVIEW_REQUIRED,High,True,,,QC_ELIGIBLE
P001,10.1016/j.actamat.2023.119389,,,,P001_MC03,at.%,AVAILABLE,,298.0,0.001,1.0,0.0,1.0,0.0,REVIEW_REQUIRED,High,True,,,QC_ELIGIBLE
P002,10.1016/j.msea.2020.140441,,,,P002_MC01,at.%,AVAILABLE,,298.0,0.001,1.0,1.0,1.0,1.0,NO_FLAG,High,True,,,QC_ELIGIBLE
P002,10.1016/j.msea.2020.140441,,,,P002_MC02,at.%,AVAILABLE,,298.0,0.001,1.0,1.0,1.0,1.0,NO_FLAG,High,True,,,QC_ELIGIBLE
P002,10.1016/j.msea.2020.140441,,,,P002_MC03,at.%,AVAILABLE,,298.0,0.001,0.0,0.0,0.0,0.0,REVIEW_REQUIRED,High,True,,,QC_ELIGIBLE
P003,10.1016/j.msea.2020.138982,,,,P003_MC01,at.%,AVAILABLE,,300.0,0.001,1.0,1.0,1.0,1.0,REVIEW_REQUIRED,High,True,,,QC_ELIGIBLE
P003,10.1016/j.msea.2020.138982,,,,P003_MC02,at.%,AVAILABLE,,300.0,0.01,,,,,REVIEW_REQUIRED,Medium,True,,,TARGET_REVIEW
P003,10.1016/j.msea.2020.138982,,,,P003_MC03,at.%,AVAILABLE,,300.0,0.1,,,,,REVIEW_REQUIRED,Medium,True,,,TARGET_REVIEW
P003,10.1016/j.msea.2020.138982,,,,P003_MC04,at.%,AVAILABLE,,300.0,1.0,1.0,1.0,1.0,1.0,REVIEW_REQUIRED,High,True,,,QC_ELIGIBLE
P003,10.1016/j.msea.2020.138982,,,,P003_MC05,at.%,AVAILABLE,,300.0,10.0,,,,,REVIEW_REQUIRED,Medium,True,,,TARGET_REVIEW
P003,10.1016/j.msea.2020.138982,,,,P003_MC06,at.%,AVAILABLE,,300.0,100.0,,,,,REVIEW_REQUIRED,Medium,True,,,TARGET_REVIEW
P003,10.1016/j.msea.2020.138982,,,,P003_MC07,at.%,AVAILABLE,,300.0,1000.0,1.0,1.0,1.0,1.0,REVIEW_REQUIRED,High,True,,,QC_ELIGIBLE
P007,10.1016/j.actamat.2022.117974,P007_SERIES01,P007_MAT01,,P007_MC_A600_1h,at.%,AVAILABLE,,298.0,0.001,1.0,1.0,1.0,1.0,NO_FLAG,High,True,P007_SERIES01,P007_MAT01,QC_ELIGIBLE
P007,10.1016/j.actamat.2022.117974,P007_SERIES01,P007_MAT01,,P007_MC_A600_2h,at.%,AVAILABLE,,298.0,0.001,1.0,1.0,1.0,1.0,NO_FLAG,High,True,P007_SERIES01,P007_MAT01,QC_ELIGIBLE
P007,10.1016/j.actamat.2022.117974,P007_SERIES01,P007_MAT01,,P007_MC_A600_5h,at.%,AVAILABLE,,298.0,0.001,,,,,REVIEW_REQUIRED,Medium,True,P007_SERIES01,P007_MAT01,TARGET_REVIEW
P007,10.1016/j.actamat.2022.117974,P007_SERIES01,P007_MAT01,,P007_MC_A600_10h,at.%,AVAILABLE,,298.0,0.001,1.0,,1.0,0.0,REVIEW_REQUIRED,High,True,P007_SERIES01,P007_MAT01,QC_ELIGIBLE
P007,10.1016/j.actamat.2022.117974,P007_SERIES01,P007_MAT01,,P007_MC_A600_72h,at.%,AVAILABLE,,298.0,0.001,1.0,,1.0,1.0,REVIEW_REQUIRED,High,True,P007_SERIES01,P007_MAT01,QC_ELIGIBLE
P008,10.1016/j.ijplas.2021.102965,P008_SERIES01,P008_MAT_N2p6,,P008_MC_N2p6_PC,EXACT_BULK_CHEMISTRY_REPORTED,AVAILABLE,Room temperature,298.0,0.001,0.0,1.0,0.0,1.0,REVIEW_REQUIRED,High,True,P008_SERIES01,P008_MAT_N2p6,QC_ELIGIBLE
P016,10.1016/j.actamat.2018.10.017,,,,P016_MC_400C_3min,at.%,AVAILABLE,,298.0,0.001,,,,,REVIEW_REQUIRED,Medium,True,,,TARGET_REVIEW
P016,10.1016/j.actamat.2018.10.017,,,,P016_MC_400C_10min,at.%,AVAILABLE,,298.0,0.001,,,,,REVIEW_REQUIRED,Medium,True,,,TARGET_REVIEW
P016,10.1016/j.actamat.2018.10.017,,,,P016_MC_650C_3min,,MISSING,,,,1.0,,1.0,,PARTIALLY_VERIFIED,High,True,,,TARGET_REVIEW
P016,10.1016/j.actamat.2018.10.017,,,,P016_MC_650C_10min,,MISSING,,,,1.0,,1.0,,PARTIALLY_VERIFIED,High,True,,,TARGET_REVIEW
P016,10.1016/j.actamat.2018.10.017,,,,P016_MC_750C_3min,,MISSING,,,,1.0,1.0,1.0,1.0,VERIFIED,High,True,,,QC_ELIGIBLE
P016,10.1016/j.actamat.2018.10.017,,,,P016_MC_750C_10min,,MISSING,,,,,,,,UNRESOLVED,High,True,,,TARGET_REVIEW
P008,10.1016/j.ijplas.2021.102965,P008_SERIES01,P008_MAT_N0,,P008_MC_N0_HOMO,EXACT_BULK_CHEMISTRY_REPORTED,AVAILABLE,Room temperature,,0.001,,,,,,High,True,P008_SERIES01,P008_MAT_N0,TARGET_REVIEW
P008,10.1016/j.ijplas.2021.102965,P008_SERIES01,P008_MAT_N0,,P008_MC_N0_PC,EXACT_BULK_CHEMISTRY_REPORTED,AVAILABLE,Room temperature,,0.001,,,1.0,1.0,,High,True,P008_SERIES01,P008_MAT_N0,QC_ELIGIBLE
