Source_Row_Index,Paper_ID,DOI,ML_Condition_ID,Observation_ID,Study_Series_ID,Material_Parent_ID,Leakage_Group_Strict,Effective_Group_ID,Alloy_Family_Audit_Key,Data_Origin,Observation_Role,Independent_Experimental_ML_sample,Effective_TRIP,Effective_TWIP,T2_ANY_TWIP,T2_FCC_TWIP_STRICT,T1_TRIP_STRICT_DIRECT,T2_ANY_TWIP_STRICT_DIRECT,TRIP_Evidence_Quality_Flag,TWIP_Evidence_Quality_Flag,TWIP_Phase,TWIP_Phase_Category,Target_Status,Label_confidence,Target_Evidence_Confidence,M2_Composition_Source,M2_Composition_Selection_Note,M2_Fe_at%,M2_Mn_at%,M2_Co_at%,M2_Cr_at%,M2_Test_T_K,M2_Strain_rate_s-1,M2_Missing_Required_Fields,M2_Complete
0,P001,10.1016/j.actamat.2023.119389,P001_MC01,OBS001,,,,PAPER::P001,FORMULA::FE30NI20CO20CR20SI10,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,0.0,0.0,0,1,0,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,,High,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,30.0,0.0,20.0,20.0,298.0,0.001,,True
1,P001,10.1016/j.actamat.2023.119389,P001_MC02,OBS002,,,,PAPER::P001,FORMULA::FE30NI20CO20CR20SI10,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,0.0,0.0,0,1,0,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,,High,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,30.0,0.0,20.0,20.0,298.0,0.001,,True
2,P001,10.1016/j.actamat.2023.119389,P001_MC03,OBS003,,,,PAPER::P001,FORMULA::FE30NI20CO20CR20SI10,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,0.0,0.0,0,1,0,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,NOT_APPLICABLE_NEGATIVE,,High,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,30.0,0.0,20.0,20.0,298.0,0.001,,True
13,P003,10.1016/j.msea.2020.138982,P003_MC01,OBS014,,,,PAPER::P003,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,,High,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,300.0,0.001,,True
14,P003,10.1016/j.msea.2020.138982,P003_MC02,OBS015,,,,PAPER::P003,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,Medium,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,300.0,0.01,,True
15,P003,10.1016/j.msea.2020.138982,P003_MC03,OBS016,,,,PAPER::P003,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,Medium,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,300.0,0.1,,True
16,P003,10.1016/j.msea.2020.138982,P003_MC04,OBS017,,,,PAPER::P003,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,,High,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,300.0,1.0,,True
17,P003,10.1016/j.msea.2020.138982,P003_MC05,OBS018,,,,PAPER::P003,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,Medium,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,300.0,10.0,,True
18,P003,10.1016/j.msea.2020.138982,P003_MC06,OBS019,,,,PAPER::P003,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,,,,,,,NA,NA,,NA,,Medium,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,300.0,100.0,,True
19,P003,10.1016/j.msea.2020.138982,P003_MC07,OBS020,,,,PAPER::P003,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,,OTHER_UNKNOWN,,High,,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,300.0,1000.0,,True
