Paper_ID,DOI,Paper_Title,Condition_ID,Experiment_Group_ID,Row_Type,Alloy_ID,Original_Composition,Composition_basis,Fe_at%,Mn_at%,Co_at%,Cr_at%,Ni_at%,N_at%,C_at%,Mo_at%,Si_at%,Ti_at%,V_at%,Other_elements,Processing_route,Cast_method,Homogenization_T_K,Homogenization_time_h,Hot_rolling_T_K,Hot_rolling_reduction_pct,Cold_rolling_reduction_pct,Annealing_T_K,Annealing_time_min,Cooling_route,Test_T_K,Strain_rate_s-1,Gauge_length_mm,Gauge_width_mm,Specimen_thickness_mm,True_strain,Local_strain,Deformation_stage,Grain_size_um,Grain_size_SD_um,Initial_FCC_fraction,Initial_HCP_fraction,Initial_twin_boundary_status,SFE_mJ_m2,SFE_error_mJ_m2,SFE_method,DeltaG_FCC_HCP_J_mol,DeltaG_method,Elastic_modulus_GPa,Shear_modulus_GPa,Poisson_ratio,Lattice_parameter_nm,Atomic_size_misfit_pct,CSRO_present,TRIP,TWIP,Slip,Stacking_faulting,HCP_to_FCC_reversion,Dominant_mechanism,HCP_fraction_at_condition,Twin_fraction_or_Sigma3,Twin_thickness_nm,HCP_lath_or_lamella_note,YS_MPa,YS_error_MPa,UTS_MPa,UTS_error_MPa,Elongation_pct,Elongation_error_pct,Uniform_elongation_pct,Critical_twin_stress_MPa,Critical_TRIP_stress_MPa,Twin_onset_true_strain,TRIP_onset_true_strain,Adiabatic_temperature_K,SFE_increase_dynamic_mJ_m2,Evidence_TRIP,Evidence_TWIP,Characterization_methods,Image_usable_for_descriptors,Source_location,Label_confidence,Notes,Unmapped_Fields,Source_File,Source_Sheet,Schema_Mapping_Review,log10_strain_rate
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C01,P001_G01,Tensile condition,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30,0,20,20,20,,,,10,,,,Vacuum arc melting/casting; hot rolled 1100C 50%; homogenized 1180C/2h; water quenched; cold rolled ~80%; annealed,Vacuum arc melting,1453,2,1373,50,80,1223,5,Water quench,298,0.001,8,2.5,1,,,final tensile,14.9,3.2,1,0,abundant annealing twins in recrystallized FCC,7,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,1,0,1,1,0,Stacking-faulting dominated; sluggish/suppressed martensitic transformation,0.083,,,HCP fraction remains very low; <8.3% even after equivalent strain 1.85 / cold-rolled state,392,5,903,10,83.1,4.4,,,,,,,,Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,Mechanical twinning largely suppressed/not dominant,SEM/BSE; EBSD; ECC; XRD; WBDF-STEM; HRTEM; APT; neutron diffraction; DIC,Yes,Abstract; Methods; Table 1; Figs. 4-13,High,Ultralow SFE but martensitic transformation is sluggish; CSRO and atomic size misfit are key mechanisms.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,-3.0
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C02,P001_G01,Tensile condition,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30,0,20,20,20,,,,10,,,,Vacuum arc melting/casting; hot rolled 1100C 50%; homogenized 1180C/2h; water quenched; cold rolled ~80%; annealed,Vacuum arc melting,1453,2,1373,50,80,1273,10,Water quench,298,0.001,8,2.5,1,,,final tensile,45.6,10.9,1,0,abundant annealing twins in recrystallized FCC,7,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,1,0,1,1,0,Stacking-faulting dominated; sluggish/suppressed martensitic transformation,,,,HCP fraction remains very low; <8.3% even after equivalent strain 1.85 / cold-rolled state,343,4,843,18,85.3,3.6,,,,,,,,Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,Mechanical twinning largely suppressed/not dominant,SEM/BSE; EBSD; ECC; XRD; WBDF-STEM; HRTEM; APT; neutron diffraction; DIC,Yes,Abstract; Methods; Table 1; Figs. 4-13,High,Ultralow SFE but martensitic transformation is sluggish; CSRO and atomic size misfit are key mechanisms.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,-3.0
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C03,P001_G01,Tensile condition,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30,0,20,20,20,,,,10,,,,Vacuum arc melting/casting; hot rolled 1100C 50%; homogenized 1180C/2h; water quenched; cold rolled ~80%; annealed,Vacuum arc melting,1453,2,1373,50,80,1373,10,Water quench,298,0.001,8,2.5,1,,,final tensile,135.3,20.7,1,0,abundant annealing twins in recrystallized FCC,7,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,1,0,1,1,0,Stacking-faulting dominated; sluggish/suppressed martensitic transformation,,,,HCP fraction remains very low; <8.3% even after equivalent strain 1.85 / cold-rolled state,295,7,774,13,89,2.8,,,,,,,,Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,Mechanical twinning largely suppressed/not dominant,SEM/BSE; EBSD; ECC; XRD; WBDF-STEM; HRTEM; APT; neutron diffraction; DIC,Yes,Abstract; Methods; Table 1; Figs. 4-13,High,Ultralow SFE but martensitic transformation is sluggish; CSRO and atomic size misfit are key mechanisms.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,-3.0
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C04,P001_G01,Local-strain microstructure,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30,0,20,20,20,,,,10,,,,Same as P001_C01; local strain regions after tensile testing,Vacuum arc melting,1453,2,1373,50,80,1223,5,Water quench,298,0.001,,,,,0.01,local strain ~1%,14.9,3.2,1,0,annealing twins present,7,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,0,0,1,1,0,Early stacking faults,,,,ECC: SFs at low local strain; HCP/twins almost absent,,,,,,,,,,,,,,HCP/twins almost absent at early local strain,No strong deformation twin contribution reported,ECC; EBSD; HRTEM; neutron diffraction,Yes,Figs. 6-12,Medium,Microstructure-evolution row; do not use as independent tensile-property row.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,-3.0
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C05,P001_G01,Local-strain microstructure,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30,0,20,20,20,,,,10,,,,Same as P001_C01; local strain regions after tensile testing,Vacuum arc melting,1453,2,1373,50,80,1223,5,Water quench,298,0.001,,,,,0.03,local strain ~3%,14.9,3.2,1,0,annealing twins present,7,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,0,0,1,1,0,Stacking faults,,,,ECC: SF density increases with local strain,,,,,,,,,,,,,,HCP/twins almost absent at early local strain,No strong deformation twin contribution reported,ECC; EBSD; HRTEM; neutron diffraction,Yes,Figs. 6-12,Medium,Microstructure-evolution row; do not use as independent tensile-property row.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,-3.0
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C06,P001_G01,Local-strain microstructure,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30,0,20,20,20,,,,10,,,,Same as P001_C01; local strain regions after tensile testing,Vacuum arc melting,1453,2,1373,50,80,1223,5,Water quench,298,0.001,,,,,0.05,local strain ~5%,14.9,3.2,1,0,annealing twins present,7,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,0,0,1,1,0,Stacking faults,,,,ECC: SF density increases with local strain,,,,,,,,,,,,,,HCP/twins almost absent at early local strain,No strong deformation twin contribution reported,ECC; EBSD; HRTEM; neutron diffraction,Yes,Figs. 6-12,Medium,Microstructure-evolution row; do not use as independent tensile-property row.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,-3.0
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C07,P001_G01,Local-strain microstructure,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30,0,20,20,20,,,,10,,,,Same as P001_C01; local strain regions after tensile testing,Vacuum arc melting,1453,2,1373,50,80,1223,5,Water quench,298,0.001,,,,,0.07,local strain ~7%,14.9,3.2,1,0,annealing twins present,7,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,0,0,1,1,0,Stacking faults,,,,ECC: SF density increases; HCP/twins almost absent in ECC,,,,,,,,,,,,,,HCP/twins almost absent at early local strain,No strong deformation twin contribution reported,ECC; EBSD; HRTEM; neutron diffraction,Yes,Figs. 6-12,Medium,Microstructure-evolution row; do not use as independent tensile-property row.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,-3.0
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C08,P001_G01,Local-strain microstructure,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30,0,20,20,20,,,,10,,,,Same as P001_C01; local strain regions after tensile testing,Vacuum arc melting,1453,2,1373,50,80,1223,5,Water quench,298,0.001,,,,,0.8,local strain ~80%,14.9,3.2,1,0,annealing twins present,7,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,1,0,1,1,0,SF-dominated with minor HCP,,,,EBSD/HRTEM: very limited HCP; SFs dominant over HCP lamella growth,,,,,,,,,,,,,,EBSD/HRTEM/neutron evidence for limited HCP at high deformation,No strong deformation twin contribution reported,ECC; EBSD; HRTEM; neutron diffraction,Yes,Figs. 6-12,High,Microstructure-evolution row; do not use as independent tensile-property row.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,-3.0
P002,10.1016/j.msea.2020.140441,A TWIP-TRIP quinary high-entropy alloy: tuning phase stability and microstructure for enhanced mechanical properties,P002_C01,P002_G01,Processing/tensile condition,Fe40Mn10Co20Cr20Ni10,Fe40Mn10Co20Cr20Ni10,at.%,40,10,20,20,10,,,,,,,,Vacuum induction cast; hot rolled 900C 50%; homogenized 1200C/2h Ar; water quenched; cold rolled 70%; annealed 30 min,Vacuum induction melting,1473,2,1173,50,70,1073,30,Water quench,298,0.001,10,2.5,1.25,,,final tensile,4.7,,1,0,initial FCC; annealing twins in recrystallized regions,14,,estimated/calculated in paper,-292,Thermo-Calc TCFE7,,,,,,,1,1,1,1,0,TRIP + TWIP + dislocation slip,,,,,375,,785,,77.5,,,,,,,,,EBSD/TEM evidence for FCC→HCP where activated,TEM/EBSD evidence for nano-twinning where activated,EBSD; XRD; EDS; TEM; HAADF-STEM; DIC,Yes,Abstract; Methods; Fig. 1-6; mechanical-property discussion,High,Non-recrystallized zones ~0 vol.%. ΔG_FCC→HCP = -292 J/mol.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,-3.0
P002,10.1016/j.msea.2020.140441,A TWIP-TRIP quinary high-entropy alloy: tuning phase stability and microstructure for enhanced mechanical properties,P002_C02,P002_G01,Processing/tensile condition,Fe40Mn10Co20Cr20Ni10,Fe40Mn10Co20Cr20Ni10,at.%,40,10,20,20,10,,,,,,,,Vacuum induction cast; hot rolled 900C 50%; homogenized 1200C/2h Ar; water quenched; cold rolled 70%; annealed 30 min,Vacuum induction melting,1473,2,1173,50,70,973,30,Water quench,298,0.001,10,2.5,1.25,,,final tensile,,,1,0,initial FCC; annealing twins in recrystallized regions,14,,estimated/calculated in paper,-292,Thermo-Calc TCFE7,,,,,,,1,1,1,1,0,TRIP + TWIP + dislocation slip in partially recrystallized state,,,,,589,,865,,69.1,,,,,,,,,EBSD/TEM evidence for FCC→HCP where activated,TEM/EBSD evidence for nano-twinning where activated,EBSD; XRD; EDS; TEM; HAADF-STEM; DIC,Yes,Abstract; Methods; Fig. 1-6; mechanical-property discussion,High,Non-recrystallized zones ~8 vol.%. ΔG_FCC→HCP = -292 J/mol.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,-3.0
