Paper_ID,DOI,Paper_Title,Condition_ID,Experiment_Group_ID,Original_Experiment_Group_ID,Row_Type,Alloy_ID,Original_Composition,Composition_basis,Fe_at%,Mn_at%,Co_at%,Cr_at%,Ni_at%,N_at%,C_at%,Mo_at%,Si_at%,Ti_at%,V_at%,Other_elements,Processing_route,Cast_method,Homogenization_T_K,Homogenization_time_h,Hot_rolling_T_K,Hot_rolling_reduction_pct,Cold_rolling_reduction_pct,Annealing_T_K,Annealing_time_min,Cooling_route,Test_T_K,Strain_rate_s-1,Gauge_length_mm,Gauge_width_mm,Specimen_thickness_mm,True_strain,Local_strain,Deformation_stage,Grain_size_um,Grain_size_SD_um,Initial_FCC_fraction,Initial_HCP_fraction,Initial_twin_boundary_status,SFE_mJ_m2,SFE_error_mJ_m2,SFE_method,DeltaG_FCC_HCP_J_mol,DeltaG_method,Elastic_modulus_GPa,Shear_modulus_GPa,Poisson_ratio,Lattice_parameter_nm,Atomic_size_misfit_pct,CSRO_present,TRIP,TWIP,Slip,Stacking_faulting,HCP_to_FCC_reversion,Dominant_mechanism,HCP_fraction_at_condition,Twin_fraction_or_Sigma3,Twin_thickness_nm,HCP_lath_or_lamella_note,YS_MPa,YS_error_MPa,UTS_MPa,UTS_error_MPa,Elongation_pct,Elongation_error_pct,Uniform_elongation_pct,Critical_twin_stress_MPa,Critical_TRIP_stress_MPa,Twin_onset_true_strain,TRIP_onset_true_strain,Adiabatic_temperature_K,SFE_increase_dynamic_mJ_m2,Evidence_TRIP,Evidence_TWIP,Characterization_methods,Image_usable_for_descriptors,Source_location,Label_confidence,Notes,Unmapped_Fields,Source_File,Source_Sheet,Schema_Mapping_Review,QC_Status,Requires_Manual_Review,Row_Role,Target_Review_Status,Schema_Review_Status,Parent_Experiment_ID,ML_Condition_ID,Observation_ID,Data_Origin,Observation_Role,Deformation_Stage_ID,Grouping_Review_Required,Grouping_Confidence,Grouping_Reason,Recovered_Grain_size_um,Recovered_ISFE_DFT_0K_mJ_m2,Recovered_DeltaG_FCC_HCP_300K_J_mol,Recovered_YS_MPa,Recovered_UTS_MPa,Recovered_Elongation_pct,Recovered_Uniform_elongation_pct,Recovered_Initial_FCC_fraction,Recovered_Initial_HCP_fraction,Recovered_TRIP,Recovered_TWIP,Recovered_Recrystallized_fraction,Recovered_SFE_assumed_for_calculation_mJ_m2,Recovery_Provenance_JSON,Target_Correction_TRIP,Target_Correction_TWIP,Resolution_Provenance_JSON,Effective_TRIP,Effective_TWIP,Study_Series_ID,Material_Parent_ID,Physical_Batch_ID,Replicate_ID,Leakage_Group_Strict,Leakage_Group_Material,Parent_Linkage_Status,Aggregate_Property_Status,Parent_ML_Condition_ID,YS_mean,YS_uncertainty,UTS_mean,UTS_uncertainty,TE_mean,TE_uncertainty,UE_mean,UE_uncertainty,Replicate_n,uncertainty_type,P008_Record_Role,P008_Legacy_Mapping_Status,P008_Source_State,Recovered_Bulk_Composition_at_pct,Recovered_Composition_Status,Recovered_Processing_route,Recovered_Test_T_Reported,Recovered_Test_T_Status,Recovered_Grain_size_scope,Recovered_Grain_size_status,Recovered_Initial_HCP_status,Initial_BCC_alpha_martensite_fraction,Initial_BCC_alpha_martensite_status,Recovered_Recrystallized_fraction_status,Recovered_YS_status,Recovered_UTS_status,Recovered_Uniform_elongation_status,SFE_scope,SFE_value_alloy_level_mJ_m2,SFE_status,SFE_source_provenance,Alpha_lath_thickness,Alpha_lath_spacing,Recovery_twin_fraction,Recovery_twin_thickness,Recovery_twin_spacing_observed,Recovery_twin_spacing_fraction_input_nm,Deformation_twin_width,Deformation_twin_spacing,Precipitate_type,APT_local_composition,EDS_local_composition,P008_Recovery_Provenance_JSON,Independent_ML_sample,Nominal_Composition_at_pct,Measured_Composition_Status,Cr_at%_uncertainty,Mn_at%_uncertainty,Fe_at%_uncertainty,Co_at%_uncertainty,Ni_at%_uncertainty,Initial_Phase_State_Qualitative,Initial_Phase_Status,Magnetic_transition_T_K,Magnetic_transition_Status,Low_T_Magnetic_Behavior,Low_T_Magnetic_Behavior_T_K,Computational_Magnetic_States,PM_Model,AFM_Model,Computational_SFE_Scope,SFE_Relative_Trend,Finite_T_SFE_Excitations_Status,P010_Record_Role,P010_Recovery_Provenance_JSON,Processing_State_ID,Source_Material_ID,Sintering_T_C,Relative_Density_pct,Effective_Grain_Size_Including_TB_PhaseBoundary_um,Initial_Sigma3_TB_fraction,Initial_Twin_Type,Mn_Oxide_Area_Fraction,SPS_Pressure_MPa,SPS_Time_min,SPS_Vacuum_Pa,Detwinning,Feedstock_Composition_at_pct,Feedstock_Composition_Method,Feedstock_Composition_Scope,Local_EDS_Composition_at_pct,Local_EDS_Composition_Scope,FCC_lattice_a_XRD_A,HCP_lattice_a_XRD_A,HCP_lattice_c_XRD_A,KAM_mean_deg,HCP_lath_thickness_nm,Deformation_Twin_thickness_nm,P011_Record_Role,P011_Target_Status,P011_Negative_TWIP_Evidence,P011_Recovery_Provenance_JSON,Original_TRIP,Original_TWIP,P012_Record_Role,Measured_Composition_at_pct,Measured_Composition_Method,Grain_Size_Including_TB_as_HAB_um,XRD_Replicate_n,XRD_Replicate_Scope,Gauge_Cross_Section_mm,Loading_Direction,GND_density_m-2,Martensite_lath_thickness,Martensite_interspace_nm,Observed_Microstructure,P012_Target_Status,P012_Recovery_Provenance_JSON
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C01,P001_G01,P001_G01,Tensile condition,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30.0,0.0,20.0,20.0,20.0,,,,10.0,,,,Vacuum arc melting/casting; hot rolled 1100C 50%; homogenized 1180C/2h; water quenched; cold rolled ~80%; annealed,Vacuum arc melting,1453.0,2.0,1373.0,50.0,80.0,1223.0,5.0,Water quench,298.0,0.001,8.0,2.5,1.0,,,final tensile,14.9,3.2,1.0,0.0,abundant annealing twins in recrystallized FCC,7.0,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,1.0,0.0,1,1.0,0,Stacking-faulting dominated; sluggish/suppressed martensitic transformation,0.083,,,HCP fraction remains very low; <8.3% even after equivalent strain 1.85 / cold-rolled state,392.0,5.0,903.0,10.0,83.1,4.4,,,,,,,,Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,Mechanical twinning largely suppressed/not dominant,SEM/BSE; EBSD; ECC; XRD; WBDF-STEM; HRTEM; APT; neutron diffraction; DIC,Yes,Abstract; Methods; Table 1; Figs. 4-13,High,Ultralow SFE but martensitic transformation is sluggish; CSRO and atomic size misfit are key mechanisms.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,SAFE_QC_COMPLETE_MANUAL_REVIEW_REMAINS,True,EXPERIMENTAL_INDEPENDENT,REVIEW_REQUIRED,CANONICAL_OR_SAFE_ALIAS,P001_PE01,P001_MC01,OBS001,EXPERIMENTAL,INDEPENDENT_CONDITION,,0.0,HIGH,Distinct extracted condition retained as a conservative parent; no cross-row specimen linkage is documented.,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C02,P001_G01,P001_G01,Tensile condition,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30.0,0.0,20.0,20.0,20.0,,,,10.0,,,,Vacuum arc melting/casting; hot rolled 1100C 50%; homogenized 1180C/2h; water quenched; cold rolled ~80%; annealed,Vacuum arc melting,1453.0,2.0,1373.0,50.0,80.0,1273.0,10.0,Water quench,298.0,0.001,8.0,2.5,1.0,,,final tensile,45.6,10.9,1.0,0.0,abundant annealing twins in recrystallized FCC,7.0,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,1.0,0.0,1,1.0,0,Stacking-faulting dominated; sluggish/suppressed martensitic transformation,,,,HCP fraction remains very low; <8.3% even after equivalent strain 1.85 / cold-rolled state,343.0,4.0,843.0,18.0,85.3,3.6,,,,,,,,Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,Mechanical twinning largely suppressed/not dominant,SEM/BSE; EBSD; ECC; XRD; WBDF-STEM; HRTEM; APT; neutron diffraction; DIC,Yes,Abstract; Methods; Table 1; Figs. 4-13,High,Ultralow SFE but martensitic transformation is sluggish; CSRO and atomic size misfit are key mechanisms.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,SAFE_QC_COMPLETE_MANUAL_REVIEW_REMAINS,True,EXPERIMENTAL_INDEPENDENT,REVIEW_REQUIRED,CANONICAL_OR_SAFE_ALIAS,P001_PE02,P001_MC02,OBS002,EXPERIMENTAL,INDEPENDENT_CONDITION,,0.0,HIGH,Distinct extracted condition retained as a conservative parent; no cross-row specimen linkage is documented.,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C03,P001_G01,P001_G01,Tensile condition,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30.0,0.0,20.0,20.0,20.0,,,,10.0,,,,Vacuum arc melting/casting; hot rolled 1100C 50%; homogenized 1180C/2h; water quenched; cold rolled ~80%; annealed,Vacuum arc melting,1453.0,2.0,1373.0,50.0,80.0,1373.0,10.0,Water quench,298.0,0.001,8.0,2.5,1.0,,,final tensile,135.3,20.7,1.0,0.0,abundant annealing twins in recrystallized FCC,7.0,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,1.0,0.0,1,1.0,0,Stacking-faulting dominated; sluggish/suppressed martensitic transformation,,,,HCP fraction remains very low; <8.3% even after equivalent strain 1.85 / cold-rolled state,295.0,7.0,774.0,13.0,89.0,2.8,,,,,,,,Neutron diffraction/TEM/STEM confirm very limited deformation-induced HCP,Mechanical twinning largely suppressed/not dominant,SEM/BSE; EBSD; ECC; XRD; WBDF-STEM; HRTEM; APT; neutron diffraction; DIC,Yes,Abstract; Methods; Table 1; Figs. 4-13,High,Ultralow SFE but martensitic transformation is sluggish; CSRO and atomic size misfit are key mechanisms.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,SAFE_QC_COMPLETE_MANUAL_REVIEW_REMAINS,True,EXPERIMENTAL_INDEPENDENT,REVIEW_REQUIRED,CANONICAL_OR_SAFE_ALIAS,P001_PE03,P001_MC03,OBS003,EXPERIMENTAL,INDEPENDENT_CONDITION,,0.0,HIGH,Distinct extracted condition retained as a conservative parent; no cross-row specimen linkage is documented.,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C04,P001_G01,P001_G01,Local-strain microstructure,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30.0,0.0,20.0,20.0,20.0,,,,10.0,,,,Same as P001_C01; local strain regions after tensile testing,Vacuum arc melting,1453.0,2.0,1373.0,50.0,80.0,1223.0,5.0,Water quench,298.0,0.001,,,,,0.01,local strain ~1%,14.9,3.2,1.0,0.0,annealing twins present,7.0,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,0.0,0.0,1,1.0,0,Early stacking faults,,,,ECC: SFs at low local strain; HCP/twins almost absent,,,,,,,,,,,,,,HCP/twins almost absent at early local strain,No strong deformation twin contribution reported,ECC; EBSD; HRTEM; neutron diffraction,Yes,Figs. 6-12,Medium,Microstructure-evolution row; do not use as independent tensile-property row.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,SAFE_QC_COMPLETE,False,EXPERIMENTAL_REPEATED_STAGE,NO_FLAG,CANONICAL_OR_SAFE_ALIAS,P001_PE01,P001_MC01,OBS004,EXPERIMENTAL,REPEATED_STAGE,P001_MC01_DS01,0.0,HIGH,Processing text explicitly links the local-strain observation to test condition P001_C01.,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C05,P001_G01,P001_G01,Local-strain microstructure,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30.0,0.0,20.0,20.0,20.0,,,,10.0,,,,Same as P001_C01; local strain regions after tensile testing,Vacuum arc melting,1453.0,2.0,1373.0,50.0,80.0,1223.0,5.0,Water quench,298.0,0.001,,,,,0.03,local strain ~3%,14.9,3.2,1.0,0.0,annealing twins present,7.0,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,0.0,0.0,1,1.0,0,Stacking faults,,,,ECC: SF density increases with local strain,,,,,,,,,,,,,,HCP/twins almost absent at early local strain,No strong deformation twin contribution reported,ECC; EBSD; HRTEM; neutron diffraction,Yes,Figs. 6-12,Medium,Microstructure-evolution row; do not use as independent tensile-property row.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,SAFE_QC_COMPLETE,False,EXPERIMENTAL_REPEATED_STAGE,NO_FLAG,CANONICAL_OR_SAFE_ALIAS,P001_PE01,P001_MC01,OBS005,EXPERIMENTAL,REPEATED_STAGE,P001_MC01_DS02,0.0,HIGH,Processing text explicitly links the local-strain observation to test condition P001_C01.,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C06,P001_G01,P001_G01,Local-strain microstructure,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30.0,0.0,20.0,20.0,20.0,,,,10.0,,,,Same as P001_C01; local strain regions after tensile testing,Vacuum arc melting,1453.0,2.0,1373.0,50.0,80.0,1223.0,5.0,Water quench,298.0,0.001,,,,,0.05,local strain ~5%,14.9,3.2,1.0,0.0,annealing twins present,7.0,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,0.0,0.0,1,1.0,0,Stacking faults,,,,ECC: SF density increases with local strain,,,,,,,,,,,,,,HCP/twins almost absent at early local strain,No strong deformation twin contribution reported,ECC; EBSD; HRTEM; neutron diffraction,Yes,Figs. 6-12,Medium,Microstructure-evolution row; do not use as independent tensile-property row.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,SAFE_QC_COMPLETE,False,EXPERIMENTAL_REPEATED_STAGE,NO_FLAG,CANONICAL_OR_SAFE_ALIAS,P001_PE01,P001_MC01,OBS006,EXPERIMENTAL,REPEATED_STAGE,P001_MC01_DS03,0.0,HIGH,Processing text explicitly links the local-strain observation to test condition P001_C01.,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C07,P001_G01,P001_G01,Local-strain microstructure,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30.0,0.0,20.0,20.0,20.0,,,,10.0,,,,Same as P001_C01; local strain regions after tensile testing,Vacuum arc melting,1453.0,2.0,1373.0,50.0,80.0,1223.0,5.0,Water quench,298.0,0.001,,,,,0.07,local strain ~7%,14.9,3.2,1.0,0.0,annealing twins present,7.0,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,0.0,0.0,1,1.0,0,Stacking faults,,,,ECC: SF density increases; HCP/twins almost absent in ECC,,,,,,,,,,,,,,HCP/twins almost absent at early local strain,No strong deformation twin contribution reported,ECC; EBSD; HRTEM; neutron diffraction,Yes,Figs. 6-12,Medium,Microstructure-evolution row; do not use as independent tensile-property row.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,SAFE_QC_COMPLETE,False,EXPERIMENTAL_REPEATED_STAGE,NO_FLAG,CANONICAL_OR_SAFE_ALIAS,P001_PE01,P001_MC01,OBS007,EXPERIMENTAL,REPEATED_STAGE,P001_MC01_DS04,0.0,HIGH,Processing text explicitly links the local-strain observation to test condition P001_C01.,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001_C08,P001_G01,P001_G01,Local-strain microstructure,Fe30Ni20Co20Cr20Si10,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,at.%,30.0,0.0,20.0,20.0,20.0,,,,10.0,,,,Same as P001_C01; local strain regions after tensile testing,Vacuum arc melting,1453.0,2.0,1373.0,50.0,80.0,1223.0,5.0,Water quench,298.0,0.001,,,,,0.8,local strain ~80%,14.9,3.2,1.0,0.0,annealing twins present,7.0,,weak-beam dark-field STEM partial separation,,,220.4,86.7,0.27,0.3569,2.36,Yes,1.0,0.0,1,1.0,0,SF-dominated with minor HCP,,,,EBSD/HRTEM: very limited HCP; SFs dominant over HCP lamella growth,,,,,,,,,,,,,,EBSD/HRTEM/neutron evidence for limited HCP at high deformation,No strong deformation twin contribution reported,ECC; EBSD; HRTEM; neutron diffraction,Yes,Figs. 6-12,High,Microstructure-evolution row; do not use as independent tensile-property row.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,SAFE_QC_COMPLETE,False,EXPERIMENTAL_REPEATED_STAGE,NO_FLAG,CANONICAL_OR_SAFE_ALIAS,P001_PE01,P001_MC01,OBS008,EXPERIMENTAL,REPEATED_STAGE,P001_MC01_DS05,0.0,HIGH,Processing text explicitly links the local-strain observation to test condition P001_C01.,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002,10.1016/j.msea.2020.140441,A TWIP-TRIP quinary high-entropy alloy: tuning phase stability and microstructure for enhanced mechanical properties,P002_C01,P002_G01,P002_G01,Processing/tensile condition,Fe40Mn10Co20Cr20Ni10,Fe40Mn10Co20Cr20Ni10,at.%,40.0,10.0,20.0,20.0,10.0,,,,,,,,Vacuum induction cast; hot rolled 900C 50%; homogenized 1200C/2h Ar; water quenched; cold rolled 70%; annealed 30 min,Vacuum induction melting,1473.0,2.0,1173.0,50.0,70.0,1073.0,30.0,Water quench,298.0,0.001,10.0,2.5,1.25,,,final tensile,4.7,,1.0,0.0,initial FCC; annealing twins in recrystallized regions,14.0,,estimated/calculated in paper,-292.0,Thermo-Calc TCFE7,,,,,,,1.0,1.0,1,1.0,0,TRIP + TWIP + dislocation slip,,,,,375.0,,785.0,,77.5,,,,,,,,,EBSD/TEM evidence for FCC→HCP where activated,TEM/EBSD evidence for nano-twinning where activated,EBSD; XRD; EDS; TEM; HAADF-STEM; DIC,Yes,Abstract; Methods; Fig. 1-6; mechanical-property discussion,High,Non-recrystallized zones ~0 vol.%. ΔG_FCC→HCP = -292 J/mol.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,SAFE_QC_COMPLETE,False,EXPERIMENTAL_INDEPENDENT,NO_FLAG,CANONICAL_OR_SAFE_ALIAS,P002_PE01,P002_MC01,OBS009,EXPERIMENTAL,INDEPENDENT_CONDITION,,0.0,HIGH,Distinct extracted condition retained as a conservative parent; no cross-row specimen linkage is documented.,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002,10.1016/j.msea.2020.140441,A TWIP-TRIP quinary high-entropy alloy: tuning phase stability and microstructure for enhanced mechanical properties,P002_C02,P002_G01,P002_G01,Processing/tensile condition,Fe40Mn10Co20Cr20Ni10,Fe40Mn10Co20Cr20Ni10,at.%,40.0,10.0,20.0,20.0,10.0,,,,,,,,Vacuum induction cast; hot rolled 900C 50%; homogenized 1200C/2h Ar; water quenched; cold rolled 70%; annealed 30 min,Vacuum induction melting,1473.0,2.0,1173.0,50.0,70.0,973.0,30.0,Water quench,298.0,0.001,10.0,2.5,1.25,,,final tensile,,,1.0,0.0,initial FCC; annealing twins in recrystallized regions,14.0,,estimated/calculated in paper,-292.0,Thermo-Calc TCFE7,,,,,,,1.0,1.0,1,1.0,0,TRIP + TWIP + dislocation slip in partially recrystallized state,,,,,589.0,,865.0,,69.1,,,,,,,,,EBSD/TEM evidence for FCC→HCP where activated,TEM/EBSD evidence for nano-twinning where activated,EBSD; XRD; EDS; TEM; HAADF-STEM; DIC,Yes,Abstract; Methods; Fig. 1-6; mechanical-property discussion,High,Non-recrystallized zones ~8 vol.%. ΔG_FCC→HCP = -292 J/mol.,,TRIP_TWIP_First5_FULL_EXTRACTION.xlsx,First5_Master_Extraction,,SAFE_QC_COMPLETE,False,EXPERIMENTAL_INDEPENDENT,NO_FLAG,CANONICAL_OR_SAFE_ALIAS,P002_PE02,P002_MC02,OBS010,EXPERIMENTAL,INDEPENDENT_CONDITION,,0.0,HIGH,Distinct extracted condition retained as a conservative parent; no cross-row specimen linkage is documented.,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
