Paper_ID,DOI,Title,PDF_Filename,PDF_Available,PDF_Verified,DOI_Match,Title_Match,Review_Status,Notes
P001,10.1016/j.actamat.2023.119389,Unexpected sluggish martensitic transformation in a strong and super-ductile high-entropy alloy of ultralow stacking fault energy,P001.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,
P002,10.1016/j.msea.2020.140441,A TWIP-TRIP quinary high-entropy alloy: tuning phase stability and microstructure for enhanced mechanical properties,P002.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,
P003,10.1016/j.msea.2020.138982,The effect of strain rate on mechanical properties and microstructure of a metastable FeMnCoCr high entropy alloy,P003.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,
P004,10.1016/j.msea.2026.150025,Sequential activation of TRIP and TWIP enables multi-stage hardening in a metastable FeMnCoCrN high-entropy alloy at elevated temperature,P004.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,
P005,10.1016/j.actamat.2022.118049,Potential TRIP/TWIP coupled effects in equiatomic CrCoNi medium-entropy alloy,P005.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,
P006,10.1016/j.scriptamat.2019.02.018,,P006.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,Title unavailable in repository
P007,10.1016/j.actamat.2022.117974,,P007.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,Title unavailable in repository
P008,10.1016/j.ijplas.2021.102965,,P008.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,Title unavailable in repository
P009,10.1126/sciadv.abo7333,,P009.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,Title unavailable in repository
P010,10.1103/PhysRevMaterials.4.033601,,P010.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,Title unavailable in repository
P011,10.1016/j.jallcom.2023.170225,,P011.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,Title unavailable in repository
P012,10.1016/j.jallcom.2022.165108,,P012.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,Title unavailable in repository
P013,10.1016/j.ijplas.2024.104048,,P013.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,Title unavailable in repository
P014,10.3390/ma17235893,,P014.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,Title unavailable in repository
P015,10.1016/j.jallcom.2026.188919,,P015.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,Title unavailable in repository
P016,10.1016/j.actamat.2018.10.017,Hierarchical microstructure design to tune the mechanical behavior of an interstitial TRIP-TWIP high-entropy alloy,P016.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,
P017,10.1016/j.ijplas.2019.102649,Study of the plastic deformation mechanism of TRIP–TWIP high entropy alloys at the atomic level,P017.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,
P018,10.1016/j.ijmecsci.2022.107098,Deformation mechanisms of TRIP–TWIP medium-entropy alloys via molecular dynamics simulations,P018.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,
P019,10.1016/j.jallcom.2025.179770,Multiscale computational model of TWIP and TRIP in medium/high entropy alloys,P019.pdf,NO,NO,NOT_CHECKED,NOT_CHECKED,PDF_REQUIRED,
