element_symbol,atomic_number,property_name,value,unit,definition,methodology_or_scale,source,source_version_date,access_reference,validation_status,uncertainty,value_min,value_max,notes
Fe,26,atomic_weight,55.845,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,0.002,,,Parenthetical standard uncertainty is stored in uncertainty; value is the abridged standard atomic weight.
Fe,26,vec,8,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
Fe,26,electronegativity,1.83,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
Fe,26,atomic_radius,124.1,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",VALID,,,,Transcribed from the review table in nm and converted exactly to pm by multiplying by 1000.
Mn,25,atomic_weight,54.938043,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,0.000002,,,Parenthetical standard uncertainty is stored in uncertainty; value is the abridged standard atomic weight.
Mn,25,vec,7,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
Mn,25,electronegativity,1.55,dimensionless,Pauling relative electronegativity,Pauling scale,"CRC Handbook of Chemistry and Physics, electronegativity of the elements (Pauling scale)","97th edition, 2016-2017","CRC Handbook of Chemistry and Physics, 97th ed.; DOI:10.1201/9781315380476",VALID,,,,All production electronegativity-difference calculations use this single scale and edition.
Mn,25,atomic_radius,135.0,pm,Metallic radius dataset adopted for HEA atomic-size mismatch,Single internally consistent metallic-radius compilation reproduced in Table 3 of Miracle and Senkov,"D. B. Miracle and O. N. Senkov, A critical review of high entropy alloys and related concepts",Acta Materialia 122 (2017) 448-511,"https://doi.org/10.1016/j.actamat.2016.08.081, Table 3",VALID,,,,Transcribed from the review table in nm and converted exactly to pm by multiplying by 1000.
Co,27,atomic_weight,58.933194,g mol^-1,CIAAW abridged standard atomic weight; representative conventional value where the standard atomic weight is an interval,CIAAW 2021 abridged standard atomic weights; interval representative is the CIAAW conventional value,"Commission on Isotopic Abundances and Atomic Weights (CIAAW), Abridged Standard Atomic Weights 2021",2021 table (published 2022),"https://ciaaw.org/abridged-atomic-weights.htm; Pure Appl. Chem. 94 (2022) 573-600, DOI:10.1515/pac-2019-0603",VALID,0.000003,,,Parenthetical standard uncertainty is stored in uncertainty; value is the abridged standard atomic weight.
Co,27,vec,9,dimensionless,HEA valence electron concentration: number of valence electrons per atom used in the Guo et al. VEC descriptor,Guo et al. HEA convention: transition-metal VEC equals group valence count; main-group VEC equals outer-shell s+p valence count,"S. Guo et al., Effect of valence electron concentration on stability of fcc or bcc phase in high entropy alloys","Journal of Applied Physics 109, 103505 (2011)",https://doi.org/10.1063/1.3587228,VALID,,,,"Integer elemental input to VEC=sum(x_i*VEC_i); this is an adopted HEA electron-counting convention, not an independently measured property."
