Column_Name,Data_Type,Scientific_Family,Prediction_Time_Class,Proposed_Model_Role,Experimental_Domain_Eligibility,Computational_Domain_Eligibility,Known_Before_Deformation,Direct_Source_or_Derived,Method_Sensitive,Temperature_Sensitive,Phase_Sensitive,Potential_Leakage,Leakage_Reason,Missingness_Concern,Scope_Constraint,Recommended_V1_Action,Notes
Paper_ID,TEXT,IDENTITY_GROUPING,IDENTIFIER_ONLY,IDENTITY_CONTROL_ONLY,NOT_ELIGIBLE_AS_PREDICTOR,DOMAIN_CONTROL_ONLY,NOT_APPLICABLE_TO_MODEL_ROLE,SOURCE_OR_REPOSITORY_BOOKKEEPING,NO,NO,NO,YES_IF_MODELED,"The identifier can memorize paper, material, condition, or observation identity.",NOT_MODEL_APPLICABLE; experimental nonmissing 51/51,May be used to design paper-held-out splits; never an ordinary predictor.,RETAIN_FOR_IDENTITY_CONTROL_ONLY,Primary V1 family: IDENTITY_GROUPING; classification is frozen for pre-deformation prediction.
DOI,TEXT,IDENTITY_GROUPING,IDENTIFIER_ONLY,IDENTITY_CONTROL_ONLY,NOT_ELIGIBLE_AS_PREDICTOR,DOMAIN_CONTROL_ONLY,NOT_APPLICABLE_TO_MODEL_ROLE,SOURCE_OR_REPOSITORY_BOOKKEEPING,NO,NO,NO,YES_IF_MODELED,"The identifier can memorize paper, material, condition, or observation identity.",NOT_MODEL_APPLICABLE; experimental nonmissing 51/51,Source identity only; never an ordinary predictor.,RETAIN_FOR_IDENTITY_CONTROL_ONLY,Primary V1 family: IDENTITY_GROUPING; classification is frozen for pre-deformation prediction.
Paper_Title,TEXT,PROVENANCE_QC,METADATA_ONLY,AUDIT_OR_DESCRIPTIVE_ONLY,NOT_ELIGIBLE_AS_ORDINARY_PREDICTOR,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,NOT_APPLICABLE_TO_MODEL_ROLE,SOURCE_OR_REPOSITORY_BOOKKEEPING,NO,NO,NO,YES_IF_MODELED,"Metadata can encode paper, workflow, or extraction artifacts rather than material behavior.",NOT_MODEL_APPLICABLE; experimental nonmissing 41/51,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",RETAIN; BLOCK_AS_ORDINARY_PREDICTOR,Primary V1 family: PROVENANCE_QC; classification is frozen for pre-deformation prediction.
Condition_ID,TEXT,IDENTITY_GROUPING,IDENTIFIER_ONLY,IDENTITY_CONTROL_ONLY,NOT_ELIGIBLE_AS_PREDICTOR,DOMAIN_CONTROL_ONLY,NOT_APPLICABLE_TO_MODEL_ROLE,SOURCE_OR_REPOSITORY_BOOKKEEPING,NO,NO,NO,YES_IF_MODELED,"The identifier can memorize paper, material, condition, or observation identity.",NOT_MODEL_APPLICABLE; experimental nonmissing 51/51,"Use only for identity, dependence control, or grouped split design.",RETAIN_FOR_IDENTITY_CONTROL_ONLY,Primary V1 family: IDENTITY_GROUPING; classification is frozen for pre-deformation prediction.
Experiment_Group_ID,TEXT,IDENTITY_GROUPING,GROUPING_ONLY,SPLIT_AND_DEPENDENCE_CONTROL_ONLY,SPLIT_CONTROL_ONLY,DOMAIN_CONTROL_ONLY,NOT_APPLICABLE_TO_MODEL_ROLE,SOURCE_OR_REPOSITORY_BOOKKEEPING,NO,NO,NO,YES_IF_MODELED,A grouping key would expose dependence or study/material identity.,NOT_MODEL_APPLICABLE; experimental nonmissing 21/51,"Use only for identity, dependence control, or grouped split design.",RETAIN_FOR_SPLIT_DESIGN_ONLY,Primary V1 family: IDENTITY_GROUPING; classification is frozen for pre-deformation prediction.
Original_Experiment_Group_ID,TEXT,IDENTITY_GROUPING,GROUPING_ONLY,SPLIT_AND_DEPENDENCE_CONTROL_ONLY,SPLIT_CONTROL_ONLY,DOMAIN_CONTROL_ONLY,NOT_APPLICABLE_TO_MODEL_ROLE,SOURCE_OR_REPOSITORY_BOOKKEEPING,NO,NO,NO,YES_IF_MODELED,A grouping key would expose dependence or study/material identity.,NOT_MODEL_APPLICABLE; experimental nonmissing 21/51,"Use only for identity, dependence control, or grouped split design.",RETAIN_FOR_SPLIT_DESIGN_ONLY,Primary V1 family: IDENTITY_GROUPING; classification is frozen for pre-deformation prediction.
Row_Type,TEXT,PROVENANCE_QC,METADATA_ONLY,AUDIT_OR_DESCRIPTIVE_ONLY,NOT_ELIGIBLE_AS_ORDINARY_PREDICTOR,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,NOT_APPLICABLE_TO_MODEL_ROLE,SOURCE_OR_REPOSITORY_BOOKKEEPING,NO,NO,NO,YES_IF_MODELED,"Metadata can encode paper, workflow, or extraction artifacts rather than material behavior.",NOT_MODEL_APPLICABLE; experimental nonmissing 26/51,"Retain for audit, descriptive context, and eligibility control; never use as an ordinary predictor.",RETAIN; BLOCK_AS_ORDINARY_PREDICTOR,Primary V1 family: PROVENANCE_QC; classification is frozen for pre-deformation prediction.
Alloy_ID,TEXT,IDENTITY_GROUPING,IDENTIFIER_ONLY,IDENTITY_CONTROL_ONLY,NOT_ELIGIBLE_AS_PREDICTOR,DOMAIN_CONTROL_ONLY,NOT_APPLICABLE_TO_MODEL_ROLE,SOURCE_OR_REPOSITORY_BOOKKEEPING,NO,NO,NO,YES_IF_MODELED,"The identifier can memorize paper, material, condition, or observation identity.",NOT_MODEL_APPLICABLE; experimental nonmissing 42/51,"Use only for identity, dependence control, or grouped split design.",RETAIN_FOR_IDENTITY_CONTROL_ONLY,Primary V1 family: IDENTITY_GROUPING; classification is frozen for pre-deformation prediction.
Original_Composition,TEXT,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,CONDITIONAL_CANDIDATE_PREDICTOR,CONDITIONAL_SCOPE_CONTROL_REQUIRED,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,CONDITIONAL_ON_SCOPE,DIRECT_SOURCE_FIELD,YES,NO,NO,CONDITIONAL,"Safe only after method, scope, timing, or availability control.",MODERATE; experimental nonmissing 36/51 (70.59%),May combine nominal and measured text; retain basis and never silently parse or normalize.,RETAIN_CONDITIONALLY; REQUIRE_SCOPE_GATE,Candidate status does not authorize pooling heterogeneous methods or filling missing values.
Composition_basis,TEXT,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,CONDITIONAL_CANDIDATE_PREDICTOR,CONDITIONAL_SCOPE_CONTROL_REQUIRED,NOT_DEFINED_FOR_CURRENT_P017_FEATURE_SPACE,CONDITIONAL_ON_SCOPE,DIRECT_SOURCE_FIELD,YES,NO,NO,CONDITIONAL,"Safe only after method, scope, timing, or availability control.",LOW; experimental nonmissing 42/51 (82.35%),Interpretation control; measured and nominal chemistry must remain distinguishable.,RETAIN_CONDITIONALLY; REQUIRE_SCOPE_GATE,Candidate status does not authorize pooling heterogeneous methods or filling missing values.
