Target,Split_ID,ML_Condition_ID,Assignment,Group_ID,Paper_ID,Material_Parent_ID,Target_Value,Feature_Set
T1_TRIP,T1_GKF_K2_F01,P001_MC01,VALIDATION,PAPER_FALLBACK::P001,P001,,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P001_MC02,VALIDATION,PAPER_FALLBACK::P001,P001,,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P001_MC03,VALIDATION,PAPER_FALLBACK::P001,P001,,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P002_MC01,TRAIN,PAPER_FALLBACK::P002,P002,,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P002_MC02,TRAIN,PAPER_FALLBACK::P002,P002,,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P002_MC03,TRAIN,PAPER_FALLBACK::P002,P002,,0,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P003_MC01,VALIDATION,PAPER_FALLBACK::P003,P003,,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P003_MC04,VALIDATION,PAPER_FALLBACK::P003,P003,,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P003_MC07,VALIDATION,PAPER_FALLBACK::P003,P003,,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P007_MC_A600_1h,VALIDATION,P007_SERIES01,P007,P007_MAT01,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P007_MC_A600_2h,VALIDATION,P007_SERIES01,P007,P007_MAT01,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P007_MC_A600_10h,VALIDATION,P007_SERIES01,P007,P007_MAT01,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P007_MC_A600_72h,VALIDATION,P007_SERIES01,P007,P007_MAT01,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P008_MC_N2p6_PC,TRAIN,P008_SERIES01,P008,P008_MAT_N2p6,0,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P016_MC_650C_3min,TRAIN,PAPER_FALLBACK::P016,P016,,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P016_MC_650C_10min,TRAIN,PAPER_FALLBACK::P016,P016,,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P016_MC_750C_3min,TRAIN,PAPER_FALLBACK::P016,P016,,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P008_MC_N0_PC,TRAIN,P008_SERIES01,P008,P008_MAT_N0,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P008_MC_N0_FC,TRAIN,P008_SERIES01,P008,P008_MAT_N0,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P008_MC_N2p6_FC,TRAIN,P008_SERIES01,P008,P008_MAT_N2p6,0,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P010_MC_AlloyI,VALIDATION,P010_SERIES01,P010,P010_MAT_AlloyI,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P010_MC_AlloyII,VALIDATION,P010_SERIES01,P010,P010_MAT_AlloyII,0,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P010_MC_AlloyIII,VALIDATION,P010_SERIES01,P010,P010_MAT_AlloyIII,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P011_MC_A10_298K,VALIDATION,P011_SERIES01,P011,P011_MAT_FE50MN30CO10CR10,1,M1_CHEMISTRY
T1_TRIP,T1_GKF_K2_F01,P011_MC_A10_77K,VALIDATION,P011_SERIES01,P011,P011_MAT_FE50MN30CO10CR10,1,M1_CHEMISTRY
