Paper_ID,ML_Condition_ID,M2_Composition_Source,M2_Composition_Selection_Note,M2_Fe_at%,M2_Mn_at%,M2_Co_at%,M2_Cr_at%,M2_Missing_Required_Fields,Local_EDS_Promoted_to_Bulk,P022_Raw_Atomic_Ratio_Normalized,Missing_Element_Filled_with_Zero
P001,P001_MC01,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,30.0,0.0,20.0,20.0,,False,False,False
P001,P001_MC02,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,30.0,0.0,20.0,20.0,,False,False,False
P001,P001_MC03,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,30.0,0.0,20.0,20.0,,False,False,False
P003,P003_MC01,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,,False,False,False
P003,P003_MC02,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,,False,False,False
P003,P003_MC03,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,,False,False,False
P003,P003_MC04,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,,False,False,False
P003,P003_MC05,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,,False,False,False
P003,P003_MC06,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,,False,False,False
P003,P003_MC07,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,50.0,30.0,10.0,10.0,,False,False,False
P007,P007_MC_A600_1h,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,49.78,29.86,9.88,9.91,,False,False,False
P007,P007_MC_A600_2h,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,49.78,29.86,9.88,9.91,,False,False,False
P007,P007_MC_A600_5h,SOURCE_STRUCTURED,Selected source structured at.% fields without filling absent elements,49.78,29.86,9.88,9.91,,False,False,False
