Paper_ID,ML_Condition_ID,Nominal_Composition_Available,Measured_Composition_Available,Composition_Basis,Bulk_or_Local,Measured_or_Nominal,Source_Method,Potential_Issue
P001,P001_MC01,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P001,P001_MC02,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P001,P001_MC03,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P002,P002_MC01,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P002,P002_MC02,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P002,P002_MC03,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P003,P003_MC01,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P003,P003_MC02,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P003,P003_MC03,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P003,P003_MC04,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P003,P003_MC05,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P003,P003_MC06,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P003,P003_MC07,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P007,P007_MC_A600_1h,False,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P007,P007_MC_A600_2h,False,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P007,P007_MC_A600_5h,False,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P007,P007_MC_A600_10h,False,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P007,P007_MC_A600_72h,False,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P008,P008_MC_N2p6_PC,False,True,at.%,BULK_AND_LOCAL_SEPARATE,MEASURED,,LOCAL_CHEMISTRY_PRESENT_KEEP_SEPARATE_FROM_BULK
P016,P016_MC_400C_3min,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P016,P016_MC_400C_10min,True,False,at.%,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P016,P016_MC_650C_3min,False,False,,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P016,P016_MC_650C_10min,False,False,,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P016,P016_MC_750C_3min,False,False,,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P016,P016_MC_750C_10min,False,False,,BULK_OR_NOMINAL,NOMINAL_OR_ORIGINAL,,MEASURED_BULK_UNAVAILABLE
P008,P008_MC_N0_HOMO,False,True,,BULK_OR_NOMINAL,MEASURED,,NONE_IDENTIFIED
P008,P008_MC_N0_PC,False,True,,BULK_OR_NOMINAL,MEASURED,,NONE_IDENTIFIED
P008,P008_MC_N0_FC,False,True,,BULK_OR_NOMINAL,MEASURED,,NONE_IDENTIFIED
P008,P008_MC_N2p6_HOMO,False,True,,BULK_OR_NOMINAL,MEASURED,,NONE_IDENTIFIED
P008,P008_MC_N2p6_FC,False,True,,BULK_OR_NOMINAL,MEASURED,,NONE_IDENTIFIED
