Paper_ID,ML_Condition_ID,Study_Series_ID,Material_Parent_ID,Physical_Batch_ID,Leakage_Group_Strict,Leakage_Group_Material,Effective_Study_Group,Effective_Material_Group,Effective_Batch_Group,Effective_Strict_Group,Effective_Leakage_Material_Group,Strict_Group_Source,Alloy_Family_ID,Safest_Grouping_Level,Safest_Group_ID,Fallback_Reason,Notes
P001,P001_MC01,,,,,,PAPER_FALLBACK::P001,PAPER_FALLBACK::P001,MATERIAL_FALLBACK::PAPER_FALLBACK::P001,PAPER_FALLBACK::P001,PAPER_FALLBACK::P001,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P001,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P001,P001_MC02,,,,,,PAPER_FALLBACK::P001,PAPER_FALLBACK::P001,MATERIAL_FALLBACK::PAPER_FALLBACK::P001,PAPER_FALLBACK::P001,PAPER_FALLBACK::P001,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P001,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P001,P001_MC03,,,,,,PAPER_FALLBACK::P001,PAPER_FALLBACK::P001,MATERIAL_FALLBACK::PAPER_FALLBACK::P001,PAPER_FALLBACK::P001,PAPER_FALLBACK::P001,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P001,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P002,P002_MC01,,,,,,PAPER_FALLBACK::P002,PAPER_FALLBACK::P002,MATERIAL_FALLBACK::PAPER_FALLBACK::P002,PAPER_FALLBACK::P002,PAPER_FALLBACK::P002,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Fe40Mn10Co20Cr20Ni10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P002,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P002,P002_MC02,,,,,,PAPER_FALLBACK::P002,PAPER_FALLBACK::P002,MATERIAL_FALLBACK::PAPER_FALLBACK::P002,PAPER_FALLBACK::P002,PAPER_FALLBACK::P002,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Fe40Mn10Co20Cr20Ni10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P002,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P002,P002_MC03,,,,,,PAPER_FALLBACK::P002,PAPER_FALLBACK::P002,MATERIAL_FALLBACK::PAPER_FALLBACK::P002,PAPER_FALLBACK::P002,PAPER_FALLBACK::P002,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Fe40Mn10Co20Cr20Ni10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P002,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P003,P003_MC01,,,,,,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,MATERIAL_FALLBACK::PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P003,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P003,P003_MC02,,,,,,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,MATERIAL_FALLBACK::PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P003,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P003,P003_MC03,,,,,,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,MATERIAL_FALLBACK::PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P003,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
P003,P003_MC04,,,,,,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,MATERIAL_FALLBACK::PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,Paper_ID_FALLBACK,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,Leakage_Group_Strict_WITH_PAPER_FALLBACK,PAPER_FALLBACK::P003,STRICT_STUDY_AND_MATERIAL_KEYS_MISSING; CONSERVATIVE_PAPER_FALLBACK,Fallback identifiers are split-control surrogates only; they do not assert physical batch identity or alter source hierarchy fields. Paper_ID is the universally observed outer boundary.
