Paper_ID,ML_Condition_ID,QC_Tier,Identity_Clear,Independent,Target_Evidence_Complete,Composition_Provenance,Test_Condition_Provenance,Initial_Microstructure_Provenance,Source_Traceability_Complete,Rule
P001,P001_MC01,QC_MEDIUM,False,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P001,P001_MC02,QC_MEDIUM,False,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P001,P001_MC03,QC_MEDIUM,False,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P002,P002_MC01,QC_MEDIUM,False,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P002,P002_MC02,QC_MEDIUM,False,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P002,P002_MC03,QC_MEDIUM,False,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P003,P003_MC01,QC_MEDIUM,False,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P003,P003_MC02,QC_MEDIUM,False,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P003,P003_MC03,QC_MEDIUM,False,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P003,P003_MC04,QC_MEDIUM,False,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P003,P003_MC05,QC_MEDIUM,False,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P003,P003_MC06,QC_MEDIUM,False,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P003,P003_MC07,QC_MEDIUM,False,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P007,P007_MC_A600_1h,QC_MEDIUM,True,True,True,False,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P007,P007_MC_A600_2h,QC_MEDIUM,True,True,True,False,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P007,P007_MC_A600_5h,QC_MEDIUM,True,True,False,False,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P007,P007_MC_A600_10h,QC_MEDIUM,True,True,True,False,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P007,P007_MC_A600_72h,QC_MEDIUM,True,True,True,False,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P008,P008_MC_N2p6_PC,QC_HIGH,True,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P016,P016_MC_400C_3min,QC_LOW,False,True,False,True,True,False,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P016,P016_MC_400C_10min,QC_LOW,False,True,False,True,True,False,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P016,P016_MC_650C_3min,QC_REVIEW,False,True,False,False,False,False,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P016,P016_MC_650C_10min,QC_REVIEW,False,True,False,False,False,False,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P016,P016_MC_750C_3min,QC_LOW,False,True,True,False,False,False,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P016,P016_MC_750C_10min,QC_REVIEW,False,True,False,False,False,False,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P008,P008_MC_N0_HOMO,QC_LOW,True,True,False,True,False,True,False,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P008,P008_MC_N0_PC,QC_MEDIUM,True,True,True,True,False,True,False,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P008,P008_MC_N0_FC,QC_LOW,True,True,False,True,False,True,False,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P008,P008_MC_N2p6_HOMO,QC_LOW,True,True,False,True,False,True,False,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P008,P008_MC_N2p6_FC,QC_MEDIUM,True,True,True,True,False,True,False,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P010,P010_MC_AlloyI,QC_MEDIUM,True,True,True,True,False,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P010,P010_MC_AlloyII,QC_MEDIUM,True,True,True,True,False,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P010,P010_MC_AlloyIII,QC_MEDIUM,True,True,True,True,False,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P011,P011_MC_A9_298K,QC_MEDIUM,True,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P011,P011_MC_A10_298K,QC_HIGH,True,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P011,P011_MC_A11_298K,QC_MEDIUM,True,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P011,P011_MC_A10_77K,QC_HIGH,True,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P012,P012_MC_BASE_RT,QC_MEDIUM,True,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P012,P012_MC_MO_RT,QC_MEDIUM,True,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P012,P012_MC_C_RT,QC_MEDIUM,True,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P012,P012_MC_BASE_77K,QC_MEDIUM,True,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P012,P012_MC_MO_77K,QC_MEDIUM,True,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P012,P012_MC_C_77K,QC_HIGH,True,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P013,P013_MC_ASCAST_RT,QC_HIGH,True,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P014,P014_MC_ASCAST,QC_MEDIUM,True,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P014,P014_MC_CR,QC_MEDIUM,True,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P014,P014_MC_A600,QC_HIGH,True,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P014,P014_MC_A650,QC_MEDIUM,True,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P014,P014_MC_A700,QC_MEDIUM,True,True,False,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P015,P015_MC_298K,QC_HIGH,True,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
P015,P015_MC_77K,QC_HIGH,True,True,True,True,True,True,True,HIGH=all 6 gates; MEDIUM=4-5; LOW=2-3; REVIEW=0-1. Target value and strength magnitude are never scored.
