Paper_ID,ML_Condition_ID,QC_V17_Tier,QC_V17_Review_Status
P001,P001_MC01,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P001,P001_MC02,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P001,P001_MC03,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P003,P003_MC01,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P003,P003_MC02,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P003,P003_MC03,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P003,P003_MC04,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P003,P003_MC05,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P003,P003_MC06,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P003,P003_MC07,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P007,P007_MC_A600_1h,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P007,P007_MC_A600_2h,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P007,P007_MC_A600_5h,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P007,P007_MC_A600_10h,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P007,P007_MC_A600_72h,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P008,P008_MC_N2p6_PC,TIER_A_JOINT_TARGET_M2_COMPLETE,PASS_WITH_DOCUMENTED_LIMITATIONS
P016,P016_MC_400C_3min,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
P016,P016_MC_400C_10min,TIER_C_EXPERIMENTAL_TARGET_GAP,PASS_WITH_DOCUMENTED_LIMITATIONS
