Paper_ID,Condition_ID,Temperature,Value,Units,Method,Current_Paper_or_Secondary,Experimental_or_Computational,Eligibility_Status
P002,P002_MC01,298.0,-292.0,J/mol,Thermo-Calc TCFE7,CURRENT_PAPER_OR_REPORTED_REVIEW,COMPUTATIONAL_THERMODYNAMIC,METHOD_SEPARATED; NO_BACK_CALCULATION
P002,P002_MC02,298.0,-292.0,J/mol,Thermo-Calc TCFE7,CURRENT_PAPER_OR_REPORTED_REVIEW,COMPUTATIONAL_THERMODYNAMIC,METHOD_SEPARATED; NO_BACK_CALCULATION
P002,P002_MC03,298.0,-292.0,J/mol,Thermo-Calc TCFE7,CURRENT_PAPER_OR_REPORTED_REVIEW,COMPUTATIONAL_THERMODYNAMIC,METHOD_SEPARATED; NO_BACK_CALCULATION
P002,P002_MC05,,-292.0,J/mol,Thermo-Calc TCFE7,CURRENT_PAPER_OR_REPORTED_REVIEW,COMPUTATIONAL_THERMODYNAMIC,METHOD_SEPARATED; NO_BACK_CALCULATION
P006,P006_MC_Ni20Fe20,298.0,87.0,J/mol,Thermo-Calc at 300 K,CURRENT_PAPER_OR_REPORTED_REVIEW,COMPUTATIONAL_THERMODYNAMIC,METHOD_SEPARATED; NO_BACK_CALCULATION
P006,P006_MC_Ni15Fe15,298.0,-34.0,J/mol,Thermo-Calc at 300 K,CURRENT_PAPER_OR_REPORTED_REVIEW,COMPUTATIONAL_THERMODYNAMIC,METHOD_SEPARATED; NO_BACK_CALCULATION
P006,P006_MC_Ni15Fe10,298.0,-276.0,J/mol,Thermo-Calc at 300 K,CURRENT_PAPER_OR_REPORTED_REVIEW,COMPUTATIONAL_THERMODYNAMIC,METHOD_SEPARATED; NO_BACK_CALCULATION
P012,P012_MC_BASE_RT,298.0,156.0,J/mol,Thermodynamic software; CURRENT_PAPER_CALCULATED,CURRENT_PAPER_OR_REPORTED_REVIEW,COMPUTATIONAL_THERMODYNAMIC,METHOD_SEPARATED; NO_BACK_CALCULATION
P012,P012_MC_MO_RT,298.0,109.0,J/mol,Thermodynamic software; CURRENT_PAPER_CALCULATED,CURRENT_PAPER_OR_REPORTED_REVIEW,COMPUTATIONAL_THERMODYNAMIC,METHOD_SEPARATED; NO_BACK_CALCULATION
P012,P012_MC_C_RT,298.0,170.0,J/mol,Thermodynamic software; CURRENT_PAPER_CALCULATED,CURRENT_PAPER_OR_REPORTED_REVIEW,COMPUTATIONAL_THERMODYNAMIC,METHOD_SEPARATED; NO_BACK_CALCULATION
P012,P012_MC_BASE_77K,77.0,-385.0,J/mol,Thermodynamic software; CURRENT_PAPER_CALCULATED,CURRENT_PAPER_OR_REPORTED_REVIEW,COMPUTATIONAL_THERMODYNAMIC,METHOD_SEPARATED; NO_BACK_CALCULATION
P012,P012_MC_MO_77K,77.0,-406.0,J/mol,Thermodynamic software; CURRENT_PAPER_CALCULATED,CURRENT_PAPER_OR_REPORTED_REVIEW,COMPUTATIONAL_THERMODYNAMIC,METHOD_SEPARATED; NO_BACK_CALCULATION
P012,P012_MC_C_77K,77.0,-370.0,J/mol,Thermodynamic software; CURRENT_PAPER_CALCULATED,CURRENT_PAPER_OR_REPORTED_REVIEW,COMPUTATIONAL_THERMODYNAMIC,METHOD_SEPARATED; NO_BACK_CALCULATION
