Paper_ID,ML_Condition_ID,DeltaG_FCC_HCP_J_mol,DeltaG_method,DeltaG_Value_Status,DeltaG_Data_Origin
P012,P012_MC_BASE_RT,156.0,Thermodynamic software; CURRENT_PAPER_CALCULATED,,
P012,P012_MC_MO_RT,109.0,Thermodynamic software; CURRENT_PAPER_CALCULATED,,
P012,P012_MC_C_RT,170.0,Thermodynamic software; CURRENT_PAPER_CALCULATED,,
P012,P012_MC_BASE_77K,-385.0,Thermodynamic software; CURRENT_PAPER_CALCULATED,,
P012,P012_MC_MO_77K,-406.0,Thermodynamic software; CURRENT_PAPER_CALCULATED,,
P012,P012_MC_C_77K,-370.0,Thermodynamic software; CURRENT_PAPER_CALCULATED,,
P002,P002_MC_A600_RT,-292.0,Thermo-Calc TCFE7,CURRENT_PAPER_CALCULATED,CALPHAD
P002,P002_MC_A700_RT,-292.0,Thermo-Calc TCFE7,CURRENT_PAPER_CALCULATED,CALPHAD
P002,P002_MC_A800_RT,-292.0,Thermo-Calc TCFE7,CURRENT_PAPER_CALCULATED,CALPHAD
P020,P020_MC_TRIPHEA_INSITU,,,NOT_REPORTED_IN_P020_MAIN_ARTICLE_NO_CROSS_PAPER_TRANSFER,UNRESOLVED_NO_P020_VALUE
P021,P021_MC_A900_5M_RT_G10,,,NOT_REPORTED_IN_CURRENT_PAPER,UNRESOLVED_NO_P021_VALUE
P021,P021_MC_A900_25M_RT_G19,,,NOT_REPORTED_IN_CURRENT_PAPER,UNRESOLVED_NO_P021_VALUE
P021,P021_MC_A1000_20M_RT_G41,,,NOT_REPORTED_IN_CURRENT_PAPER,UNRESOLVED_NO_P021_VALUE
P021,P021_MC_A1000_150M_RT_G150,,,NOT_REPORTED_IN_CURRENT_PAPER,UNRESOLVED_NO_P021_VALUE
P021,P021_MC_A1000_20M_77K_G41,,,NOT_REPORTED_IN_CURRENT_PAPER,UNRESOLVED_NO_P021_VALUE
P022,P022_MC_C0_ASCAST_RT,,,NOT_REPORTED,CURRENT_PAPER_GAP
P022,P022_MC_C2_ASCAST_RT,,,NOT_REPORTED,CURRENT_PAPER_GAP
P022,P022_MC_C4_ASCAST_RT,,,NOT_REPORTED,CURRENT_PAPER_GAP
P022,P022_MC_C2MO1_ASCAST_RT,,,NOT_REPORTED,CURRENT_PAPER_GAP
P022,P022_MC_C2MO2_ASCAST_RT,,,NOT_REPORTED,CURRENT_PAPER_GAP
P023,P023_MC_DPASS_RT,,,NOT_REPORTED,CURRENT_PAPER_GAP
P023,P023_MC_650_5_RT,,,NOT_REPORTED,CURRENT_PAPER_GAP
P023,P023_MC_650_15_RT,,,NOT_REPORTED,CURRENT_PAPER_GAP
P023,P023_MC_650_30_RT,,,NOT_REPORTED,CURRENT_PAPER_GAP
P023,P023_MC_850_5_RT,,,NOT_REPORTED,CURRENT_PAPER_GAP
P023,P023_MC_850_15_RT,,,NOT_REPORTED,CURRENT_PAPER_GAP
P023,P023_MC_850_30_RT,,,NOT_REPORTED,CURRENT_PAPER_GAP
