Feature_Name,Eligible_Experimental_Conditions,NonMissing_Count,Missing_Count,Coverage_Percent,Direct_Source_Count,Derived_Source_Count,Experimental_Count,Computational_Count,Secondary_Reference_Count,Ambiguous_Count,Potential_Leakage_Count
Nominal_chemistry,51,36,15,70.59,36,0,36,0,0,0,0
Measured_chemistry,51,12,39,23.53,12,0,12,0,0,0,0
Composition_basis,51,42,9,82.35,42,0,42,0,0,0,0
Melting_route,51,30,21,58.82,30,0,30,0,0,0,0
Homogenization,51,32,19,62.75,32,0,32,0,0,0,0
Rolling,51,38,13,74.51,38,0,38,0,0,0,0
Annealing,51,41,10,80.39,41,0,41,0,0,0,0
Quenching,51,27,24,52.94,27,0,27,0,0,0,0
Processing_route,51,47,4,92.16,47,0,47,0,0,0,0
Test_temperature,51,39,12,76.47,39,0,39,0,0,0,0
Strain_rate,51,47,4,92.16,47,0,47,0,0,0,0
Loading_mode,51,0,51,0.0,0,0,0,0,0,0,0
Loading_direction,51,11,40,21.57,11,0,11,0,0,0,0
Initial_FCC,51,39,12,76.47,39,0,39,0,0,0,0
Initial_HCP,51,34,17,66.67,34,0,34,0,0,0,0
Other_initial_phases,51,4,47,7.84,4,0,4,0,0,0,0
Grain_size,51,40,11,78.43,40,0,40,0,0,0,0
Twin_state_origin,51,28,23,54.9,28,0,28,0,0,0,0
Recrystallized_fraction,51,6,45,11.76,6,0,6,0,0,0,0
KAM,51,5,46,9.8,5,0,5,0,0,0,0
GOS,51,0,51,0.0,0,0,0,0,0,0,0
Phase_fraction_method,51,37,14,72.55,37,0,37,0,0,0,0
Experimental_SFE,51,6,45,11.76,6,0,6,0,0,0,0
SFE_method,51,24,27,47.06,24,0,24,0,0,0,0
DeltaG,51,9,42,17.65,9,0,9,0,0,0,0
DeltaG_method,51,9,42,17.65,9,0,9,0,0,0,0
Phase_stability,51,17,34,33.33,17,0,17,0,0,0,0
YS,51,32,19,62.75,32,0,32,0,0,0,32
UTS,51,28,23,54.9,28,0,28,0,0,0,28
Elongation,51,24,27,47.06,24,0,24,0,0,0,24
Uniform_elongation,51,12,39,23.53,12,0,12,0,0,0,12
True_stress_metrics,51,2,49,3.92,2,0,2,0,0,0,2
TRIP,51,32,19,62.75,32,0,32,0,0,0,32
TWIP,51,30,21,58.82,30,0,30,0,0,0,30
Joint_target,51,27,24,52.94,27,0,27,0,0,0,27
