Scientific_Family,Schema_Role,Field_n,CORE_M2_n
CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,12,0
CHEMISTRY,PREDICTOR_SAFE_DIRECT,14,4
CHEMISTRY,PROVENANCE_ONLY,7,0
COMPUTATIONAL_ONLY,COMPUTATIONAL_ONLY,23,0
IDENTITY_GROUPING,GROUPING_ONLY,18,0
IDENTITY_GROUPING,IDENTIFIER_ONLY,12,0
INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,21,0
INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,14,0
INITIAL_MICROSTRUCTURE,PROVENANCE_ONLY,12,0
MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,36,0
MECHANICAL_RESPONSE,LEAKAGE_POST_TEST,7,0
MECHANICAL_RESPONSE,PROVENANCE_ONLY,1,0
METHOD_OR_SCOPE_SENSITIVE,PREDICTOR_SAFE_CONDITIONAL,31,0
MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,24,0
MODEL_DERIVED_RESPONSE,PROVENANCE_ONLY,1,0
OTHER,METADATA_ONLY,19,0
PHYSICS_THERMODYNAMICS,METADATA_ONLY,2,0
PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,20,0
PHYSICS_THERMODYNAMICS,PROVENANCE_ONLY,8,0
POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,52,0
PROCESSING,METADATA_ONLY,1,0
PROCESSING,PREDICTOR_SAFE_CONDITIONAL,2,0
PROCESSING,PREDICTOR_SAFE_DIRECT,17,0
PROCESSING,PROVENANCE_ONLY,1,0
PROCESSING_OR_INITIAL_STATE,PREDICTOR_SAFE_DIRECT,56,0
PROVENANCE_QC,METADATA_ONLY,35,0
PROVENANCE_QC,PROVENANCE_ONLY,85,0
TARGET,PROVENANCE_ONLY,6,0
TARGET,TARGET_ONLY,48,0
TEST_CONDITIONS,METADATA_ONLY,4,0
TEST_CONDITIONS,PREDICTOR_SAFE_CONDITIONAL,2,0
TEST_CONDITIONS,PREDICTOR_SAFE_DIRECT,3,2
TEST_CONDITIONS,PROVENANCE_ONLY,2,0
