Paper_ID,ML_Condition_ID,Nominal_chemistry,Measured_chemistry,Composition_basis,Melting_route,Homogenization,Rolling,Annealing,Quenching,Processing_route,Test_temperature,Strain_rate,Loading_mode,Loading_direction,Initial_FCC,Initial_HCP,Other_initial_phases,Grain_size,Twin_state_origin,Recrystallized_fraction,KAM,GOS,Phase_fraction_method,Experimental_SFE,SFE_method,DeltaG,DeltaG_method,Phase_stability,YS,UTS,Elongation,Uniform_elongation,True_stress_metrics,TRIP,TWIP,Joint_target,Evidence_quality
P001,P001_MC01,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P001,P001_MC02,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P001,P001_MC03,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P002,P002_MC01,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P002,P002_MC02,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P002,P002_MC03,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P003,P003_MC01,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
P003,P003_MC02,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Medium
P003,P003_MC03,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Medium
P003,P003_MC04,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,MISSING,AVAILABLE,MISSING,MISSING,MISSING,AVAILABLE,AVAILABLE,MISSING,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,AVAILABLE,High
