Column_Name,Scientific_Family,Schema_Role,Experimental_Coverage_n,Experimental_Coverage_pct,CORE_M2,Pilot_M2_Action
Paper_ID,IDENTITY_GROUPING,IDENTIFIER_ONLY,69,100.0,False,EXCLUDE
DOI,IDENTITY_GROUPING,IDENTIFIER_ONLY,69,100.0,False,EXCLUDE
Paper_Title,PROVENANCE_QC,METADATA_ONLY,59,85.507,False,EXCLUDE
Condition_ID,IDENTITY_GROUPING,IDENTIFIER_ONLY,69,100.0,False,EXCLUDE
Experiment_Group_ID,IDENTITY_GROUPING,GROUPING_ONLY,39,56.522,False,EXCLUDE
Original_Experiment_Group_ID,IDENTITY_GROUPING,GROUPING_ONLY,21,30.435,False,EXCLUDE
Row_Type,PROVENANCE_QC,METADATA_ONLY,44,63.768,False,EXCLUDE
Alloy_ID,IDENTITY_GROUPING,IDENTIFIER_ONLY,60,86.957,False,EXCLUDE
Original_Composition,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,54,78.261,False,EXCLUDE
Composition_basis,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,60,86.957,False,EXCLUDE
Fe_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,55,79.71,True,INCLUDE_COMPLETE_CASE_ONLY
Mn_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,55,79.71,True,INCLUDE_COMPLETE_CASE_ONLY
Co_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,53,76.812,True,INCLUDE_COMPLETE_CASE_ONLY
Cr_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,55,79.71,True,INCLUDE_COMPLETE_CASE_ONLY
Ni_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,23,33.333,False,EXCLUDE
N_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,1,1.449,False,EXCLUDE
C_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,9,13.043,False,EXCLUDE
Mo_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,7,10.145,False,EXCLUDE
Si_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,15,21.739,False,EXCLUDE
Ti_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,5,7.246,False,EXCLUDE
V_at%,CHEMISTRY,PREDICTOR_SAFE_DIRECT,5,7.246,False,EXCLUDE
Other_elements,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,7,10.145,False,EXCLUDE
Processing_route,PROCESSING,PREDICTOR_SAFE_DIRECT,60,86.957,False,EXCLUDE
Cast_method,PROCESSING,PREDICTOR_SAFE_DIRECT,48,69.565,False,EXCLUDE
Homogenization_T_K,PROCESSING,PREDICTOR_SAFE_DIRECT,38,55.072,False,EXCLUDE
