Feature_Name,Leakage_Category,Leakage_Risk,Predictor_Eligibility,Rationale
Paper_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
DOI,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Paper_Title,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Condition_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Experiment_Group_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Original_Experiment_Group_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Row_Type,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Alloy_ID,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Original_Composition,PRE_TEST_SAFE,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Composition_basis,PRE_TEST_SAFE,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Fe_at%,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Mn_at%,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Co_at%,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Cr_at%,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Ni_at%,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
N_at%,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
C_at%,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Mo_at%,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Si_at%,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Ti_at%,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
V_at%,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Other_elements,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Processing_route,PRE_TEST_SAFE,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Cast_method,PRE_TEST_SAFE,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Homogenization_T_K,PRE_TEST_SAFE,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Homogenization_time_h,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Hot_rolling_T_K,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Hot_rolling_reduction_pct,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Cold_rolling_reduction_pct,PRE_TEST_SAFE,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Annealing_T_K,PRE_TEST_SAFE,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Annealing_time_min,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Cooling_route,UNKNOWN_REVIEW,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
Test_T_K,TEST_CONDITION_SAFE,REVIEW,PREDICTOR_ELIGIBILITY_UNRESOLVED,Classification only; final feature inclusion is outside this QC pass.
