Paper_ID,Record_ID,Parent_ID,Current_Role,Independent_Experimental,Independent_Computational,Possible_Duplicate_Group,Issue_Type,Severity,Recommended_Action,Evidence
P001,OBS001,P001_PE01,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P001_MC01,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P001,OBS002,P001_PE02,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P001_MC02,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P001,OBS003,P001_PE03,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P001_MC03,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P001,OBS004,P001_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P001_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P001,OBS005,P001_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P001_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P001,OBS006,P001_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P001_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P001,OBS007,P001_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P001_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P001,OBS008,P001_PE01,EXPERIMENTAL_STAGE_CHILD,False,False,P001_MC01,CORRELATED_STAGE,P0_IF_COUNTED,EXCLUDE_FROM_INDEPENDENT_COUNT; RETAIN_AS_SUPPORT,Data_Origin=EXPERIMENTAL; Observation_Role=REPEATED_STAGE; QC_Duplicate_Status=STAGE_CORRELATED_EXCLUDED
P002,OBS009,P002_PE01,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P002_MC01,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P002,OBS010,P002_PE02,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P002_MC02,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P002,OBS011,P002_PE03,EXPERIMENTAL_PRIMARY_CONDITION,True,False,P002_MC03,NONE,INFO,RETAIN_AS_SINGLE_INDEPENDENT_CONDITION,Data_Origin=EXPERIMENTAL; Observation_Role=INDEPENDENT_CONDITION; QC_Duplicate_Status=NO_DOUBLE_COUNT
P002,OBS012,P002_PE04,SUMMARY_SUPPORT,False,False,P002_MC04,NONPRIMARY_RECORD,P1_OR_INFO,PRESERVE; EXCLUDE_FROM_PRIMARY_INDEX,Data_Origin=EXPERIMENTAL; Observation_Role=SUMMARY; QC_Duplicate_Status=NO_DOUBLE_COUNT
