Paper_ID,ML_Condition_ID,Initial_FCC,Initial_HCP,Initial_BCC,Initial_Precipitates,Grain_Size,Twin_Origin,Thermal_Martensite,Processing_Induced_Martensite,Recrystallized_Fraction,Measurement_Method,Pre_Post_Separation_Status
P001,P001_MC01,1.0,0.0,,,14.9,abundant annealing twins in recrystallized FCC,,,,SEM/BSE; EBSD; ECC; XRD; WBDF-STEM; HRTEM; APT; neutron diffraction; DIC,SEPARATED; POST_TEST_FIELDS_NOT_USED_AS_INITIAL
P001,P001_MC02,1.0,0.0,,,45.6,abundant annealing twins in recrystallized FCC,,,,SEM/BSE; EBSD; ECC; XRD; WBDF-STEM; HRTEM; APT; neutron diffraction; DIC,SEPARATED; POST_TEST_FIELDS_NOT_USED_AS_INITIAL
P001,P001_MC03,1.0,0.0,,,135.3,abundant annealing twins in recrystallized FCC,,,,SEM/BSE; EBSD; ECC; XRD; WBDF-STEM; HRTEM; APT; neutron diffraction; DIC,SEPARATED; POST_TEST_FIELDS_NOT_USED_AS_INITIAL
P002,P002_MC01,1.0,0.0,,,4.7,initial FCC; annealing twins in recrystallized regions,,,,EBSD; XRD; EDS; TEM; HAADF-STEM; DIC,SEPARATED; POST_TEST_FIELDS_NOT_USED_AS_INITIAL
P002,P002_MC02,1.0,0.0,,,,initial FCC; annealing twins in recrystallized regions,,,,EBSD; XRD; EDS; TEM; HAADF-STEM; DIC,SEPARATED; POST_TEST_FIELDS_NOT_USED_AS_INITIAL
P002,P002_MC03,1.0,0.0,,,,initial FCC; annealing twins in recrystallized regions,,,,EBSD; XRD; EDS; TEM; HAADF-STEM; DIC,SEPARATED; POST_TEST_FIELDS_NOT_USED_AS_INITIAL
P003,P003_MC01,0.63,0.37,,,4.5,Initial dual phase FCC+HCP; no elemental segregation at grain scale,,,,Tensile; DSC; dilatometry; SEM/EBSD; TEM,SEPARATED; POST_TEST_FIELDS_NOT_USED_AS_INITIAL
P003,P003_MC02,0.63,0.37,,,4.5,Initial dual phase FCC+HCP; no elemental segregation at grain scale,,,,Tensile; DSC; dilatometry; SEM/EBSD; TEM,SEPARATED; POST_TEST_FIELDS_NOT_USED_AS_INITIAL
P003,P003_MC03,0.63,0.37,,,4.5,Initial dual phase FCC+HCP; no elemental segregation at grain scale,,,,Tensile; DSC; dilatometry; SEM/EBSD; TEM,SEPARATED; POST_TEST_FIELDS_NOT_USED_AS_INITIAL
P003,P003_MC04,0.63,0.37,,,4.5,Initial dual phase FCC+HCP; no elemental segregation at grain scale,,,,Tensile; DSC; dilatometry; SEM/EBSD; TEM,SEPARATED; POST_TEST_FIELDS_NOT_USED_AS_INITIAL
P003,P003_MC05,0.63,0.37,,,4.5,Initial dual phase FCC+HCP; no elemental segregation at grain scale,,,,Tensile; DSC; dilatometry; SEM/EBSD; TEM,SEPARATED; POST_TEST_FIELDS_NOT_USED_AS_INITIAL
P003,P003_MC06,0.63,0.37,,,4.5,Initial dual phase FCC+HCP; no elemental segregation at grain scale,,,,Tensile; DSC; dilatometry; SEM/EBSD; TEM,SEPARATED; POST_TEST_FIELDS_NOT_USED_AS_INITIAL
P003,P003_MC07,0.63,0.37,,,4.5,Initial dual phase FCC+HCP; no elemental segregation at grain scale,,,,Tensile; DSC; dilatometry; SEM/EBSD; TEM,SEPARATED; POST_TEST_FIELDS_NOT_USED_AS_INITIAL
