Paper_ID,Legacy_Record_ID,Exact_Record_ID,Mapping_Status,Legacy_Row_Preserved,Exact_Row_Present,Independent_Count_Source,Double_Count_Risk,Issue
P011,P011_C01,nan,SOURCE_STATE_ONLY; LEGACY_TARGETS_UNSUPPORTED,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P011,P011_C02,P011_MC_A9_298K,EXACT_REPLACEMENT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P011,P011_C03,P011_MC_A10_298K,EXACT_REPLACEMENT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P011,P011_C04,P011_MC_A11_298K,EXACT_REPLACEMENT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P011,P011_C05,P011_MC_A10_77K,EXACT_REPLACEMENT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P012,P012_C01,P012_MC_BASE_RT,EXACT_REPLACEMENT; LEGACY_RETAINED_EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P012,P012_C02,P012_MC_BASE_77K,EXACT_REPLACEMENT; LEGACY_RETAINED_EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P012,P012_C03,P012_MC_C_RT,EXACT_REPLACEMENT; LEGACY_RETAINED_EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P012,P012_C04,P012_MC_C_77K,EXACT_REPLACEMENT; LEGACY_RETAINED_EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P012,P012_C05,P012_MC_MO_RT,EXACT_REPLACEMENT; LEGACY_RETAINED_EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P012,P012_C06,P012_MC_MO_77K,EXACT_REPLACEMENT; LEGACY_RETAINED_EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
P013,P013_C01,P013_MC_ASCAST_RT,LEGACY_COLLAPSED; RETAINED; EXCLUDED_FROM_INDEPENDENT_COUNT,True,True,EXACT_RECORD,CONTROLLED_EXCLUDED,NONE
