Paper_ID,QC_V17_Replacement_Status,Row_n
P001,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,3
P001,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,5
P002,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,3
P002,LEGACY_OR_REPLACED_EXCLUDED_FROM_CURRENT_COUNT,3
P002,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,14
P003,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,7
P004,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,6
P005,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,3
P006,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,3
P007,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,5
P007,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,5
P008,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,6
P008,LEGACY_OR_REPLACED_EXCLUDED_FROM_CURRENT_COUNT,1
P009,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,7
P010,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,3
P010,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,9
P011,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,4
P011,LEGACY_OR_REPLACED_EXCLUDED_FROM_CURRENT_COUNT,5
P011,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,6
P012,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,6
P012,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,26
P013,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,1
P013,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,10
P014,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,5
P014,LEGACY_OR_REPLACED_EXCLUDED_FROM_CURRENT_COUNT,5
P014,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,4
P015,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,2
P015,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,2
P016,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,6
P016,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,7
P017,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,20
P018,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,12
P019,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,3
P020,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,1
P020,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,6
P021,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,5
P022,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,5
P022,NOT_AN_INDEPENDENT_EXPERIMENTAL_ROW,3
P023,CURRENT_INDEPENDENT_EXPERIMENTAL_CONDITION,7
