Paper_ID,DOI,Source_Availability,Recovery_Status,Data_Domain,Independent_Experimental_Conditions,Independent_Computational_Conditions,Experimental_Stage_Children,Computational_Stage_Children,Usable_TRIP,Usable_TWIP,Usable_Joint,Legacy_Rows,Exact_Replacement_Rows,Remaining_Identity_Issues,Remaining_Scientific_Gaps
P001,10.1016/j.actamat.2023.119389,SOURCE_RECOVERY_OR_REPOSITORY_EVIDENCE_AVAILABLE,RECOVERY_STATUS_VARIES_BY_PAPER,EXPERIMENTAL,3,0,5,0,3,3,3,0,3,SEE_GLOBAL_QC_ISSUES,SEE_FEATURE_COVERAGE
P002,10.1016/j.msea.2020.140441,SOURCE_RECOVERY_OR_REPOSITORY_EVIDENCE_AVAILABLE,RECOVERY_STATUS_VARIES_BY_PAPER,CALPHAD;EXPERIMENTAL,3,0,0,0,3,3,3,1,3,SEE_GLOBAL_QC_ISSUES,SEE_FEATURE_COVERAGE
P003,10.1016/j.msea.2020.138982,SOURCE_RECOVERY_OR_REPOSITORY_EVIDENCE_AVAILABLE,RECOVERY_STATUS_VARIES_BY_PAPER,EXPERIMENTAL,7,0,0,0,3,3,3,0,7,SEE_GLOBAL_QC_ISSUES,P003_MC02;P003_MC03;P003_MC05;P003_MC06
P004,10.1016/j.msea.2026.150025,SOURCE_RECOVERY_OR_REPOSITORY_EVIDENCE_AVAILABLE,RECOVERY_STATUS_VARIES_BY_PAPER,EXPERIMENTAL,0,0,6,0,0,0,0,0,0,SEE_GLOBAL_QC_ISSUES,SEE_FEATURE_COVERAGE
P005,10.1016/j.actamat.2022.118049,SOURCE_RECOVERY_OR_REPOSITORY_EVIDENCE_AVAILABLE,RECOVERY_STATUS_VARIES_BY_PAPER,EXPERIMENTAL,0,0,3,0,0,0,0,0,0,SEE_GLOBAL_QC_ISSUES,SEE_FEATURE_COVERAGE
P006,10.1016/j.scriptamat.2019.02.018,SOURCE_RECOVERY_OR_REPOSITORY_EVIDENCE_AVAILABLE,RECOVERY_STATUS_VARIES_BY_PAPER,HYBRID,0,0,0,0,0,0,0,0,0,SEE_GLOBAL_QC_ISSUES,SEE_FEATURE_COVERAGE
P007,10.1016/j.actamat.2022.117974,SOURCE_RECOVERY_OR_REPOSITORY_EVIDENCE_AVAILABLE,RECOVERY_STATUS_VARIES_BY_PAPER,EXPERIMENTAL,5,0,5,0,4,4,4,0,5,SEE_GLOBAL_QC_ISSUES,P007_MC_A600_5h
P008,10.1016/j.ijplas.2021.102965,SOURCE_RECOVERY_OR_REPOSITORY_EVIDENCE_AVAILABLE,RECOVERY_STATUS_VARIES_BY_PAPER,EXPERIMENTAL,6,0,0,0,4,3,3,0,6,SEE_GLOBAL_QC_ISSUES,P008_MC_N0_HOMO;P008_MC_N0_FC;P008_MC_N2p6_HOMO
P009,10.1126/sciadv.abo7333,SOURCE_RECOVERY_OR_REPOSITORY_EVIDENCE_AVAILABLE,RECOVERY_STATUS_VARIES_BY_PAPER,HYBRID,0,0,0,0,0,0,0,0,0,SEE_GLOBAL_QC_ISSUES,SEE_FEATURE_COVERAGE
P010,10.1103/PhysRevMaterials.4.033601,SOURCE_RECOVERY_OR_REPOSITORY_EVIDENCE_AVAILABLE,RECOVERY_STATUS_VARIES_BY_PAPER,EXPERIMENTAL;HYBRID,3,0,6,0,3,3,3,0,3,SEE_GLOBAL_QC_ISSUES,SEE_FEATURE_COVERAGE
