Target,Concentration_Level,Group_ID,Positive_Conditions,Total_Positive_Conditions,Positive_Share,Papers,Study_Series,Material_Parents,Alloy_Families,Generalization_Interpretation,Notes
T1_TRIP,PAPER,P001,3,27,0.1111,P001,PAPER_FALLBACK::P001,PAPER_FALLBACK::P001,SOURCE_COMPOSITION_TEXT::Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,G3_UNSEEN_STUDY_OR_PAPER_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,PAPER,P002,2,27,0.0741,P002,PAPER_FALLBACK::P002,PAPER_FALLBACK::P002,SOURCE_COMPOSITION_TEXT::Fe40Mn10Co20Cr20Ni10,G3_UNSEEN_STUDY_OR_PAPER_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,PAPER,P003,3,27,0.1111,P003,PAPER_FALLBACK::P003,PAPER_FALLBACK::P003,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,G3_UNSEEN_STUDY_OR_PAPER_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,PAPER,P007,4,27,0.1481,P007,P007_SERIES01,P007_MAT01,MATERIAL_PARENT::P007_MAT01,G3_UNSEEN_STUDY_OR_PAPER_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,PAPER,P008,2,27,0.0741,P008,P008_SERIES01,P008_MAT_N0,MATERIAL_PARENT::P008_MAT_N0,G3_UNSEEN_STUDY_OR_PAPER_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,PAPER,P010,2,27,0.0741,P010,P010_SERIES01,P010_MAT_AlloyI|P010_MAT_AlloyIII,SOURCE_COMPOSITION_TEXT::Cr19.93±0.12 Mn23.81±0.22 Fe30.39±0.15 Co19.87±0.14 Ni5.99±0.03|SOURCE_COMPOSITION_TEXT::Cr20.33±0.12 Mn15.35±0.21 Fe32.36±0.11 Co20.61±0.12 Ni11.35±0.03,G3_UNSEEN_STUDY_OR_PAPER_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,PAPER,P011,2,27,0.0741,P011,P011_SERIES01,P011_MAT_FE50MN30CO10CR10,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,G3_UNSEEN_STUDY_OR_PAPER_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,PAPER,P012,3,27,0.1111,P012,P012_SERIES01,P012_MAT_BASE|P012_MAT_C|P012_MAT_MO,SOURCE_COMPOSITION_TEXT::Fe38.3Mn40.5Co9.7Cr9.8Mo1.7|SOURCE_COMPOSITION_TEXT::Fe39.13Mn41.23Co9.98Cr9.06C0.6|SOURCE_COMPOSITION_TEXT::Fe39.9Mn40.3Co10.0Cr9.8,G3_UNSEEN_STUDY_OR_PAPER_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,PAPER,P013,1,27,0.037,P013,P013_SERIES01,P013_MAT_ASCAST,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,G3_UNSEEN_STUDY_OR_PAPER_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
T1_TRIP,PAPER,P014,1,27,0.037,P014,P014_SERIES01,P014_MAT_FE50MN30CO10CR10,SOURCE_COMPOSITION_TEXT::Fe50Mn30Co10Cr10,G3_UNSEEN_STUDY_OR_PAPER_IF_HELD_OUT,"Alloy family uses exact unparsed Original_Composition text when available, then exact nominal text, then an existing Material_Parent_ID or source Alloy_ID, otherwise a paper fallback. Exact-text matching is an audit control only; no composition parsing or chemistry reconciliation occurred."
