Paper_ID,ML_Condition_ID,DOI,Observation_ID,Evidence_Location_or_Source_File,Core_Provenance_Complete
P001,P001_MC01,10.1016/j.actamat.2023.119389,OBS001,True,True
P001,P001_MC02,10.1016/j.actamat.2023.119389,OBS002,True,True
P001,P001_MC03,10.1016/j.actamat.2023.119389,OBS003,True,True
P003,P003_MC01,10.1016/j.msea.2020.138982,OBS014,True,True
P003,P003_MC02,10.1016/j.msea.2020.138982,OBS015,True,True
P003,P003_MC03,10.1016/j.msea.2020.138982,OBS016,True,True
P003,P003_MC04,10.1016/j.msea.2020.138982,OBS017,True,True
P003,P003_MC05,10.1016/j.msea.2020.138982,OBS018,True,True
P003,P003_MC06,10.1016/j.msea.2020.138982,OBS019,True,True
P003,P003_MC07,10.1016/j.msea.2020.138982,OBS020,True,True
P007,P007_MC_A600_1h,10.1016/j.actamat.2022.117974,OBS033,True,True
P007,P007_MC_A600_2h,10.1016/j.actamat.2022.117974,OBS034,True,True
P007,P007_MC_A600_5h,10.1016/j.actamat.2022.117974,OBS035,True,True
P007,P007_MC_A600_10h,10.1016/j.actamat.2022.117974,OBS036,True,True
P007,P007_MC_A600_72h,10.1016/j.actamat.2022.117974,OBS037,True,True
P008,P008_MC_N2p6_PC,10.1016/j.ijplas.2021.102965,OBS039,True,True
P016,P016_MC_400C_3min,10.1016/j.actamat.2018.10.017,OBS073,True,True
P016,P016_MC_400C_10min,10.1016/j.actamat.2018.10.017,OBS074,True,True
P016,P016_MC_650C_3min,10.1016/j.actamat.2018.10.017,P016_OBS_CONDITION_650C_3min,True,True
P016,P016_MC_650C_10min,10.1016/j.actamat.2018.10.017,P016_OBS_CONDITION_650C_10min,True,True
P016,P016_MC_750C_3min,10.1016/j.actamat.2018.10.017,P016_OBS_CONDITION_750C_3min,True,True
P016,P016_MC_750C_10min,10.1016/j.actamat.2018.10.017,P016_OBS_CONDITION_750C_10min,True,True
P008,P008_MC_N0_HOMO,10.1016/j.ijplas.2021.102965,P008_OBS_N0_HOMO,True,True
P008,P008_MC_N0_PC,10.1016/j.ijplas.2021.102965,P008_OBS_N0_PC,True,True
P008,P008_MC_N0_FC,10.1016/j.ijplas.2021.102965,P008_OBS_N0_FC,True,True
P008,P008_MC_N2p6_HOMO,10.1016/j.ijplas.2021.102965,P008_OBS_N2p6_HOMO,True,True
P008,P008_MC_N2p6_FC,10.1016/j.ijplas.2021.102965,P008_OBS_N2p6_FC,True,True
P010,P010_MC_AlloyI,10.1103/PhysRevMaterials.4.033601,P010_OBS_AlloyI_condition,True,True
P010,P010_MC_AlloyII,10.1103/PhysRevMaterials.4.033601,P010_OBS_AlloyII_condition,True,True
P010,P010_MC_AlloyIII,10.1103/PhysRevMaterials.4.033601,P010_OBS_AlloyIII_condition,True,True
P011,P011_MC_A9_298K,10.1016/j.jallcom.2023.170225,P011_OBS_A9_298K_condition,True,True
P011,P011_MC_A10_298K,10.1016/j.jallcom.2023.170225,P011_OBS_A10_298K_condition,True,True
P011,P011_MC_A11_298K,10.1016/j.jallcom.2023.170225,P011_OBS_A11_298K_condition,True,True
P011,P011_MC_A10_77K,10.1016/j.jallcom.2023.170225,P011_OBS_A10_77K_condition,True,True
P012,P012_MC_BASE_RT,10.1016/j.jallcom.2022.165108,P012_OBS_BASE_RT_condition,True,True
P012,P012_MC_MO_RT,10.1016/j.jallcom.2022.165108,P012_OBS_MO_RT_condition,True,True
P012,P012_MC_C_RT,10.1016/j.jallcom.2022.165108,P012_OBS_C_RT_condition,True,True
P012,P012_MC_BASE_77K,10.1016/j.jallcom.2022.165108,P012_OBS_BASE_77K_condition,True,True
P012,P012_MC_MO_77K,10.1016/j.jallcom.2022.165108,P012_OBS_MO_77K_condition,True,True
P012,P012_MC_C_77K,10.1016/j.jallcom.2022.165108,P012_OBS_C_77K_condition,True,True
P013,P013_MC_ASCAST_RT,10.1016/j.ijplas.2024.104048,P013_OBS_CONDITION,True,True
P014,P014_MC_ASCAST,10.3390/ma17235893,P014_OBS_CONDITION_ASCAST,True,True
P014,P014_MC_CR,10.3390/ma17235893,P014_OBS_CONDITION_CR,True,True
P014,P014_MC_A600,10.3390/ma17235893,P014_OBS_CONDITION_A600,True,True
P014,P014_MC_A650,10.3390/ma17235893,P014_OBS_CONDITION_A650,True,True
P014,P014_MC_A700,10.3390/ma17235893,P014_OBS_CONDITION_A700,True,True
P015,P015_MC_298K,10.1016/j.jallcom.2026.188919,P015_OBS_298K,True,True
P015,P015_MC_77K,10.1016/j.jallcom.2026.188919,P015_OBS_77K,True,True
P002,P002_MC_A600_RT,10.1016/j.msea.2020.140441,P002_OBS_A600_RT,True,True
P002,P002_MC_A700_RT,10.1016/j.msea.2020.140441,P002_OBS_A700_RT,True,True
P002,P002_MC_A800_RT,10.1016/j.msea.2020.140441,P002_OBS_A800_RT,True,True
P020,P020_MC_TRIPHEA_INSITU,10.1080/21663831.2018.1523239,P020_OBS_PRIMARY,True,True
P021,P021_MC_A900_5M_RT_G10,10.1016/j.jallcom.2021.162765,P021_OBS_A900_5M_RT_G10,True,True
P021,P021_MC_A900_25M_RT_G19,10.1016/j.jallcom.2021.162765,P021_OBS_A900_25M_RT_G19,True,True
P021,P021_MC_A1000_20M_RT_G41,10.1016/j.jallcom.2021.162765,P021_OBS_A1000_20M_RT_G41,True,True
P021,P021_MC_A1000_150M_RT_G150,10.1016/j.jallcom.2021.162765,P021_OBS_A1000_150M_RT_G150,True,True
P021,P021_MC_A1000_20M_77K_G41,10.1016/j.jallcom.2021.162765,P021_OBS_A1000_20M_77K_G41,True,True
P022,P022_MC_C0_ASCAST_RT,10.1007/s10853-019-04064-9,P022_OBS_C0_ASCAST_RT,True,True
P022,P022_MC_C2_ASCAST_RT,10.1007/s10853-019-04064-9,P022_OBS_C2_ASCAST_RT,True,True
P022,P022_MC_C4_ASCAST_RT,10.1007/s10853-019-04064-9,P022_OBS_C4_ASCAST_RT,True,True
P022,P022_MC_C2MO1_ASCAST_RT,10.1007/s10853-019-04064-9,P022_OBS_C2MO1_ASCAST_RT,True,True
P022,P022_MC_C2MO2_ASCAST_RT,10.1007/s10853-019-04064-9,P022_OBS_C2MO2_ASCAST_RT,True,True
P023,P023_MC_DPASS_RT,10.1016/j.apmt.2018.09.002,P023_OBS_DPASS_RT,True,True
P023,P023_MC_650_5_RT,10.1016/j.apmt.2018.09.002,P023_OBS_650_5_RT,True,True
P023,P023_MC_650_15_RT,10.1016/j.apmt.2018.09.002,P023_OBS_650_15_RT,True,True
P023,P023_MC_650_30_RT,10.1016/j.apmt.2018.09.002,P023_OBS_650_30_RT,True,True
P023,P023_MC_850_5_RT,10.1016/j.apmt.2018.09.002,P023_OBS_850_5_RT,True,True
P023,P023_MC_850_15_RT,10.1016/j.apmt.2018.09.002,P023_OBS_850_15_RT,True,True
P023,P023_MC_850_30_RT,10.1016/j.apmt.2018.09.002,P023_OBS_850_30_RT,True,True
