Paper_ID,Condition_ID,Composition,Temperature,Crystal_Structure,Value,Units,SFE_Type,Method,Experimental_or_Computational,Current_Paper_or_Secondary,Temperature_Specific,Eligibility_Status
P001,P001_MC01,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,298.0,FCC_OR_SOURCE_SPECIFIC,7.0,mJ/m^2,REPORTED_SFE,weak-beam dark-field STEM partial separation,EXPERIMENTAL_DIRECT,CURRENT_PAPER_OR_REPORTED,True,EXPERIMENTAL_COVERAGE_ELIGIBLE
P001,P001_MC02,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,298.0,FCC_OR_SOURCE_SPECIFIC,7.0,mJ/m^2,REPORTED_SFE,weak-beam dark-field STEM partial separation,EXPERIMENTAL_DIRECT,CURRENT_PAPER_OR_REPORTED,True,EXPERIMENTAL_COVERAGE_ELIGIBLE
P001,P001_MC03,Nominal Fe30Ni20Co20Cr20Si10; measured Fe29.33Ni20.32Co20.26Cr19.86Si10.2,298.0,FCC_OR_SOURCE_SPECIFIC,7.0,mJ/m^2,REPORTED_SFE,weak-beam dark-field STEM partial separation,EXPERIMENTAL_DIRECT,CURRENT_PAPER_OR_REPORTED,True,EXPERIMENTAL_COVERAGE_ELIGIBLE
P002,P002_MC01,Fe40Mn10Co20Cr20Ni10,298.0,FCC_OR_SOURCE_SPECIFIC,14.0,mJ/m^2,REPORTED_SFE,estimated/calculated in paper,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P002,P002_MC02,Fe40Mn10Co20Cr20Ni10,298.0,FCC_OR_SOURCE_SPECIFIC,14.0,mJ/m^2,REPORTED_SFE,estimated/calculated in paper,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P002,P002_MC03,Fe40Mn10Co20Cr20Ni10,298.0,FCC_OR_SOURCE_SPECIFIC,14.0,mJ/m^2,REPORTED_SFE,estimated/calculated in paper,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P002,P002_MC05,Fe40Mn10Co20Cr20Ni10,,FCC_OR_SOURCE_SPECIFIC,14.0,mJ/m^2,REPORTED_SFE,estimated/calculated in paper,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,False,NOT_EXPERIMENTAL_SFE
P003,P003_MC01,Fe50Mn30Co10Cr10,300.0,FCC_OR_SOURCE_SPECIFIC,6.5,mJ/m^2,REPORTED_SFE,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,AMBIGUOUS_REPORTED_OR_ESTIMATED,CURRENT_PAPER_OR_REPORTED,True,AMBIGUOUS_METHOD_REVIEW
P003,P003_MC02,Fe50Mn30Co10Cr10,300.0,FCC_OR_SOURCE_SPECIFIC,6.5,mJ/m^2,REPORTED_SFE,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,AMBIGUOUS_REPORTED_OR_ESTIMATED,CURRENT_PAPER_OR_REPORTED,True,AMBIGUOUS_METHOD_REVIEW
P003,P003_MC03,Fe50Mn30Co10Cr10,300.0,FCC_OR_SOURCE_SPECIFIC,6.5,mJ/m^2,REPORTED_SFE,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,AMBIGUOUS_REPORTED_OR_ESTIMATED,CURRENT_PAPER_OR_REPORTED,True,AMBIGUOUS_METHOD_REVIEW
P003,P003_MC04,Fe50Mn30Co10Cr10,300.0,FCC_OR_SOURCE_SPECIFIC,6.5,mJ/m^2,REPORTED_SFE,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,AMBIGUOUS_REPORTED_OR_ESTIMATED,CURRENT_PAPER_OR_REPORTED,True,AMBIGUOUS_METHOD_REVIEW
P003,P003_MC05,Fe50Mn30Co10Cr10,300.0,FCC_OR_SOURCE_SPECIFIC,6.5,mJ/m^2,REPORTED_SFE,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,AMBIGUOUS_REPORTED_OR_ESTIMATED,CURRENT_PAPER_OR_REPORTED,True,AMBIGUOUS_METHOD_REVIEW
P003,P003_MC06,Fe50Mn30Co10Cr10,300.0,FCC_OR_SOURCE_SPECIFIC,6.5,mJ/m^2,REPORTED_SFE,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,AMBIGUOUS_REPORTED_OR_ESTIMATED,CURRENT_PAPER_OR_REPORTED,True,AMBIGUOUS_METHOD_REVIEW
P003,P003_MC07,Fe50Mn30Co10Cr10,300.0,FCC_OR_SOURCE_SPECIFIC,19.5,mJ/m^2,REPORTED_SFE,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,AMBIGUOUS_REPORTED_OR_ESTIMATED,CURRENT_PAPER_OR_REPORTED,True,AMBIGUOUS_METHOD_REVIEW
P005,P005_MC01,Measured Cr33.9Co32.0Ni33.7 with trace Fe0.22Mn0.09Si0.06 at.%,298.0,FCC_OR_SOURCE_SPECIFIC,24.0,mJ/m^2,REPORTED_SFE,TEM/WBDF partial-dislocation separation,EXPERIMENTAL_DIRECT,CURRENT_PAPER_OR_REPORTED,True,EXPERIMENTAL_COVERAGE_ELIGIBLE
P006,P006_MC_Ni20Fe20,,298.0,FCC_OR_SOURCE_SPECIFIC,-72.0,mJ/m^2,DFT_0K_INTRINSIC_SFE,,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P006,P006_MC_Ni15Fe15,,298.0,FCC_OR_SOURCE_SPECIFIC,-75.0,mJ/m^2,DFT_0K_INTRINSIC_SFE,,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P006,P006_MC_Ni15Fe10,,298.0,FCC_OR_SOURCE_SPECIFIC,-87.0,mJ/m^2,DFT_0K_INTRINSIC_SFE,,COMPUTATIONAL_OR_REFERENCE,CURRENT_PAPER_OR_REPORTED,True,NOT_EXPERIMENTAL_SFE
P008,P008_MC_N2p6_PC,,298.0,FCC_OR_SOURCE_SPECIFIC,26.0,mJ/m^2,ALLOY_LEVEL_SFE,TEM; p. 13; state not specified,EXPERIMENTAL_DIRECT,CURRENT_PAPER_OR_REPORTED,True,EXPERIMENTAL_COVERAGE_ELIGIBLE
