Paper_ID,ML_Condition_ID,SFE_mJ_m2,SFE_method,SFE_status,SFE_Data_Origin,SFE_Predictor_Eligibility
P001,P001_MC01,7.0,weak-beam dark-field STEM partial separation,,,
P001,P001_MC02,7.0,weak-beam dark-field STEM partial separation,,,
P001,P001_MC03,7.0,weak-beam dark-field STEM partial separation,,,
P003,P003_MC01,6.5,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,,,
P003,P003_MC02,6.5,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,,,
P003,P003_MC03,6.5,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,,,
P003,P003_MC04,6.5,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,,,
P003,P003_MC05,6.5,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,,,
P003,P003_MC06,6.5,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,,,
P003,P003_MC07,19.5,reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,,,
P008,P008_MC_N2p6_PC,,,CURRENT_STUDY_ALLOY_LEVEL,,
P008,P008_MC_N0_HOMO,,,SECONDARY_REFERENCE,,
P008,P008_MC_N0_PC,,,SECONDARY_REFERENCE,,
P008,P008_MC_N0_FC,,,SECONDARY_REFERENCE,,
P008,P008_MC_N2p6_HOMO,,,CURRENT_STUDY_ALLOY_LEVEL,,
P008,P008_MC_N2p6_FC,,,CURRENT_STUDY_ALLOY_LEVEL,,
P010,P010_MC_AlloyI,,ab-initio EMTO / CPA / AIM1,,,
P010,P010_MC_AlloyII,,ab-initio EMTO / CPA / AIM1,,,
P010,P010_MC_AlloyIII,,ab-initio EMTO / CPA / AIM1,,,
P012,P012_MC_BASE_RT,27.0,Thermodynamic Olson-Cohen-type calculation; CURRENT_PAPER_CALCULATED,,,
P012,P012_MC_MO_RT,24.0,Thermodynamic Olson-Cohen-type calculation; CURRENT_PAPER_CALCULATED,,,
P012,P012_MC_C_RT,28.0,Thermodynamic Olson-Cohen-type calculation; CURRENT_PAPER_CALCULATED,,,
P012,P012_MC_BASE_77K,-4.82,Thermodynamic Olson-Cohen-type calculation; CURRENT_PAPER_CALCULATED,,,
P012,P012_MC_MO_77K,-6.0,Thermodynamic Olson-Cohen-type calculation; CURRENT_PAPER_CALCULATED,,,
P012,P012_MC_C_77K,-3.95,Thermodynamic Olson-Cohen-type calculation; CURRENT_PAPER_CALCULATED,,,
P015,P015_MC_298K,36.62,LAMMPS molecular dynamics using Daramola et al. interatomic potential,,COMPUTATIONAL_MD,
