Study_Series_ID,Material_Parent_ID,Effective_Group_ID,Alloy_Family_Audit_Key,Independent_Experimental_n
P002_SERIES01,P002_MAT_FE40MN10CO20CR20NI10,P002_SERIES01,FORMULA::FE40MN10CO20CR20NI10,3
P007_SERIES01,P007_MAT01,P007_SERIES01,MATERIAL::P007_MAT01,5
P008_SERIES01,P008_MAT_N0,P008_SERIES01,MATERIAL::P008_MAT_N0,3
P008_SERIES01,P008_MAT_N2p6,P008_SERIES01,MATERIAL::P008_MAT_N2p6,3
P010_SERIES01,P010_MAT_AlloyI,P010_SERIES01,FORMULA::CR20MN24FE30CO20NI6,1
P010_SERIES01,P010_MAT_AlloyII,P010_SERIES01,FORMULA::CR20MN30FE24CO20NI6,1
P010_SERIES01,P010_MAT_AlloyIII,P010_SERIES01,FORMULA::CR20MN15FE34CO20NI11,1
P011_SERIES01,P011_MAT_FE50MN30CO10CR10,P011_SERIES01,FORMULA::FE50MN30CO10CR10,4
P012_SERIES01,P012_MAT_BASE,P012_SERIES01,FORMULA::FE40MN40CO10CR10,2
P012_SERIES01,P012_MAT_C,P012_SERIES01,FORMULA::FE39.5MN40CO10CR10C0.5,2
P012_SERIES01,P012_MAT_MO,P012_SERIES01,FORMULA::FE38.3MN40CO10CR10MO1.7,2
P013_SERIES01,P013_MAT_ASCAST,P013_SERIES01,FORMULA::FE50MN30CO10CR10,1
P014_SERIES01,P014_MAT_FE50MN30CO10CR10,P014_SERIES01,FORMULA::FE50MN30CO10CR10,5
P015_SERIES01,P015_MAT_FE50MN20CR20NI10,P015_SERIES01,FORMULA::FE50MN20CR20NI10,2
P020_SERIES01,P020_MAT_FE50MN30CO10CR10,P020_SERIES01,FORMULA::FE50MN30CO10CR10,1
P021_SERIES01,P021_MAT_FE50MN17p5CR12p5CO10NI5SI5,P021_SERIES01,FORMULA::FE50MN17.5CR12.5CO10NI5SI5,5
P022_SERIES01,P022_MAT_C0,P022_SERIES01,FORMULA::FE50MN30CO10CR10,1
P022_SERIES01,P022_MAT_C2,P022_SERIES01,FORMULA::FE50MN30CO10CR10C2,1
P022_SERIES01,P022_MAT_C2MO1,P022_SERIES01,FORMULA::FE50MN30CO10CR10C2MO1,1
P022_SERIES01,P022_MAT_C2MO2,P022_SERIES01,FORMULA::FE50MN30CO10CR10C2MO2,1
P022_SERIES01,P022_MAT_C4,P022_SERIES01,FORMULA::FE50MN30CO10CR10C4,1
P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_SERIES01,FORMULA::FE39MN20CO20CR15SI5AL1,7
,,PAPER::P001,FORMULA::FE30NI20CO20CR20SI10,3
,,PAPER::P003,FORMULA::FE50MN30CO10CR10,7
,,PAPER::P016,FORMULA::FE49.5MN30CO10CR10C0.5,2
,,PAPER::P016,PAPER::P016::UNRESOLVED_FAMILY,4
