Target,Feature_Set,Target_Usable_Conditions,Target_Positive,Target_Negative,Complete_Case_Count,Major_Missing_Features,Notes
TRIP,M1_CHEMISTRY,32,27,5,24,Other_elements=0/32; APT_local_composition=1/32; EDS_local_composition=1/32; N_at%=1/32; Feedstock_Composition_at_pct=2/32,Effective_TRIP usable conditions; binary 1/0 counts. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation.
TRIP,M2_CHEMISTRY_PLUS_TEST,32,27,5,19,Other_elements=0/32; APT_local_composition=1/32; EDS_local_composition=1/32; N_at%=1/32; Feedstock_Composition_at_pct=2/32,Effective_TRIP usable conditions; binary 1/0 counts. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation.
TRIP,M3_PLUS_PROCESSING,32,27,5,19,Other_elements=0/32; APT_local_composition=1/32; Cold_Roll_Pass_Reduction_mm=1/32; EDS_local_composition=1/32; N_at%=1/32,Effective_TRIP usable conditions; binary 1/0 counts. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation.
TRIP,M4_PLUS_PHYSICS,32,27,5,19,Other_elements=0/32; Recovered_DeltaG_FCC_HCP_300K_J_mol=0/32; Recovered_ISFE_DFT_0K_mJ_m2=0/32; SFE_error_mJ_m2=0/32; APT_local_composition=1/32,Effective_TRIP usable conditions; binary 1/0 counts. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation.
TRIP,M5_PLUS_INITIAL_MICROSTRUCTURE,32,27,5,16,Other_elements=0/32; Processing_TRIP=0/32; Processing_TWIP=0/32; Recovered_DeltaG_FCC_HCP_300K_J_mol=0/32; Recovered_ISFE_DFT_0K_mJ_m2=0/32,Effective_TRIP usable conditions; binary 1/0 counts. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation.
TWIP,M1_CHEMISTRY,30,24,6,25,Other_elements=0/30; APT_local_composition=1/30; EDS_local_composition=1/30; N_at%=1/30; Feedstock_Composition_at_pct=2/30,Effective_TWIP usable conditions; binary 1/0 counts. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation.
TWIP,M2_CHEMISTRY_PLUS_TEST,30,24,6,20,Other_elements=0/30; APT_local_composition=1/30; EDS_local_composition=1/30; N_at%=1/30; Feedstock_Composition_at_pct=2/30,Effective_TWIP usable conditions; binary 1/0 counts. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation.
TWIP,M3_PLUS_PROCESSING,30,24,6,20,Other_elements=0/30; APT_local_composition=1/30; Cold_Roll_Pass_Reduction_mm=1/30; EDS_local_composition=1/30; N_at%=1/30,Effective_TWIP usable conditions; binary 1/0 counts. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation.
TWIP,M4_PLUS_PHYSICS,30,24,6,20,Other_elements=0/30; Recovered_DeltaG_FCC_HCP_300K_J_mol=0/30; Recovered_ISFE_DFT_0K_mJ_m2=0/30; SFE_error_mJ_m2=0/30; APT_local_composition=1/30,Effective_TWIP usable conditions; binary 1/0 counts. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation.
TWIP,M5_PLUS_INITIAL_MICROSTRUCTURE,30,24,6,17,Other_elements=0/30; Processing_TRIP=0/30; Processing_TWIP=0/30; Recovered_DeltaG_FCC_HCP_300K_J_mol=0/30; Recovered_ISFE_DFT_0K_mJ_m2=0/30,Effective_TWIP usable conditions; binary 1/0 counts. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation.
JOINT,M1_CHEMISTRY,27,26,1,22,Other_elements=0/27; APT_local_composition=1/27; EDS_local_composition=1/27; Measured_Composition_at_pct=1/27; N_at%=1/27,"Joint usable conditions; positive means any mechanism (10/01/11), negative means state 00. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation."
JOINT,M2_CHEMISTRY_PLUS_TEST,27,26,1,17,Other_elements=0/27; APT_local_composition=1/27; EDS_local_composition=1/27; Measured_Composition_at_pct=1/27; N_at%=1/27,"Joint usable conditions; positive means any mechanism (10/01/11), negative means state 00. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation."
JOINT,M3_PLUS_PROCESSING,27,26,1,17,Other_elements=0/27; APT_local_composition=1/27; Cold_Roll_Pass_Reduction_mm=1/27; EDS_local_composition=1/27; Measured_Composition_at_pct=1/27,"Joint usable conditions; positive means any mechanism (10/01/11), negative means state 00. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation."
JOINT,M4_PLUS_PHYSICS,27,26,1,17,Other_elements=0/27; Recovered_DeltaG_FCC_HCP_300K_J_mol=0/27; Recovered_ISFE_DFT_0K_mJ_m2=0/27; SFE_error_mJ_m2=0/27; APT_local_composition=1/27,"Joint usable conditions; positive means any mechanism (10/01/11), negative means state 00. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation."
JOINT,M5_PLUS_INITIAL_MICROSTRUCTURE,27,26,1,14,Other_elements=0/27; Processing_TRIP=0/27; Processing_TWIP=0/27; Recovered_DeltaG_FCC_HCP_300K_J_mol=0/27; Recovered_ISFE_DFT_0K_mJ_m2=0/27,"Joint usable conditions; positive means any mechanism (10/01/11), negative means state 00. Complete cases use cumulative CORE_V1 raw columns only; optional/exploratory fields and controls are reported but not required. No imputation."
