Section,Level,Metric,Value
dimensions,row,total_rows,98
dimensions,row,papers,19
dimensions,row,doi_values,19
dimensions,row,unique_condition_id,98
dimensions,row,experiment_groups,47
row_role,group,independent_experimental_groups,19
row_role,group,computational_model_groups,21
row_role,row,experimental_rows,46
row_role,row,computational_model_rows,38
row_role,row,unresolved_role_rows,29
labels,row,TRIP=0,17
labels,row,TRIP=1,71
labels,row,TRIP=NA,10
labels,row,TWIP=0,19
labels,row,TWIP=1,66
labels,row,TWIP=NA,13
labels,row,TRIP/TWIP=0/0,7
labels,row,TRIP/TWIP=0/1,10
labels,row,TRIP/TWIP=1/0,12
labels,row,TRIP/TWIP=1/1,56
labels,row,TRIP/TWIP=1/NA,3
labels,row,TRIP/TWIP=NA/NA,10
labels,independent_experimental_group,TRIP=0,1
labels,independent_experimental_group,TRIP=1,13
labels,independent_experimental_group,TRIP=AMBIGUOUS,3
labels,independent_experimental_group,TRIP=NA,2
labels,independent_experimental_group,TWIP=1,15
labels,independent_experimental_group,TWIP=AMBIGUOUS,1
labels,independent_experimental_group,TWIP=NA,3
labels,independent_experimental_group,TRIP/TWIP=0/1,1
labels,independent_experimental_group,TRIP/TWIP=1/1,11
labels,independent_experimental_group,TRIP/TWIP=1/NA/AMBIGUOUS,2
labels,independent_experimental_group,TRIP/TWIP=NA/AMBIGUOUS/1,3
labels,independent_experimental_group,TRIP/TWIP=NA/AMBIGUOUS/NA/AMBIGUOUS,2
candidate_feature_missingness,row,Fe_at%,8.1633
candidate_feature_missingness,row,Mn_at%,11.2245
candidate_feature_missingness,row,Co_at%,10.2041
candidate_feature_missingness,row,Cr_at%,8.1633
candidate_feature_missingness,row,Ni_at%,52.0408
candidate_feature_missingness,row,N_at%,92.8571
candidate_feature_missingness,row,C_at%,89.7959
candidate_feature_missingness,row,Mo_at%,89.7959
candidate_feature_missingness,row,Si_at%,88.7755
candidate_feature_missingness,row,Ti_at%,94.898
candidate_feature_missingness,row,V_at%,94.898
candidate_feature_missingness,row,Homogenization_T_K,59.1837
candidate_feature_missingness,row,Homogenization_time_h,66.3265
candidate_feature_missingness,row,Hot_rolling_T_K,78.5714
candidate_feature_missingness,row,Hot_rolling_reduction_pct,81.6327
candidate_feature_missingness,row,Cold_rolling_reduction_pct,58.1633
candidate_feature_missingness,row,Annealing_T_K,58.1633
candidate_feature_missingness,row,Annealing_time_min,59.1837
candidate_feature_missingness,row,Test_T_K,13.2653
candidate_feature_missingness,row,Strain_rate_s-1,29.5918
candidate_feature_missingness,row,True_strain,88.7755
candidate_feature_missingness,row,Grain_size_um,56.1224
candidate_feature_missingness,row,Initial_FCC_fraction,60.2041
candidate_feature_missingness,row,Initial_HCP_fraction,67.3469
candidate_feature_missingness,row,SFE_mJ_m2,75.5102
candidate_feature_missingness,row,DeltaG_FCC_HCP_J_mol,92.8571
candidate_feature_missingness,row,Elastic_modulus_GPa,90.8163
candidate_feature_missingness,row,Shear_modulus_GPa,88.7755
candidate_feature_missingness,row,Poisson_ratio,88.7755
candidate_feature_missingness,row,Lattice_parameter_nm,91.8367
candidate_feature_missingness,row,Atomic_size_misfit_pct,91.8367
candidate_feature_missingness,row,YS_MPa,78.5714
candidate_feature_missingness,row,UTS_MPa,81.6327
candidate_feature_missingness,row,Elongation_pct,85.7143
candidate_feature_missingness,row,Uniform_elongation_pct,95.9184
candidate_feature_missingness,row,log10_strain_rate,29.5918
problems,row,composition_sum_flagged_rows,0
problems,row,duplicate_condition_rows,0
problems,row,doi_conflicting_papers,0
problems,row,ambiguous_or_missing_mechanism_rows,62
problems,row,suspicious_numerical_rows,0
problems,row,schema_batches_requiring_review,2
