Paper_ID,DOI,Grain_size,SFE,SFE_method,Initial_FCC_fraction,Initial_HCP_fraction,DeltaG,Strain_rate,Test_temperature,Processing_information,Mechanical_properties,TRIP_evidence,TWIP_evidence
P001,10.1016/j.actamat.2023.119389,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P002,10.1016/j.msea.2020.140441,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P003,10.1016/j.msea.2020.138982,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P004,10.1016/j.msea.2026.150025,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE
P005,10.1016/j.actamat.2022.118049,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE
P006,10.1016/j.scriptamat.2019.02.018,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P007,10.1016/j.actamat.2022.117974,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P008,10.1016/j.ijplas.2021.102965,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P009,10.1126/sciadv.abo7333,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P010,10.1103/PhysRevMaterials.4.033601,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P011,10.1016/j.jallcom.2023.170225,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P012,10.1016/j.jallcom.2022.165108,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P013,10.1016/j.ijplas.2024.104048,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P014,10.3390/ma17235893,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P015,10.1016/j.jallcom.2026.188919,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P016,10.1016/j.actamat.2018.10.017,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P017,10.1016/j.ijplas.2019.102649,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P018,10.1016/j.ijmecsci.2022.107098,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE
P019,10.1016/j.jallcom.2025.179770,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE,REQUIRES_PAPER_REVIEW,ALREADY_AVAILABLE,ALREADY_AVAILABLE
