Paper_ID,Condition_ID,Row_Role,Field,Value,Declared_unit,Consistency_Status,Method_or_origin,Temperature_association,Condition_association,Review_note,Requires_manual_review
P001,P001_C01,EXPERIMENTAL_INDEPENDENT,Test_T_K,298,T_K,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C01,Numeric value in canonical declared unit,False
P001,P001_C01,EXPERIMENTAL_INDEPENDENT,Strain_rate_s-1,0.001,rate_s-1,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C01,Numeric value in canonical declared unit,False
P001,P001_C01,EXPERIMENTAL_INDEPENDENT,Grain_size_um,14.9,size_um,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C01,Numeric value in canonical declared unit,False
P001,P001_C01,EXPERIMENTAL_INDEPENDENT,SFE_mJ_m2,7,mJ_m2,CONSISTENT,weak-beam dark-field STEM partial separation,298,P001_C01,Numeric value retained with method: weak-beam dark-field STEM partial separation,False
P001,P001_C01,EXPERIMENTAL_INDEPENDENT,SFE_method,weak-beam dark-field STEM partial separation,method,METHOD_RECORDED,weak-beam dark-field STEM partial separation,298,P001_C01,Method retained; values from different methods must not be treated as interchangeable,False
P001,P001_C01,EXPERIMENTAL_INDEPENDENT,Initial_FCC_fraction,1,FCC_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C01,Fraction represented on 0–1 scale,False
P001,P001_C01,EXPERIMENTAL_INDEPENDENT,Initial_HCP_fraction,0,HCP_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C01,Fraction represented on 0–1 scale,False
P001,P001_C01,EXPERIMENTAL_INDEPENDENT,YS_MPa,392,MPa,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C01,Numeric value in canonical declared unit,False
P001,P001_C01,EXPERIMENTAL_INDEPENDENT,UTS_MPa,903,MPa,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C01,Numeric value in canonical declared unit,False
P001,P001_C01,EXPERIMENTAL_INDEPENDENT,Elongation_pct,83.1,pct,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C01,Numeric value in canonical declared unit,False
P001,P001_C02,EXPERIMENTAL_INDEPENDENT,Test_T_K,298,T_K,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C02,Numeric value in canonical declared unit,False
P001,P001_C02,EXPERIMENTAL_INDEPENDENT,Strain_rate_s-1,0.001,rate_s-1,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C02,Numeric value in canonical declared unit,False
P001,P001_C02,EXPERIMENTAL_INDEPENDENT,Grain_size_um,45.6,size_um,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C02,Numeric value in canonical declared unit,False
P001,P001_C02,EXPERIMENTAL_INDEPENDENT,SFE_mJ_m2,7,mJ_m2,CONSISTENT,weak-beam dark-field STEM partial separation,298,P001_C02,Numeric value retained with method: weak-beam dark-field STEM partial separation,False
P001,P001_C02,EXPERIMENTAL_INDEPENDENT,SFE_method,weak-beam dark-field STEM partial separation,method,METHOD_RECORDED,weak-beam dark-field STEM partial separation,298,P001_C02,Method retained; values from different methods must not be treated as interchangeable,False
P001,P001_C02,EXPERIMENTAL_INDEPENDENT,Initial_FCC_fraction,1,FCC_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C02,Fraction represented on 0–1 scale,False
P001,P001_C02,EXPERIMENTAL_INDEPENDENT,Initial_HCP_fraction,0,HCP_fraction,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C02,Fraction represented on 0–1 scale,False
P001,P001_C02,EXPERIMENTAL_INDEPENDENT,YS_MPa,343,MPa,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C02,Numeric value in canonical declared unit,False
P001,P001_C02,EXPERIMENTAL_INDEPENDENT,UTS_MPa,843,MPa,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C02,Numeric value in canonical declared unit,False
P001,P001_C02,EXPERIMENTAL_INDEPENDENT,Elongation_pct,85.3,pct,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C02,Numeric value in canonical declared unit,False
P001,P001_C03,EXPERIMENTAL_INDEPENDENT,Test_T_K,298,T_K,CONSISTENT,EXPERIMENTAL_INDEPENDENT,298,P001_C03,Numeric value in canonical declared unit,False
