Feature_Name,Priority_Rank,Priority_Score,Scientific_Importance_1_5,Missing_ML_Conditions,Total_ML_Conditions,Missingness_Percent,ML_Conditions_Potentially_Recoverable,Papers_Requiring_Review,Risk_of_Ambiguity_1_5,Scoring_Rationale
replicate identity,1,115.0,5,82,82,100.00,82,19,5,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
specimen identity,2,115.0,5,82,82,100.00,82,19,5,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
DeltaG / transformation driving force,3,113.19,5,75,82,91.46,75,18,5,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
SFE method,4,111.78,5,65,82,79.27,65,15,4,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
grain size,5,110.17,5,51,82,62.20,51,13,3,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
SFE,6,109.78,5,65,82,79.27,65,15,5,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
initial HCP fraction,7,108.18,5,62,82,75.61,62,13,5,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
initial FCC fraction,8,105.85,5,55,82,67.07,55,11,5,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
strain rate,9,102.1,5,27,82,32.93,27,6,3,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
test temperature,10,99.43,5,13,82,15.85,13,2,2,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
TRIP evidence,11,91.42,5,2,82,2.44,2,2,5,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
TWIP evidence,12,90.71,5,1,82,1.22,1,1,5,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
phase-transformation evidence,13,90.71,5,1,82,1.22,1,1,5,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
condition-to-test-series linkage,14,90.0,5,0,82,0.00,0,0,5,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
processing history,15,90.0,5,0,82,0.00,0,0,5,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
mechanical properties,16,70.69,3,59,82,71.95,59,15,4,"20×importance + 15×condition missing fraction + 10×paper breadth fraction − 2×ambiguity; recoverability is a review opportunity, not a claim the PDF reports the value."
