Paper_ID,DOI,Condition_ID,Field,Missingness_Cause,Evidence_for_classification,Where_to_check,Requires_manual_review
P001,10.1016/j.actamat.2023.119389,P001_C01,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,Abstract; Methods; Table 1; Figs. 4-13,True
P001,10.1016/j.actamat.2023.119389,P001_C02,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,Abstract; Methods; Table 1; Figs. 4-13,True
P001,10.1016/j.actamat.2023.119389,P001_C03,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,Abstract; Methods; Table 1; Figs. 4-13,True
P001,10.1016/j.actamat.2023.119389,P001_C04,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 6-12,True
P001,10.1016/j.actamat.2023.119389,P001_C05,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 6-12,True
P001,10.1016/j.actamat.2023.119389,P001_C06,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 6-12,True
P001,10.1016/j.actamat.2023.119389,P001_C07,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 6-12,True
P001,10.1016/j.actamat.2023.119389,P001_C08,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Figs. 6-12,True
P002,10.1016/j.msea.2020.140441,P002_C02,Grain_size_um,AVAILABLE_IN_FIGURE,Explicit location cue in extracted provenance,Abstract; Methods; Fig. 1-6; mechanical-property discussion,True
P002,10.1016/j.msea.2020.140441,P002_C03,Grain_size_um,AVAILABLE_IN_FIGURE,Explicit location cue in extracted provenance,Abstract; Methods; Fig. 1-6; mechanical-property discussion,True
P002,10.1016/j.msea.2020.140441,P002_C04,SFE_mJ_m2,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Medium,True
P002,10.1016/j.msea.2020.140441,P002_C04,DeltaG_FCC_HCP_J_mol,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Medium,True
P002,10.1016/j.msea.2020.140441,P002_C04,Strain_rate_s-1,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Medium,True
P002,10.1016/j.msea.2020.140441,P002_C04,Homogenization_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Medium,True
P002,10.1016/j.msea.2020.140441,P002_C04,Homogenization_time_h,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Medium,True
P002,10.1016/j.msea.2020.140441,P002_C04,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Medium,True
P002,10.1016/j.msea.2020.140441,P002_C04,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Medium,True
P002,10.1016/j.msea.2020.140441,P002_C04,Cold_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Medium,True
P002,10.1016/j.msea.2020.140441,P002_C04,Annealing_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Medium,True
P002,10.1016/j.msea.2020.140441,P002_C04,Annealing_time_min,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Medium,True
P002,10.1016/j.msea.2020.140441,P002_C05,Grain_size_um,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Original paper methods/tables/figures/supplement,True
P002,10.1016/j.msea.2020.140441,P002_C05,Strain_rate_s-1,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Original paper methods/tables/figures/supplement,True
P002,10.1016/j.msea.2020.140441,P002_C05,Test_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Original paper methods/tables/figures/supplement,True
P002,10.1016/j.msea.2020.140441,P002_C05,Homogenization_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Original paper methods/tables/figures/supplement,True
P002,10.1016/j.msea.2020.140441,P002_C05,Homogenization_time_h,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Original paper methods/tables/figures/supplement,True
P002,10.1016/j.msea.2020.140441,P002_C05,Hot_rolling_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Original paper methods/tables/figures/supplement,True
P002,10.1016/j.msea.2020.140441,P002_C05,Hot_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Original paper methods/tables/figures/supplement,True
P002,10.1016/j.msea.2020.140441,P002_C05,Cold_rolling_reduction_pct,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Original paper methods/tables/figures/supplement,True
P002,10.1016/j.msea.2020.140441,P002_C05,Annealing_T_K,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Original paper methods/tables/figures/supplement,True
P002,10.1016/j.msea.2020.140441,P002_C05,Annealing_time_min,UNKNOWN,Cannot distinguish not reported from not extracted without paper review,Original paper methods/tables/figures/supplement,True
P003,10.1016/j.msea.2020.138982,P003_C01,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,Abstract; Methods; Figs. 1-7; Table 1; discussion,True
P003,10.1016/j.msea.2020.138982,P003_C02,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,Abstract; Methods; Figs. 1-7; Table 1; discussion,True
P003,10.1016/j.msea.2020.138982,P003_C03,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,Abstract; Methods; Figs. 1-7; Table 1; discussion,True
P003,10.1016/j.msea.2020.138982,P003_C04,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,Abstract; Methods; Figs. 1-7; Table 1; discussion,True
P003,10.1016/j.msea.2020.138982,P003_C05,DeltaG_FCC_HCP_J_mol,AVAILABLE_IN_TABLE,Explicit location cue in extracted provenance,Abstract; Methods; Figs. 1-7; Table 1; discussion,True
