Paper_ID,Condition_ID,Observation_ID,Observation_Role,Study_Series_ID,Material_Parent_ID,Physical_Batch_ID,Replicate_ID,Leakage_Group_Strict,Leakage_Group_Material,Parent_Linkage_Status,Aggregate_Property_Status,Parent_ML_Condition_ID
P006,P006_C01,OBS030,INDEPENDENT_CONDITION,P006_SERIES01,P006_MAT_Ni20Fe20,,,P006_SERIES01,P006_MAT_Ni20Fe20,RESOLVED_AT_MATERIAL_LEVEL,No evidence of averaging/replicate statistics in source,P006_MC_Ni20Fe20
P006,P006_C02,OBS031,INDEPENDENT_CONDITION,P006_SERIES01,P006_MAT_Ni15Fe15,,,P006_SERIES01,P006_MAT_Ni15Fe15,RESOLVED_AT_MATERIAL_LEVEL,No evidence of averaging/replicate statistics in source,P006_MC_Ni15Fe15
P006,P006_C03,OBS032,INDEPENDENT_CONDITION,P006_SERIES01,P006_MAT_Ni15Fe10,,,P006_SERIES01,P006_MAT_Ni15Fe10,RESOLVED_AT_MATERIAL_LEVEL,No evidence of averaging/replicate statistics in source,P006_MC_Ni15Fe10
P007,P007_C01,OBS033,INDEPENDENT_CONDITION,P007_SERIES01,P007_MAT01,,,P007_SERIES01,P007_MAT01,RESOLVED_AS_SHARED_MATERIAL_SERIES_BATCH_UNKNOWN,REPORTED_AGGREGATE_MEAN_WITH_UNCERTAINTY; replicate n not reported,P007_MC_A600_1h
P007,P007_C02,OBS034,INDEPENDENT_CONDITION,P007_SERIES01,P007_MAT01,,,P007_SERIES01,P007_MAT01,RESOLVED_AS_SHARED_MATERIAL_SERIES_BATCH_UNKNOWN,REPORTED_AGGREGATE_MEAN_WITH_UNCERTAINTY; replicate n not reported,P007_MC_A600_2h
P007,P007_C03,OBS035,INDEPENDENT_CONDITION,P007_SERIES01,P007_MAT01,,,P007_SERIES01,P007_MAT01,RESOLVED_AS_SHARED_MATERIAL_SERIES_BATCH_UNKNOWN,REPORTED_AGGREGATE_MEAN_WITH_UNCERTAINTY; replicate n not reported,P007_MC_A600_5h
P007,P007_C04,OBS036,INDEPENDENT_CONDITION,P007_SERIES01,P007_MAT01,,,P007_SERIES01,P007_MAT01,RESOLVED_AS_SHARED_MATERIAL_SERIES_BATCH_UNKNOWN,REPORTED_AGGREGATE_MEAN_WITH_UNCERTAINTY; replicate n not reported,P007_MC_A600_10h
P007,P007_C05,OBS037,INDEPENDENT_CONDITION,P007_SERIES01,P007_MAT01,,,P007_SERIES01,P007_MAT01,RESOLVED_AS_SHARED_MATERIAL_SERIES_BATCH_UNKNOWN,REPORTED_AGGREGATE_MEAN_WITH_UNCERTAINTY; replicate n not reported,P007_MC_A600_72h
P007,P007_OBS_A6001_eps20,P007_OBS_A6001_eps20,REPEATED_STAGE,P007_SERIES01,P007_MAT01,,,P007_SERIES01,P007_MAT01,RESOLVED_TO_PARENT_CONDITION,,P007_MC_A600_1h
P007,P007_OBS_A6002_eps20,P007_OBS_A6002_eps20,REPEATED_STAGE,P007_SERIES01,P007_MAT01,,,P007_SERIES01,P007_MAT01,RESOLVED_TO_PARENT_CONDITION,,P007_MC_A600_2h
P007,P007_OBS_A60010_eps20,P007_OBS_A60010_eps20,REPEATED_STAGE,P007_SERIES01,P007_MAT01,,,P007_SERIES01,P007_MAT01,RESOLVED_TO_PARENT_CONDITION,,P007_MC_A600_10h
P007,P007_OBS_A60072_eps10,P007_OBS_A60072_eps10,REPEATED_STAGE,P007_SERIES01,P007_MAT01,,,P007_SERIES01,P007_MAT01,RESOLVED_TO_PARENT_CONDITION,,P007_MC_A600_72h
P007,P007_OBS_A60072_eps20,P007_OBS_A60072_eps20,REPEATED_STAGE,P007_SERIES01,P007_MAT01,,,P007_SERIES01,P007_MAT01,RESOLVED_TO_PARENT_CONDITION,,P007_MC_A600_72h
