Paper_ID,DOI,ML_Condition_ID,Feature_Name,Original_Value,Recovered_Value,Units,Evidence_Type,Evidence_Location,Page_Figure_Section,Extraction_Method,Confidence,Recovery_Status
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Study_Series_ID,,P008_SERIES01,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Material_Parent_ID,,P008_MAT_N0,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Leakage_Group_Strict,,P008_SERIES01,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Leakage_Group_Material,,P008_MAT_N0,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,P008_Source_State,,HOMO,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_Bulk_Composition_at_pct,,Fe49.6Mn30.0Co10.0Cr10.4,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_Composition_Status,,EXACT_BULK_CHEMISTRY_REPORTED,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_Processing_route,,"Vacuum induction cast in Ar; hot forged 1200C; hot rolled 1050→900C, 50% thickness reduction; homogenized 1200C/2h and water quenched.",source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_Test_T_Reported,,Room temperature,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_Test_T_Status,,ROOM_TEMPERATURE_REPORTED,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_Grain_size_um,,310.0,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_Grain_size_scope,,overall equiaxed grains,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_Grain_size_status,,Average diameter,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_Initial_HCP_fraction,,0.47,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_Initial_HCP_status,,DIRECT_EBSD_AREA_FRACTION,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Initial_BCC_alpha_martensite_status,,NOT_REPORTED_FOR_THIS_STATE,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
P008,10.1016/j.ijplas.2021.102965,P008_MC_N0_HOMO,Recovered_Recrystallized_fraction_status,,NOT_NUMERICALLY_REPORTED,source/schema units,VERIFIED_WORKBOOK,"pp. 2–7; Figs. 1,4,5","pp. 2–7; Figs. 1,4,5",Verified direct source extraction,High,VERIFIED
