Paper_ID,DOI,ML_Condition_ID,Observation_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Confidence,Recovery_Status
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,Test_T_K,298,K,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,Strain_rate_s-1,0.001,s^-1,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,Initial_FCC_fraction,0.987,fraction,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,Initial_HCP_fraction,0.013,fraction,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,Grain_size_um,4.85,um,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,Effective_Grain_Size_Including_TB_PhaseBoundary_um,3.58,um,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,Relative_Density_pct,95.6,%,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,YS_MPa,300.5,MPa,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,Initial_Sigma3_TB_fraction,0.212,fraction,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,Initial_Twin_Type,ANNEALING_TWIN,categorical,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,Mn_Oxide_Area_Fraction,0.0269,fraction,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,Feedstock_Composition_at_pct,Fe49.2Mn31.4Co9.4Cr10.0,at.%,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,FCC_lattice_a_XRD_A,3.6002,A,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,HCP_lattice_a_XRD_A,2.5469,A,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A9_298K,P011_OBS_A9_298K_condition,HCP_lattice_c_XRD_A,4.0982,A,VERIFIED_WORKBOOK,Fig.5; Sec.4.1 p.8,High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A10_298K,P011_OBS_A10_298K_condition,Test_T_K,298,K,VERIFIED_WORKBOOK,"pp.5-7,10-11; Figs.5-9",High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A10_298K,P011_OBS_A10_298K_condition,Strain_rate_s-1,0.001,s^-1,VERIFIED_WORKBOOK,"pp.5-7,10-11; Figs.5-9",High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A10_298K,P011_OBS_A10_298K_condition,Initial_FCC_fraction,0.961,fraction,VERIFIED_WORKBOOK,"pp.5-7,10-11; Figs.5-9",High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A10_298K,P011_OBS_A10_298K_condition,Initial_HCP_fraction,0.047,fraction,VERIFIED_WORKBOOK,"pp.5-7,10-11; Figs.5-9",High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A10_298K,P011_OBS_A10_298K_condition,Grain_size_um,6.91,um,VERIFIED_WORKBOOK,"pp.5-7,10-11; Figs.5-9",High,VERIFIED
P011,10.1016/j.jallcom.2023.170225,P011_MC_A10_298K,P011_OBS_A10_298K_condition,Effective_Grain_Size_Including_TB_PhaseBoundary_um,4.1,um,VERIFIED_WORKBOOK,"pp.5-7,10-11; Figs.5-9",High,VERIFIED
