Paper_ID,DOI,Material_Parent_ID,ML_Condition_ID,Observation_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Confidence,Recovery_Status
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_condition,Fe_at%,39.9,at.%,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_condition,Mn_at%,40.3,at.%,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_condition,Co_at%,10.0,at.%,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_condition,Cr_at%,9.8,at.%,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_condition,SFE_mJ_m2,27.0,mJ/m2,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_condition,DeltaG_FCC_HCP_J_mol,156,J/mol,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_condition,YS_MPa,140.0,MPa,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_condition,UTS_MPa,398.0,MPa,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_condition,Elongation_pct,98.0,%,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_condition,Initial_HCP_fraction,0,fraction,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_condition,Initial_Sigma3_TB_fraction,0.381,fraction,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
