Paper_ID,DOI,Parent_ML_Condition_ID,Observation_ID,Alloy_Label,Test_T_K,True_Strain,Observation_Role,Independent_ML_sample,TRIP_at_stage,TWIP_at_stage,Slip_at_stage,HCP_fraction,Twin_fraction,GND_density_m-2,Martensite_lath_thickness,Martensite_interspace_nm,Deformation_twin_thickness_nm,Observed_Microstructure,Evidence_Location,Confidence,Notes,Source_URL
P012,10.1016/j.jallcom.2022.165108,P012_MC_BASE_RT,P012_OBS_BASE_RT_eps005,Base,298,0.05,REPEATED_STAGE,False,,0,1,,,,,,,Loosely knit dislocations/dislocation clusters; mechanical twins not observed,Fig.5; p.7,High,Stage-specific TWIP=0 is explicit; no phase analysis supports TRIP label here.,https://doi.org/10.1016/j.jallcom.2022.165108
P012,10.1016/j.jallcom.2022.165108,P012_MC_BASE_RT,P012_OBS_BASE_RT_eps010,Base,298,0.1,REPEATED_STAGE,False,,1,1,,,,,,10.0,Planar dislocation arrays + deformation nanotwins (~10 nm),Fig.5; pp.7-9,High,Direct TEM/SADP evidence of deformation twins.,https://doi.org/10.1016/j.jallcom.2022.165108
P012,10.1016/j.jallcom.2022.165108,P012_MC_BASE_RT,P012_OBS_BASE_RT_eps020,Base,298,0.2,REPEATED_STAGE,False,0.0,1,1,0.0,,139000000000000.0,,,,Single FCC phase + narrow deformation-twin bands,Fig.6; pp.8-9,High,Direct phase map supports TRIP=0 at this stage.,https://doi.org/10.1016/j.jallcom.2022.165108
P012,10.1016/j.jallcom.2022.165108,P012_MC_BASE_RT,P012_OBS_BASE_RT_eps045,Base,298,0.45,REPEATED_STAGE,False,,1,1,,,,,,,Intense deformation twinning; secondary/hierarchical twins at high strain,Fig.7; pp.8-10,High,Do not infer phase fraction because Fig.7 is GB/IPF-based rather than a quantitative phase map.,https://doi.org/10.1016/j.jallcom.2022.165108
P012,10.1016/j.jallcom.2022.165108,P012_MC_MO_RT,P012_OBS_MO_RT_eps005,Mo1.7,298,0.05,REPEATED_STAGE,False,,0,1,,,,,,,Loosely knit dislocations/dislocation clusters; mechanical twins not observed,Fig.5; p.7,High,Stage-specific TWIP=0 is explicit; no phase analysis supports TRIP label here.,https://doi.org/10.1016/j.jallcom.2022.165108
P012,10.1016/j.jallcom.2022.165108,P012_MC_MO_RT,P012_OBS_MO_RT_eps010,Mo1.7,298,0.1,REPEATED_STAGE,False,,1,1,,,,,,10.0,Planar dislocation arrays + deformation nanotwins (~10 nm),Fig.5; pp.7-9,High,Direct TEM/SADP evidence of deformation twins.,https://doi.org/10.1016/j.jallcom.2022.165108
P012,10.1016/j.jallcom.2022.165108,P012_MC_MO_RT,P012_OBS_MO_RT_eps020,Mo1.7,298,0.2,REPEATED_STAGE,False,0.0,1,1,0.0,,280000000000000.0,,,,Single FCC phase + narrow deformation-twin bands,Fig.6; pp.8-9,High,Direct phase map supports TRIP=0 at this stage.,https://doi.org/10.1016/j.jallcom.2022.165108
P012,10.1016/j.jallcom.2022.165108,P012_MC_MO_RT,P012_OBS_MO_RT_eps045,Mo1.7,298,0.45,REPEATED_STAGE,False,,1,1,,,,,,,Intense deformation twinning; secondary/hierarchical twins at high strain,Fig.7; pp.8-10,High,Do not infer phase fraction because Fig.7 is GB/IPF-based rather than a quantitative phase map.,https://doi.org/10.1016/j.jallcom.2022.165108
P012,10.1016/j.jallcom.2022.165108,P012_MC_C_RT,P012_OBS_C_RT_eps005,C0.5_nominal,298,0.05,REPEATED_STAGE,False,,0,1,,,,,,,Loosely knit dislocations/dislocation clusters; mechanical twins not observed,Fig.5; p.7,High,Stage-specific TWIP=0 is explicit; no phase analysis supports TRIP label here.,https://doi.org/10.1016/j.jallcom.2022.165108
P012,10.1016/j.jallcom.2022.165108,P012_MC_C_RT,P012_OBS_C_RT_eps010,C0.5_nominal,298,0.1,REPEATED_STAGE,False,,1,1,,,,,,10.0,Planar dislocation arrays + deformation nanotwins (~10 nm),Fig.5; pp.7-9,High,Direct TEM/SADP evidence of deformation twins.,https://doi.org/10.1016/j.jallcom.2022.165108
P012,10.1016/j.jallcom.2022.165108,P012_MC_C_RT,P012_OBS_C_RT_eps020,C0.5_nominal,298,0.2,REPEATED_STAGE,False,0.0,1,1,0.0,,370000000000000.0,,,,Single FCC phase + narrow deformation-twin bands,Fig.6; pp.8-9,High,Direct phase map supports TRIP=0 at this stage.,https://doi.org/10.1016/j.jallcom.2022.165108
