Paper_ID,DOI,Scope,Feature,Value,Uncertainty,Units,Method_or_Source,Value_Status,Evidence_Location,Confidence,Interpretation_Rule,Source_URL
P013,10.1016/j.ijplas.2024.104048,γ-FCC bulk phase,Phase_Young_Modulus,170,4.0,GPa,SXRD phase-load-partition analysis,CURRENT_PAPER_CALCULATED,p.13,High,Phase-level modulus; distinct from reflection-specific elastic modulus.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,ε-HCP bulk phase,Phase_Young_Modulus,222,47.0,GPa,SXRD phase-load-partition analysis,CURRENT_PAPER_CALCULATED,p.13,High,Phase-level modulus; distinct from reflection-specific elastic modulus.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,γ-FCC bulk phase,Poisson_ratio,0.33,0.03,,SXRD lattice strain analysis,CURRENT_PAPER_CALCULATED,p.13,High,Physics descriptor; not a direct composition property.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,ε-HCP bulk phase,Poisson_ratio,0.35,0.08,,SXRD lattice strain analysis,CURRENT_PAPER_CALCULATED,p.13,High,Physics descriptor.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,γ-FCC,Dislocation_density_initial,140000000000000,,m^-2,Halder-Wagner SXRD line-profile analysis,DIRECT_TEXT_APPROX,p.12; Fig.8,High,Start of in-situ experiment.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,γ-FCC,Dislocation_density_final,820000000000000,,m^-2,Halder-Wagner SXRD line-profile analysis,DIRECT_TEXT_APPROX,p.12; Fig.8,High,Do not create intermediate values by plot digitization.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,ε-HCP,Dominant_dislocation_mode,<a> over <a+c>,,qualitative,Burgers-vector-dependent SXRD dislocation-density analysis,DIRECT_QUALITATIVE,p.12,High,Both modes can operate; <a> is dominant.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,γ-FCC,Yield_range_phase,250 to 355,,MPa,Phase-load partitioning,CURRENT_PAPER_CALCULATED_RANGE,p.12,High,Distinct from macroscopic engineering YS=319 MPa.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,ε-HCP,Yield_threshold_phase,>480,,MPa,Phase-load partitioning,CURRENT_PAPER_CALCULATED_APPROX,p.12,High,ε-HCP remains elastic to higher load than γ-FCC.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,γ-FCC (111),Reflection_Young_Modulus,240,13.7,GPa,Linear lattice-strain fit,DIRECT_TABLE_1,p.11 Table 1,High,"Reflection-specific, not bulk isotropic modulus.",https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,γ-FCC (200),Reflection_Young_Modulus,119.6,0.5,GPa,Linear lattice-strain fit,DIRECT_TABLE_1,p.11 Table 1,High,Softest analyzed γ-FCC reflection.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,γ-FCC (311),Reflection_Young_Modulus,175.5,3.3,GPa,Linear lattice-strain fit,DIRECT_TABLE_1,p.11 Table 1,High,Reflection-specific.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,ε-HCP (10-10),Reflection_Young_Modulus,139.2,37.3,GPa,Linear lattice-strain fit,DIRECT_TABLE_1,p.11 Table 1,High,Softest analyzed ε-HCP reflection.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,ε-HCP (10-11),Reflection_Young_Modulus,217,50.2,GPa,Linear lattice-strain fit,DIRECT_TABLE_1,p.11 Table 1,High,Reflection-specific.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,ε-HCP (10-12),Reflection_Young_Modulus,324.5,38.5,GPa,Linear lattice-strain fit,DIRECT_TABLE_1,p.11 Table 1,High,Stiff reflection sensitive to tensile TWIP.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,ε-HCP (10-13),Reflection_Young_Modulus,308.5,8.9,GPa,Linear lattice-strain fit,DIRECT_TABLE_1,p.11 Table 1,High,Hardest/among hardest analyzed ε-HCP reflections.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,Alloy-level strengthening model,Lattice_friction_stress_sigma0,179,,MPa,Value adopted from Su et al. 2019,SECONDARY_REFERENCE_INPUT,p.13,High,Do not treat as directly measured P013 property.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,Alloy-level strengthening model,Predicted_yield_strength,321,31.0,MPa,Summed strengthening contributions,CURRENT_PAPER_CALCULATED,p.13,High,Derived outcome/validation value; potential target leakage if later used as predictor.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,Alloy-level,SFE,,,mJ/m^2,Not numerically reported in main paper,NOT_AVAILABLE,Main paper,High,Do not infer SFE from cited literature or deformation mode.,https://doi.org/10.1016/j.ijplas.2024.104048
P013,10.1016/j.ijplas.2024.104048,Alloy-level,DeltaG_fcc_hcp,,,J/mol,Not numerically reported in main paper,NOT_AVAILABLE,Main paper,High,Do not fabricate thermodynamic descriptors.,https://doi.org/10.1016/j.ijplas.2024.104048
