Paper_ID,DOI,Material_Parent_ID,ML_Condition_ID,Observation_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Method,Confidence,Recovery_Status
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Paper_Title,Time-resolved evolution of the deformation mechanisms in a TRIP/TWIP Fe50Mn30Co10Cr10 high entropy during tensile loading probed with synchrotron X-ray diffraction,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Study_Series_ID,P013_SERIES01,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Material_Parent_ID,P013_MAT_ASCAST,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Alloy_Label,Fe50Mn30Co10Cr10,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Nominal_Composition_at_pct,Fe50Mn30Co10Cr10,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Composition_Status,NOMINAL_ONLY_NO_BULK_CHEMICAL_ANALYSIS_REPORTED,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Manufacturing_Route,Vacuum induction melting and casting from pure metals,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Material_State,As-cast,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Specimen_Thickness_mm,1.5,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Specimen_Width_mm,1.5,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Gauge_Length_mm,29,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Specimen_Cutting,Wire EDM,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Surface_Preparation,1200-grit sandpaper used to remove EDM oxide layer,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Test_T_Raw,Room temperature,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Test_T_Status,ROOM_TEMPERATURE_REPORTED,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Strain_Rate_s-1,0.001,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Test_Mode,Uniaxial tensile,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Loading_Protocol,Intermittently stopped at consecutive loading stages for in-situ SXRD acquisition,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Replicate_Status,NOT_REPORTED,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,SXRD_Mode,Transmission high-energy synchrotron XRD at PETRA III P07B,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Beam_Energy_keV,87.1,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Exposure_s,0.1,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Images_per_loading_step,10,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Beam_Size_um,700 x 700,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Independent_ML_sample,True,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Leakage_Group_Strict,P013_SERIES01,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Leakage_Group_Material,P013_MAT_ASCAST,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Evidence_Location,Methods pp.3-4,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Confidence,High,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Notes,Do not invent a numeric room-temperature Kelvin value. No separate tensile replicate count or specimen-level IDs are reported.,as named/reported,VERIFIED_WORKBOOK,Methods pp.3-4,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Initial_Phase_State,"Dual γ-FCC + ε-HCP, γ-FCC-rich",as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Initial_HCP_fraction_bulk,0.33,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Initial_HCP_fraction_method,BULK_SXRD_RIETVELD,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Initial_MnO_fraction,0.01,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,FCC_Grain_Size_mean_um,40.2,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,FCC_Grain_Size_sd_um,10.7,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Grain_Size_Scope,γ-FCC polygonal grain size from EBSD/OM,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,HCP_Morphology,Plate-like ε-HCP grains,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,EBSD_Phase_Fraction_Use_Status,DO_NOT_USE_EBSD_HCP_FRACTION_AS_BULK_VALUE,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Initial_FCC_lattice_a_A,3.582,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Initial_HCP_lattice_a_A,2.535,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Initial_HCP_lattice_c_A,4.1,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Initial_HCP_c_over_a,1.6173,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Initial_HCP_c_over_a_uncertainty,0.0001,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Evidence_Location,Results pp.5-7; Discussion p.14,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Confidence,High,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Notes,Polishing for EBSD/OM may mechanically induce extra ε-HCP at the surface. Therefore bulk initial HCP≈33% from transmission SXRD is preferred; exact FCC fraction is not derived as 1-HCP because MnO≈1% is also present.,as named/reported,VERIFIED_WORKBOOK,Results pp.5-7; Discussion p.14,BULK_SXRD_RIETVELD,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Yield_Strength_MPa,319,as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Yield_Status,DIRECT_ENGINEERING_CURVE_TEXT,as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,UTS_MPa,726,as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,UTS_Status,DIRECT_ENGINEERING_VALUE,as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Engineering_Fracture_Elongation_pct,36,as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Elongation_Status,DIRECT_ENGINEERING_VALUE,as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Nearest_SXRD_TRIP_Onset_Stress_MPa,250,as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Tensile_TWIP_Onset_Stress_MPa,530,as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Compression_Twinning_Onset_Stress_MPa,655,as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Final_InSitu_True_Stress_Approx_MPa,950,as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Final_InSitu_Engineering_Strain_Approx_pct,30,as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Fracture_Mode,Ductile-like fracture with dimples; sparse Mn-oxide particles,as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Evidence_Location,"Results pp.6-7,11,14-16; Figs.2,4,10",as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Confidence,High,as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Interpretation_Rule,"Keep macroscopic YS=319 MPa distinct from ≈250 MPa, which is the nearest SXRD loading point used to mark γ-FCC yielding/TRIP onset. Final ~950 MPa is true-stress stage threshold, not UTS engineering stress.",as named/reported,VERIFIED_WORKBOOK,"Results pp.6-7,11,14-16; Figs.2,4,10",source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stage_ID,P013_STAGE_I,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stress_Start_MPa,0,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
P013,10.1016/j.ijplas.2024.104048,P013_MAT_ASCAST,P013_MC_ASCAST_RT,,Stress_End_MPa,250,as named/reported,VERIFIED_WORKBOOK,pp.14-15; Fig.10,source-reported,High,VERIFIED
