Paper_ID,DOI,Material_Parent_ID,Processing_State_ID,ML_Condition_ID,Observation_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Method,Confidence,Recovery_Status
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Paper_Title,Heterogeneous Microstructure and Tensile Properties of Fe50Mn30Co10Cr10 Metastable High-Entropy Alloy,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Study_Series_ID,P014_SERIES01,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Material_Parent_ID,P014_MAT_FE50MN30CO10CR10,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Nominal_Composition_at_pct,Fe50Mn30Co10Cr10,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Composition_Status,NOMINAL_ONLY_NO_BULK_CHEMICAL_ANALYSIS_REPORTED,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Melting_Route,Vacuum levitation melting; solidified in crucible,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Remelting_N,5,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Atmosphere,Ar,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Starting_Block_mm,40 x 15 x 10,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Cold_Roll_Initial_Thickness_mm,5,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Cold_Roll_Final_Thickness_mm,2.75,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Cold_Roll_Reduction_pct,45,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Cold_Roll_Reduction_Status,DERIVED_FROM_REPORTED_5_TO_2.75_MM_THICKNESS,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Cold_Roll_Pass_Reduction_mm,0.05,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Anneal_Time_min,10,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Quench,Water quench,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Tensile_Gauge_mm,40 x 8 x 1,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Tensile_Loading_Direction,Rolling direction,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Tensile_Strain_Rate_s-1,0.001,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Test_T_Raw,Not explicitly specified,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Test_T_Status,TENSILE_TEMPERATURE_NOT_EXPLICITLY_REPORTED,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Tensile_Replicate_n,3,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Replicate_Status,THREE_TENSILE_SAMPLES_PER_STATE; individual replicate values not reported,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Hardness_Measurements_n,6,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Hardness_Used_n,4,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Hardness_Status,Six hardness indents; max/min discarded; remaining four averaged,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Evidence_Location,Methods p.3,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Confidence,High,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,,,,Notes,Do not assume an exact room-temperature tensile Test_T_K. The 45% rolling reduction is arithmetic from reported thicknesses and is explicitly tagged as derived processing metadata.,as named/reported,VERIFIED_WORKBOOK,Methods p.3,source-reported,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Processing_State_ID,P014_PS_ASCAST,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,State_Label,As-cast,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,State_Type,AS_CAST,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Initial_Phase_State,Dual FCC+HCP,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Initial_FCC_fraction,0.795,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Initial_HCP_fraction,0.205,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Phase_Fraction_Status,DIRECT_EBSD_FIGURE_LABEL,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Average_Grain_Size_um,28.03,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Grain_Size_sd_um,5.12,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Grain_Size_Status,DIRECT_TEXT,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,KAM_mean_deg,0.04,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,KAM_Status,DIRECT_EBSD_FIGURE_LABEL,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Recrystallized_Status,NOT_REPORTED,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
P014,10.3390/ma17235893,P014_MAT_FE50MN30CO10CR10,P014_PS_ASCAST,,,Heterogeneous_Microstructure,False,as named/reported,VERIFIED_WORKBOOK,Figs.1-2; pp.3-5,DIRECT_EBSD_FIGURE_LABEL,High,VERIFIED
