Paper_ID,DOI,Material_Parent_ID,ML_Condition_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Method,Confidence,Recovery_Status
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Paper_Title,Achieving excellent strain hardenability in cobalt-free Fe50Mn20Cr20Ni10 medium-entropy alloy via TWIP/TRIP effects,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Study_Series_ID,P015_SERIES01,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Material_Parent_ID,P015_MAT_FE50MN20CR20NI10,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Nominal_Composition_at_pct,Fe50Mn20Cr20Ni10,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Composition_Status,NOMINAL_ONLY_NO_POSTMELT_BULK_CHEMICAL_ANALYSIS_REPORTED,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Mn_Charge_Adjustment,Extra 5 wt% Mn added to charge to offset Mn evaporation; NOT part of final nominal composition,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Melting_Route,Vacuum induction melting; master alloy remelted and cast into copper mold,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Atmosphere,Ar,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Raw_Material_Purity,≥99.9%,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Master_Alloy_Mass_g,350,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Casting_Mold_mm,30 x 30 x 100,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Homogenization_T_K,1473,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Homogenization_time_h,6,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Homogenization_Quench,Water quench,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Initial_Material_State,Homogenized coarse equiaxed single-FCC state,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Tensile_Temperatures_K,298; 77,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Tensile_Strain_Rate_s-1,0.001,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Tensile_Strain_Rate_Status,DIRECT_METHODS_VALUE; caption conflict exists and is logged separately,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Specimen_Dimensions_mm,10 x 3 x 1,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Tensile_Replicate_n,3,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Replicate_Status,AT_LEAST_THREE_TENSILE_SPECIMENS_PER_CONDITION; individual replicate values not reported,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,EBSD_Preparation,Mechanical polish to 3000 grit + electrochemical polish to remove strain layer,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,TEM_Sampling_Location,Post-deformation gauge section close to fracture surface,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Evidence_Location,Methods pp.2-3,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Confidence,High,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Notes,Do not infer measured bulk chemistry from EDS maps. Do not treat the extra 5 wt% Mn charge compensation as final alloy Mn content.,as named/reported,VERIFIED_WORKBOOK,Methods pp.2-3,source-reported,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Material_Parent_ID,P015_MAT_FE50MN20CR20NI10,as named/reported,VERIFIED_WORKBOOK,Sec.3.1 pp.2-4; Fig.3,XRD + EBSD/IPF/phase map + EDS mapping,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Initial_Phase_State,Single-phase FCC coarse equiaxed grains,as named/reported,VERIFIED_WORKBOOK,Sec.3.1 pp.2-4; Fig.3,XRD + EBSD/IPF/phase map + EDS mapping,High,VERIFIED
P015,10.1016/j.jallcom.2026.188919,P015_MAT_FE50MN20CR20NI10,P015_ALLOY_OR_SUPPORTING_SCOPE,Initial_HCP_fraction,0,as named/reported,VERIFIED_WORKBOOK,Sec.3.1 pp.2-4; Fig.3,XRD + EBSD/IPF/phase map + EDS mapping,High,VERIFIED
