Paper_ID,DOI,Study_Series_ID,Material_Parent_ID,Computational_Condition_ID,Alloy_Label,Temperature_K,Strain_Rate_s-1,Max_Strain,Data_Origin,Observation_Role,Independent_Computational_Condition,Independent_Experimental_ML_sample,Leakage_Group_Strict,Leakage_Group_Material,SIS_PSR_GPa,UTS_PSR_GPa,UTS_PSR_Status,Paper_Native_TRIP,Paper_Native_TWIP,TWIP_induced_TRIP_Status,TWIP_induced_TRIP_Timing,TRIP_induced_TWIP_Status,TRIP_induced_TWIP_Timing,Experimental_Target_Eligibility,Mechanism_Scope,Evidence_Location,Confidence,Notes,Source_URL
P017,10.1016/j.ijplas.2019.102649,P017_SERIES01,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E10,Al0.5CrCoFeCuNi,300,10000000000,0.4,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,True,False,P017_SERIES01,P017_MAT_AL0p5,5,,N/A_NO_UTS_PSR,1,1,Not observed,,Observed,After SIS-PSR,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,Authors-native TRIP/TWIP: reversible BCC↔FCC(HCP/SF) transformation and BCC twinning; not equivalent to the project's experimental FCC→HCP/TWIP target semantics.,Table 1 p.22; Table 2 p.23,High,"SIS-PSR/UTS-PSR are MD stress-regime metrics, not experimental YS/UTS. Native mechanism labels remain computational-domain metadata.",https://doi.org/10.1016/j.ijplas.2019.102649
P017,10.1016/j.ijplas.2019.102649,P017_SERIES01,P017_MAT_AL0p5,P017_SIM_A05_700K_SR1E10,Al0.5CrCoFeCuNi,700,10000000000,0.4,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,True,False,P017_SERIES01,P017_MAT_AL0p5,4,,N/A_NO_UTS_PSR,1,1,Not observed,,Observed,After SIS-PSR,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,Authors-native TRIP/TWIP: reversible BCC↔FCC(HCP/SF) transformation and BCC twinning; not equivalent to the project's experimental FCC→HCP/TWIP target semantics.,Table 1 p.22; Table 2 p.23,High,"SIS-PSR/UTS-PSR are MD stress-regime metrics, not experimental YS/UTS. Native mechanism labels remain computational-domain metadata.",https://doi.org/10.1016/j.ijplas.2019.102649
P017,10.1016/j.ijplas.2019.102649,P017_SERIES01,P017_MAT_AL0p5,P017_SIM_A05_1000K_SR1E10,Al0.5CrCoFeCuNi,1000,10000000000,0.4,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,True,False,P017_SERIES01,P017_MAT_AL0p5,3.4,,N/A_NO_UTS_PSR,1,0,Not observed,,Not observed,,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,Authors-native TRIP/TWIP: reversible BCC↔FCC(HCP/SF) transformation and BCC twinning; not equivalent to the project's experimental FCC→HCP/TWIP target semantics.,Table 1 p.22; Table 2 p.23,High,"SIS-PSR/UTS-PSR are MD stress-regime metrics, not experimental YS/UTS. Native mechanism labels remain computational-domain metadata.",https://doi.org/10.1016/j.ijplas.2019.102649
P017,10.1016/j.ijplas.2019.102649,P017_SERIES01,P017_MAT_AL0p5,P017_SIM_A05_1300K_SR1E10,Al0.5CrCoFeCuNi,1300,10000000000,0.4,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,True,False,P017_SERIES01,P017_MAT_AL0p5,2.9,,N/A_NO_UTS_PSR,1,0,Not observed,,Not observed,,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,Authors-native TRIP/TWIP: reversible BCC↔FCC(HCP/SF) transformation and BCC twinning; not equivalent to the project's experimental FCC→HCP/TWIP target semantics.,Table 1 p.22; Table 2 p.23,High,"SIS-PSR/UTS-PSR are MD stress-regime metrics, not experimental YS/UTS. Native mechanism labels remain computational-domain metadata.",https://doi.org/10.1016/j.ijplas.2019.102649
P017,10.1016/j.ijplas.2019.102649,P017_SERIES01,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E9,Al0.5CrCoFeCuNi,300,1000000000,0.4,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,True,False,P017_SERIES01,P017_MAT_AL0p5,3.7,4.2,DIRECT_TABLE_1,1,1,Not observed,,Observed,At UTS-PSR,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,Authors-native TRIP/TWIP: reversible BCC↔FCC(HCP/SF) transformation and BCC twinning; not equivalent to the project's experimental FCC→HCP/TWIP target semantics.,Table 1 p.22; Table 2 p.23,High,"SIS-PSR/UTS-PSR are MD stress-regime metrics, not experimental YS/UTS. Native mechanism labels remain computational-domain metadata.",https://doi.org/10.1016/j.ijplas.2019.102649
P017,10.1016/j.ijplas.2019.102649,P017_SERIES01,P017_MAT_AL0p5,P017_SIM_A05_300K_SR1E8,Al0.5CrCoFeCuNi,300,100000000,0.4,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,True,False,P017_SERIES01,P017_MAT_AL0p5,3.6,4,DIRECT_TABLE_1,1,1,Not observed,,Observed,Before UTS-PSR,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,Authors-native TRIP/TWIP: reversible BCC↔FCC(HCP/SF) transformation and BCC twinning; not equivalent to the project's experimental FCC→HCP/TWIP target semantics.,Table 1 p.22; Table 2 p.23,High,"SIS-PSR/UTS-PSR are MD stress-regime metrics, not experimental YS/UTS. Native mechanism labels remain computational-domain metadata.",https://doi.org/10.1016/j.ijplas.2019.102649
P017,10.1016/j.ijplas.2019.102649,P017_SERIES01,P017_MAT_AL1p5,P017_SIM_A15_300K_SR1E10,Al1.5CrCoFeCuNi,300,10000000000,0.4,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,True,False,P017_SERIES01,P017_MAT_AL1p5,2.1,3.6,DIRECT_TABLE_1,1,1,Observed,Between SIS-PSR and UTS-PSR,Observed,Between SIS-PSR and UTS-PSR,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,Authors-native TRIP/TWIP: reversible BCC↔FCC(HCP/SF) transformation and BCC twinning; not equivalent to the project's experimental FCC→HCP/TWIP target semantics.,Table 1 p.22; Table 2 p.23,High,"SIS-PSR/UTS-PSR are MD stress-regime metrics, not experimental YS/UTS. Native mechanism labels remain computational-domain metadata.",https://doi.org/10.1016/j.ijplas.2019.102649
P017,10.1016/j.ijplas.2019.102649,P017_SERIES01,P017_MAT_AL1p5,P017_SIM_A15_700K_SR1E10,Al1.5CrCoFeCuNi,700,10000000000,0.4,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,True,False,P017_SERIES01,P017_MAT_AL1p5,1.5,2.5,DIRECT_TABLE_1,1,1,Observed,Between SIS-PSR and UTS-PSR,Observed,Between SIS-PSR and UTS-PSR,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,Authors-native TRIP/TWIP: reversible BCC↔FCC(HCP/SF) transformation and BCC twinning; not equivalent to the project's experimental FCC→HCP/TWIP target semantics.,Table 1 p.22; Table 2 p.23,High,"SIS-PSR/UTS-PSR are MD stress-regime metrics, not experimental YS/UTS. Native mechanism labels remain computational-domain metadata.",https://doi.org/10.1016/j.ijplas.2019.102649
P017,10.1016/j.ijplas.2019.102649,P017_SERIES01,P017_MAT_AL1p5,P017_SIM_A15_1000K_SR1E10,Al1.5CrCoFeCuNi,1000,10000000000,0.4,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,True,False,P017_SERIES01,P017_MAT_AL1p5,1.3,2.5,DIRECT_TABLE_1,1,0,Not observed,,Not observed,,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,Authors-native TRIP/TWIP: reversible BCC↔FCC(HCP/SF) transformation and BCC twinning; not equivalent to the project's experimental FCC→HCP/TWIP target semantics.,Table 1 p.22; Table 2 p.23,High,"SIS-PSR/UTS-PSR are MD stress-regime metrics, not experimental YS/UTS. Native mechanism labels remain computational-domain metadata.",https://doi.org/10.1016/j.ijplas.2019.102649
P017,10.1016/j.ijplas.2019.102649,P017_SERIES01,P017_MAT_AL1p5,P017_SIM_A15_1300K_SR1E10,Al1.5CrCoFeCuNi,1300,10000000000,0.4,COMPUTATIONAL_MD,COMPUTATIONAL_CONDITION,True,False,P017_SERIES01,P017_MAT_AL1p5,1.1,1.4,DIRECT_TABLE_1,1,0,Not observed,,Not observed,,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TARGET_POOL,Authors-native TRIP/TWIP: reversible BCC↔FCC(HCP/SF) transformation and BCC twinning; not equivalent to the project's experimental FCC→HCP/TWIP target semantics.,Table 1 p.22; Table 2 p.23,High,"SIS-PSR/UTS-PSR are MD stress-regime metrics, not experimental YS/UTS. Native mechanism labels remain computational-domain metadata.",https://doi.org/10.1016/j.ijplas.2019.102649
