Paper_ID,DOI,Material_Parent_ID,Computational_Condition_ID,Mechanism_Record_ID,Record_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Method,Confidence,Recovery_Status,Data_Origin
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Paper_Title,Study of the plastic deformation mechanism of TRIP–TWIP high entropy alloys at the atomic level,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Study_Series_ID,P017_SERIES01,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Data_Origin,COMPUTATIONAL_MD,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Experimental_Training_Eligibility,NOT_ELIGIBLE_FOR_EXPERIMENTAL_TRAINING_POOL,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Alloy_System,AlxCrCoFeCuNi,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Al_x_Values,x=0.5; x=1.5,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Initial_Atom_Assignment,Atoms randomly assigned in an FCC crystal according to alloy molar ratio before melt/quench,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Atom_Count,80000,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Cell_x_m,7.2e-09,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Cell_y_m,7.2e-09,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Cell_z_m,1.8e-08,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Boundary_Conditions,"Periodic in x, y, z",as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Potential_Type,EAM,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Potential_References,Zhou et al. + Anand et al. parameter sets,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Energy_Minimization,Conjugate-gradient relaxation; energy tolerance 1e-15; force tolerance 1.6e-24 N,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Initial_Equilibration_T_K,300,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Initial_Equilibration_P_MPa,0,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
P017,10.1016/j.ijplas.2019.102649,,,,P017_SERIES01,Initial_Equilibration_Time_s,3e-11,as reported,VERIFIED_WORKBOOK,Simulation details pp.2-3; Fig.1,source-reported,High,VERIFIED,COMPUTATIONAL_MD
