Paper_ID,DOI,Study_Series_ID,Material_Parent_ID,Processing_State_ID,Processing_State,Primary_Tensile_Condition_ID,Anneal_T_C,Anneal_Time_min,Post_Anneal_Quench,Initial_FCC_fraction,Initial_HCP_fraction,Phase_Fraction_SD_pct,Phase_Fraction_Method,Independent_Experimental_ML_sample,Supporting_Record_Status,Primary_Tensile_Status,Counting_Status,Evidence_Type,Evidence_Location,Method,Confidence,Recovery_Status,Data_Origin,Notes,Source_URL
P023,10.1016/j.apmt.2018.09.002,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_STATE_DPASS,D-pass,P023_MC_DPASS_RT,,,,0.83,0.17,3.9,XRD_PLUS_EBSD_REPORTED_SUMMARY,False,SUPPORTING_PRETEST_PROCESSING_STATE,HAS_PRIMARY_TENSILE_CONDITION,DOES_NOT_COUNT_SEPARATELY_FROM_PRIMARY_CONDITION,DIRECT_FIG2C_PRETEST_PHASE_FRACTION,Fig.2c; Sec.3.2 pp.2-4,EBSD/XRD reported summary,High,VERIFIED_PRETEST_STATE,EXPERIMENTAL,These are PRE-TENSILE phase fractions after FSP/annealing/quench. Initial HCP is processing/annealing-generated and must not itself establish tensile TRIP.,https://doi.org/10.1016/j.apmt.2018.09.002
P023,10.1016/j.apmt.2018.09.002,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_STATE_650_5,650-5,P023_MC_650_5_RT,650,5,Water quench,0.86,0.14,4.2,XRD_PLUS_EBSD_REPORTED_SUMMARY,False,SUPPORTING_PRETEST_PROCESSING_STATE,HAS_PRIMARY_TENSILE_CONDITION,DOES_NOT_COUNT_SEPARATELY_FROM_PRIMARY_CONDITION,DIRECT_FIG2C_PRETEST_PHASE_FRACTION,Fig.2c; Sec.3.2 pp.2-4,EBSD/XRD reported summary,High,VERIFIED_PRETEST_STATE,EXPERIMENTAL,These are PRE-TENSILE phase fractions after FSP/annealing/quench. Initial HCP is processing/annealing-generated and must not itself establish tensile TRIP.,https://doi.org/10.1016/j.apmt.2018.09.002
P023,10.1016/j.apmt.2018.09.002,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_STATE_650_15,650-15,P023_MC_650_15_RT,650,15,Water quench,0.3,0.7,3.5,XRD_PLUS_EBSD_REPORTED_SUMMARY,False,SUPPORTING_PRETEST_PROCESSING_STATE,HAS_PRIMARY_TENSILE_CONDITION,DOES_NOT_COUNT_SEPARATELY_FROM_PRIMARY_CONDITION,DIRECT_FIG2C_PRETEST_PHASE_FRACTION,Fig.2c; Sec.3.2 pp.2-4,EBSD/XRD reported summary,High,VERIFIED_PRETEST_STATE,EXPERIMENTAL,These are PRE-TENSILE phase fractions after FSP/annealing/quench. Initial HCP is processing/annealing-generated and must not itself establish tensile TRIP.,https://doi.org/10.1016/j.apmt.2018.09.002
P023,10.1016/j.apmt.2018.09.002,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_STATE_650_30,650-30,P023_MC_650_30_RT,650,30,Water quench,0.55,0.45,2.2,XRD_PLUS_EBSD_REPORTED_SUMMARY,False,SUPPORTING_PRETEST_PROCESSING_STATE,HAS_PRIMARY_TENSILE_CONDITION,DOES_NOT_COUNT_SEPARATELY_FROM_PRIMARY_CONDITION,DIRECT_FIG2C_PRETEST_PHASE_FRACTION,Fig.2c; Sec.3.2 pp.2-4,EBSD/XRD reported summary,High,VERIFIED_PRETEST_STATE,EXPERIMENTAL,These are PRE-TENSILE phase fractions after FSP/annealing/quench. Initial HCP is processing/annealing-generated and must not itself establish tensile TRIP.,https://doi.org/10.1016/j.apmt.2018.09.002
P023,10.1016/j.apmt.2018.09.002,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_STATE_750_5,750-5,,750,5,Water quench,0.79,0.21,0.4,XRD_PLUS_EBSD_REPORTED_SUMMARY,False,SUPPORTING_PRETEST_PROCESSING_STATE,SUPPORTING_ONLY_NO_CONDITION_SPECIFIC_TENSILE_RESULT,DOES_NOT_COUNT_SEPARATELY_FROM_PRIMARY_CONDITION,DIRECT_FIG2C_PRETEST_PHASE_FRACTION,Fig.2c; Sec.3.2 pp.2-4,EBSD/XRD reported summary,High,VERIFIED_PRETEST_STATE,EXPERIMENTAL,These are PRE-TENSILE phase fractions after FSP/annealing/quench. Initial HCP is processing/annealing-generated and must not itself establish tensile TRIP.,https://doi.org/10.1016/j.apmt.2018.09.002
P023,10.1016/j.apmt.2018.09.002,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_STATE_750_15,750-15,,750,15,Water quench,0.72,0.28,4.1,XRD_PLUS_EBSD_REPORTED_SUMMARY,False,SUPPORTING_PRETEST_PROCESSING_STATE,SUPPORTING_ONLY_NO_CONDITION_SPECIFIC_TENSILE_RESULT,DOES_NOT_COUNT_SEPARATELY_FROM_PRIMARY_CONDITION,DIRECT_FIG2C_PRETEST_PHASE_FRACTION,Fig.2c; Sec.3.2 pp.2-4,EBSD/XRD reported summary,High,VERIFIED_PRETEST_STATE,EXPERIMENTAL,These are PRE-TENSILE phase fractions after FSP/annealing/quench. Initial HCP is processing/annealing-generated and must not itself establish tensile TRIP.,https://doi.org/10.1016/j.apmt.2018.09.002
P023,10.1016/j.apmt.2018.09.002,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_STATE_750_30,750-30,,750,30,Water quench,0.88,0.12,1,XRD_PLUS_EBSD_REPORTED_SUMMARY,False,SUPPORTING_PRETEST_PROCESSING_STATE,SUPPORTING_ONLY_NO_CONDITION_SPECIFIC_TENSILE_RESULT,DOES_NOT_COUNT_SEPARATELY_FROM_PRIMARY_CONDITION,DIRECT_FIG2C_PRETEST_PHASE_FRACTION,Fig.2c; Sec.3.2 pp.2-4,EBSD/XRD reported summary,High,VERIFIED_PRETEST_STATE,EXPERIMENTAL,These are PRE-TENSILE phase fractions after FSP/annealing/quench. Initial HCP is processing/annealing-generated and must not itself establish tensile TRIP.,https://doi.org/10.1016/j.apmt.2018.09.002
P023,10.1016/j.apmt.2018.09.002,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_STATE_850_5,850-5,P023_MC_850_5_RT,850,5,Water quench,0.95,0.05,0.2,XRD_PLUS_EBSD_REPORTED_SUMMARY,False,SUPPORTING_PRETEST_PROCESSING_STATE,HAS_PRIMARY_TENSILE_CONDITION,DOES_NOT_COUNT_SEPARATELY_FROM_PRIMARY_CONDITION,DIRECT_FIG2C_PRETEST_PHASE_FRACTION,Fig.2c; Sec.3.2 pp.2-4,EBSD/XRD reported summary,High,VERIFIED_PRETEST_STATE,EXPERIMENTAL,These are PRE-TENSILE phase fractions after FSP/annealing/quench. Initial HCP is processing/annealing-generated and must not itself establish tensile TRIP.,https://doi.org/10.1016/j.apmt.2018.09.002
P023,10.1016/j.apmt.2018.09.002,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_STATE_850_15,850-15,P023_MC_850_15_RT,850,15,Water quench,0.97,0.03,2.3,XRD_PLUS_EBSD_REPORTED_SUMMARY,False,SUPPORTING_PRETEST_PROCESSING_STATE,HAS_PRIMARY_TENSILE_CONDITION,DOES_NOT_COUNT_SEPARATELY_FROM_PRIMARY_CONDITION,DIRECT_FIG2C_PRETEST_PHASE_FRACTION,Fig.2c; Sec.3.2 pp.2-4,EBSD/XRD reported summary,High,VERIFIED_PRETEST_STATE,EXPERIMENTAL,These are PRE-TENSILE phase fractions after FSP/annealing/quench. Initial HCP is processing/annealing-generated and must not itself establish tensile TRIP.,https://doi.org/10.1016/j.apmt.2018.09.002
P023,10.1016/j.apmt.2018.09.002,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_STATE_850_30,850-30,P023_MC_850_30_RT,850,30,Water quench,0.43,0.57,4.3,XRD_PLUS_EBSD_REPORTED_SUMMARY,False,SUPPORTING_PRETEST_PROCESSING_STATE,HAS_PRIMARY_TENSILE_CONDITION,DOES_NOT_COUNT_SEPARATELY_FROM_PRIMARY_CONDITION,DIRECT_FIG2C_PRETEST_PHASE_FRACTION,Fig.2c; Sec.3.2 pp.2-4,EBSD/XRD reported summary,High,VERIFIED_PRETEST_STATE,EXPERIMENTAL,These are PRE-TENSILE phase fractions after FSP/annealing/quench. Initial HCP is processing/annealing-generated and must not itself establish tensile TRIP.,https://doi.org/10.1016/j.apmt.2018.09.002
