Paper_ID,DOI_values,DOI_count,Consistent
P001,10.1016/j.actamat.2023.119389,1,True
P002,10.1016/j.msea.2020.140441,1,True
P003,10.1016/j.msea.2020.138982,1,True
P004,10.1016/j.msea.2026.150025,1,True
P005,10.1016/j.actamat.2022.118049,1,True
P006,10.1016/j.scriptamat.2019.02.018,1,True
P007,10.1016/j.actamat.2022.117974,1,True
P008,10.1016/j.ijplas.2021.102965,1,True
P009,10.1126/sciadv.abo7333,1,True
P010,10.1103/PhysRevMaterials.4.033601,1,True
P011,10.1016/j.jallcom.2023.170225,1,True
P012,10.1016/j.jallcom.2022.165108,1,True
P013,10.1016/j.ijplas.2024.104048,1,True
P014,10.3390/ma17235893,1,True
P015,10.1016/j.jallcom.2026.188919,1,True
P016,10.1016/j.actamat.2018.10.017,1,True
P017,10.1016/j.ijplas.2019.102649,1,True
P018,10.1016/j.ijmecsci.2022.107098,1,True
P019,10.1016/j.jallcom.2025.179770,1,True
