Paper_ID,Condition_ID,Field,Old_Value,New_Value,Reason,Correction_Type,Automatic_or_Manual,Source
P006,P006_C01,Row_Type,Data_role=Experimental + DFT/CALPHAD,Experimental + DFT/CALPHAD,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P006,P006_C01,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P006,P006_C01,Characterization_methods,Image_modalities=SEM/EBSD; XRD,SEM/EBSD; XRD,Exact reviewed schema alias: Image_modalities -> Characterization_methods,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P006,P006_C02,Row_Type,Data_role=Experimental + DFT/CALPHAD,Experimental + DFT/CALPHAD,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P006,P006_C02,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P006,P006_C02,Characterization_methods,Image_modalities=SEM/EBSD; XRD,SEM/EBSD; XRD,Exact reviewed schema alias: Image_modalities -> Characterization_methods,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P006,P006_C03,Row_Type,Data_role=Experimental + DFT/CALPHAD,Experimental + DFT/CALPHAD,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P006,P006_C03,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P006,P006_C03,Characterization_methods,Image_modalities=SEM/EBSD; XRD,SEM/EBSD; XRD,Exact reviewed schema alias: Image_modalities -> Characterization_methods,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C01,Row_Type,Data_role=Experimental,Experimental,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C01,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C01,Characterization_methods,Image_modalities=XRD; BSE; EBSD/GOS/KAM; TEM; STEM-EDS,XRD; BSE; EBSD/GOS/KAM; TEM; STEM-EDS,Exact reviewed schema alias: Image_modalities -> Characterization_methods,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C02,Row_Type,Data_role=Experimental,Experimental,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C02,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C02,Characterization_methods,Image_modalities=XRD; BSE; EBSD/GOS/KAM; TEM; STEM-EDS,XRD; BSE; EBSD/GOS/KAM; TEM; STEM-EDS,Exact reviewed schema alias: Image_modalities -> Characterization_methods,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C03,Row_Type,Data_role=Experimental,Experimental,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C03,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C03,Characterization_methods,Image_modalities=XRD; BSE; EBSD/GOS/KAM; TEM; STEM-EDS,XRD; BSE; EBSD/GOS/KAM; TEM; STEM-EDS,Exact reviewed schema alias: Image_modalities -> Characterization_methods,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C04,Row_Type,Data_role=Experimental,Experimental,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C04,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C04,Characterization_methods,Image_modalities=XRD; BSE; EBSD/GOS/KAM; TEM; STEM-EDS,XRD; BSE; EBSD/GOS/KAM; TEM; STEM-EDS,Exact reviewed schema alias: Image_modalities -> Characterization_methods,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C05,Row_Type,Data_role=Experimental,Experimental,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C05,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P007,P007_C05,Characterization_methods,Image_modalities=XRD; BSE; EBSD/GOS/KAM; TEM; STEM-EDS,XRD; BSE; EBSD/GOS/KAM; TEM; STEM-EDS,Exact reviewed schema alias: Image_modalities -> Characterization_methods,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P008,P008_C01,Row_Type,Data_role=Experimental,Experimental,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P008,P008_C01,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P008,P008_C01,Characterization_methods,Image_modalities=SEM; EBSD; TEM; XRD,SEM; EBSD; TEM; XRD,Exact reviewed schema alias: Image_modalities -> Characterization_methods,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P008,P008_C02,Row_Type,Data_role=Experimental,Experimental,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P008,P008_C02,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P008,P008_C02,Characterization_methods,Image_modalities=SEM; EBSD; TEM; APT,SEM; EBSD; TEM; APT,Exact reviewed schema alias: Image_modalities -> Characterization_methods,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P010,P010_C01,Row_Type,Data_role=Experimental + DFT/magnetism,Experimental + DFT/magnetism,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P010,P010_C01,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P010,P010_C01,Characterization_methods,Image_modalities=XRD; EBSD; ECCI; TEM; magnetic measurements,XRD; EBSD; ECCI; TEM; magnetic measurements,Exact reviewed schema alias: Image_modalities -> Characterization_methods,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P010,P010_C02,Row_Type,Data_role=Experimental + DFT/magnetism,Experimental + DFT/magnetism,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P010,P010_C02,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P010,P010_C02,Characterization_methods,Image_modalities=XRD; EBSD; ECCI; TEM; magnetic measurements,XRD; EBSD; ECCI; TEM; magnetic measurements,Exact reviewed schema alias: Image_modalities -> Characterization_methods,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P010,P010_C03,Row_Type,Data_role=Experimental + DFT/magnetism,Experimental + DFT/magnetism,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P010,P010_C03,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P010,P010_C03,Characterization_methods,Image_modalities=XRD; EBSD; ECCI; TEM; magnetic measurements,XRD; EBSD; ECCI; TEM; magnetic measurements,Exact reviewed schema alias: Image_modalities -> Characterization_methods,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P009,P009_C01,Row_Type,Data_role=Experimental + CALPHAD/DFT,Experimental + CALPHAD/DFT,Exact reviewed schema alias: Data_role -> Row_Type,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
P009,P009_C01,Composition_basis,Composition_basis_original=at.%,at.%,Exact reviewed schema alias: Composition_basis_original -> Composition_basis,EXACT_SCHEMA_ALIAS,Automatic,TRIP_TWIP_P006_P010_FULL_EXTRACTION.xlsx::P006_P010_Master_Extraction
